time,value
1698516000000,1495
1698516000008,1499
1698516000016,1508
1698516000024,1509
1698516000032,1509
1698516000040,1511
1698516000048,1509
1698516000056,1517
1698516000064,1527
1698516000072,1559
1698516000080,1575
1698516000088,1617
1698516000096,1640
1698516000104,1699
1698516000112,1762
1698516000120,1798
1698516000128,1868
1698516000136,1901
1698516000144,1978
1698516000152,2059
1698516000160,2101
1698516000168,2167
1698516000176,2199
1698516000184,2260
1698516000192,2291
1698516000200,2336
1698516000208,2356
1698516000216,2388
1698516000224,2397
1698516000232,2411
1698516000240,2421
1698516000248,2421
1698516000256,2420
1698516000264,2415
1698516000272,2415
1698516000280,2412
1698516000288,2413
1698516000296,2414
1698516000304,2415
1698516000312,2419
1698516000320,2425
1698516000328,2425
1698516000336,2425
1698516000344,2423
1698516000352,2421
1698516000360,2412
1698516000368,2408
1698516000376,2397
1698516000384,2387
1698516000392,2379
1698516000400,2360
1698516000408,2349
1698516000416,2330
1698516000424,2318
1698516000432,2295
1698516000440,2278
1698516000448,2269
1698516000456,2255
1698516000464,2249
1698516000472,2235
1698516000480,2230
1698516000488,2236
1698516000496,2215
1698516000504,2203
1698516000512,2199
1698516000520,2191
1698516000528,2173
1698516000536,2172
1698516000544,2159
1698516000552,2153
1698516000560,2140
1698516000568,2126
1698516000576,2120
1698516000584,2109
1698516000592,2099
1698516000600,2086
1698516000608,2079
1698516000616,2075
1698516000624,2073
1698516000632,2077
1698516000640,2088
1698516000648,2095
1698516000656,2120
1698516000664,2135
1698516000672,2159
1698516000680,2187
1698516000688,2198
1698516000696,2213
1698516000704,2217
1698516000712,2219
1698516000720,2213
1698516000728,2204
1698516000736,2187
1698516000744,2169
1698516000752,2138
1698516000760,2087
1698516000768,2060
1698516000776,1995
1698516000784,1959
1698516000792,1903
1698516000800,1882
1698516000808,1846
1698516000816,1821
1698516000824,1815
1698516000832,1801
1698516000840,1791
1698516000848,1775
1698516000856,1755
1698516000864,1742
1698516000872,1707
1698516000880,1686
1698516000888,1644
1698516000896,1623
1698516000904,1583
1698516000912,1547
1698516000920,1526
1698516000928,1508
1698516000936,1503
1698516000944,1506
1698516000952,1509
1698516000960,1517
1698516000968,1532
1698516000976,1546
1698516000984,1560
1698516000992,1560
1698516001000,1564
1698516001008,1566
1698516001016,1567
1698516001024,1573
1698516001032,1577
1698516001040,1587
1698516001048,1598
1698516001056,1630
1698516001064,1671
1698516001072,1693
1698516001080,1748
1698516001088,1782
1698516001096,1848
1698516001104,1883
1698516001112,1959
1698516001120,2031
1698516001128,2078
1698516001136,2151
1698516001144,2188
1698516001152,2253
1698516001160,2283
1698516001168,2339
1698516001176,2388
1698516001184,2409
1698516001192,2440
1698516001200,2453
1698516001208,2471
1698516001216,2475
1698516001224,2475
1698516001232,2472
1698516001240,2469
1698516001248,2459
1698516001256,2457
1698516001264,2450
1698516001272,2441
1698516001280,2440
1698516001288,2439
1698516001296,2438
1698516001304,2437
1698516001312,2431
1698516001320,2431
1698516001328,2428
1698516001336,2428
1698516001344,2427
1698516001352,2425
1698516001360,2423
1698516001368,2422
1698516001376,2420
1698516001384,2411
1698516001392,2409
1698516001400,2398
1698516001408,2392
1698516001416,2374
1698516001424,2351
1698516001432,2344
1698516001440,2327
1698516001448,2321
1698516001456,2302
1698516001464,2292
1698516001472,2287
1698516001480,2276
1698516001488,2269
1698516001496,2259
1698516001504,2252
1698516001512,2235
1698516001520,2219
1698516001528,2213
1698516001536,2195
1698516001544,2184
1698516001552,2167
1698516001560,2146
1698516001568,2136
1698516001576,2118
1698516001584,2106
1698516001592,2089
1698516001600,2077
1698516001608,2072
1698516001616,2067
1698516001624,2067
1698516001632,2073
1698516001640,2083
1698516001648,2101
1698516001656,2123
1698516001664,2136
1698516001672,2157
1698516001680,2166
1698516001688,2186
1698516001696,2197
1698516001704,2200
1698516001712,2197
1698516001720,2194
1698516001728,2182
1698516001736,2169
1698516001744,2137
1698516001752,2093
1698516001760,2066
1698516001768,1997
1698516001776,1965
1698516001784,1909
1698516001792,1863
1698516001800,1839
1698516001808,1815
1698516001816,1804
1698516001824,1787
1698516001832,1779
1698516001840,1763
1698516001848,1739
1698516001856,1721
1698516001864,1687
1698516001872,1663
1698516001880,1623
1698516001888,1576
1698516001896,1555
1698516001904,1513
1698516001912,1497
1698516001920,1471
1698516001928,1467
1698516001936,1465
1698516001944,1467
1698516001952,1479
1698516001960,1493
1698516001968,1496
1698516001976,1503
1698516001984,1507
1698516001992,1503
1698516002000,1497
1698516002008,1494
1698516002016,1493
1698516002024,1492
1698516002032,1498
1698516002040,1507
1698516002048,1531
1698516002056,1574
1698516002064,1594
1698516002072,1647
1698516002080,1677
