time,value
1698606240000,1947
1698606240008,1938
1698606240016,1919
1698606240024,1914
1698606240032,1896
1698606240040,1887
1698606240048,1868
1698606240056,1844
1698606240064,1835
1698606240072,1813
1698606240080,1799
1698606240088,1769
1698606240096,1741
1698606240104,1725
1698606240112,1695
1698606240120,1686
1698606240128,1659
1698606240136,1631
1698606240144,1620
1698606240152,1597
1698606240160,1581
1698606240168,1561
1698606240176,1553
1698606240184,1543
1698606240192,1528
1698606240200,1531
1698606240208,1532
1698606240216,1542
1698606240224,1545
1698606240232,1549
1698606240240,1555
1698606240248,1559
1698606240256,1556
1698606240264,1542
1698606240272,1525
1698606240280,1494
1698606240288,1469
1698606240296,1440
1698606240304,1426
1698606240312,1390
1698606240320,1371
1698606240328,1336
1698606240336,1320
1698606240344,1291
1698606240352,1261
1698606240360,1253
1698606240368,1234
1698606240376,1225
1698606240384,1204
1698606240392,1197
1698606240400,1181
1698606240408,1166
1698606240416,1164
1698606240424,1159
1698606240432,1162
1698606240440,1165
1698606240448,1177
1698606240456,1180
1698606240464,1197
1698606240472,1209
1698606240480,1235
1698606240488,1243
1698606240496,1267
1698606240504,1277
1698606240512,1306
1698606240520,1319
1698606240528,1349
1698606240536,1359
1698606240544,1384
1698606240552,1413
1698606240560,1417
1698606240568,1449
1698606240576,1470
1698606240584,1503
1698606240592,1518
1698606240600,1561
1698606240608,1578
1698606240616,1620
1698606240624,1636
1698606240632,1671
1698606240640,1701
1698606240648,1715
1698606240656,1740
1698606240664,1749
1698606240672,1766
1698606240680,1772
1698606240688,1784
1698606240696,1788
1698606240704,1791
1698606240712,1800
1698606240720,1806
1698606240728,1816
1698606240736,1829
1698606240744,1839
1698606240752,1865
1698606240760,1881
1698606240768,1910
1698606240776,1945
1698606240784,1963
1698606240792,1996
1698606240800,2009
1698606240808,2034
1698606240816,2044
1698606240824,2067
1698606240832,2084
1698606240840,2087
1698606240848,2100
1698606240856,2104
1698606240864,2117
1698606240872,2125
1698606240880,2131
1698606240888,2144
1698606240896,2151
1698606240904,2163
1698606240912,2171
1698606240920,2186
1698606240928,2201
1698606240936,2205
1698606240944,2222
1698606240952,2229
1698606240960,2245
1698606240968,2255
1698606240976,2261
1698606240984,2268
1698606240992,2271
1698606241000,2279
1698606241008,2283
1698606241016,2288
1698606241024,2296
1698606241032,2297
1698606241040,2303
1698606241048,2309
1698606241056,2317
1698606241064,2318
1698606241072,2322
1698606241080,2325
1698606241088,2325
1698606241096,2328
1698606241104,2331
1698606241112,2331
1698606241120,2329
1698606241128,2329
1698606241136,2329
1698606241144,2332
1698606241152,2331
1698606241160,2333
1698606241168,2336
1698606241176,2347
1698606241184,2351
1698606241192,2359
1698606241200,2367
1698606241208,2375
1698606241216,2375
1698606241224,2377
1698606241232,2379
1698606241240,2377
1698606241248,2376
1698606241256,2375
1698606241264,2365
1698606241272,2363
1698606241280,2361
1698606241288,2355
1698606241296,2348
1698606241304,2344
1698606241312,2340
1698606241320,2332
1698606241328,2323
1698606241336,2324
1698606241344,2315
1698606241352,2313
1698606241360,2303
1698606241368,2303
1698606241376,2303
1698606241384,2309
1698606241392,2311
1698606241400,2315
1698606241408,2317
1698606241416,2327
1698606241424,2343
1698606241432,2350
1698606241440,2374
1698606241448,2387
1698606241456,2411
1698606241464,2439
1698606241472,2447
1698606241480,2463
1698606241488,2472
1698606241496,2477
1698606241504,2479
1698606241512,2485
1698606241520,2479
1698606241528,2480
1698606241536,2479
1698606241544,2475
1698606241552,2459
1698606241560,2437
1698606241568,2415
1698606241576,2387
1698606241584,2367
1698606241592,2344
1698606241600,2329
1698606241608,2301
1698606241616,2282
1698606241624,2274
1698606241632,2255
1698606241640,2250
1698606241648,2237
1698606241656,2230
1698606241664,2231
1698606241672,2231
1698606241680,2230
1698606241688,2229
1698606241696,2228
1698606241704,2227
1698606241712,2228
1698606241720,2223
1698606241728,2224
1698606241736,2221
1698606241744,2218
1698606241752,2217
1698606241760,2220
1698606241768,2222
1698606241776,2224
1698606241784,2233
1698606241792,2250
1698606241800,2255
1698606241808,2275
1698606241816,2281
1698606241824,2303
1698606241832,2329
1698606241840,2343
1698606241848,2367
1698606241856,2379
1698606241864,2407
1698606241872,2427
1698606241880,2443
1698606241888,2463
1698606241896,2474
1698606241904,2491
1698606241912,2504
1698606241920,2522
1698606241928,2541
1698606241936,2553
1698606241944,2582
1698606241952,2599
1698606241960,2632
1698606241968,2671
1698606241976,2699
1698606241984,2758
1698606241992,2781
1698606242000,2845
1698606242008,2879
1698606242016,2942
1698606242024,3001
1698606242032,3030
1698606242040,3087
1698606242048,3103
1698606242056,3145
1698606242064,3179
1698606242072,3195
1698606242080,3223
1698606242088,3238
1698606242096,3259
1698606242104,3277
1698606242112,3302
1698606242120,3336
1698606242128,3347
1698606242136,3375
1698606242144,3388
1698606242152,3415
1698606242160,3435
1698606242168,3443
1698606242176,3453
1698606242184,3461
1698606242192,3463
1698606242200,3453
1698606242208,3449
1698606242216,3435
1698606242224,3426
1698606242232,3404
1698606242240,3389
1698606242248,3367
1698606242256,3342
1698606242264,3325
1698606242272,3297
1698606242280,3286
1698606242288,3257
1698606242296,3226
1698606242304,3211
1698606242312,3176
1698606242320,3158
1698606242328,3119
1698606242336,3100
1698606242344,3061
1698606242352,3026
1698606242360,3003
1698606242368,2967
1698606242376,2943
1698606242384,2908
1698606242392,2872
1698606242400,2851
1698606242408,2811
1698606242416,2791
1698606242424,2749
1698606242432,2732
1698606242440,2703
1698606242448,2669
1698606242456,2658
1698606242464,2631
1698606242472,2621
1698606242480,2606
1698606242488,2592
1698606242496,2589
1698606242504,2579
1698606242512,2571
1698606242520,2556
1698606242528,2550
1698606242536,2535
1698606242544,2517
1698606242552,2504
1698606242560,2471
1698606242568,2452
1698606242576,2406
1698606242584,2359
1698606242592,2335
1698606242600,2293
1698606242608,2271
1698606242616,2221
1698606242624,2197
1698606242632,2155
1698606242640,2119
1698606242648,2102
1698606242656,2069
1698606242664,2043
1698606242672,2007
1698606242680,1963
1698606242688,1942
1698606242696,1897
1698606242704,1877
1698606242712,1833
1698606242720,1799
1698606242728,1775
1698606242736,1748
1698606242744,1736
1698606242752,1715
1698606242760,1707
1698606242768,1693
1698606242776,1684
1698606242784,1683
1698606242792,1679
1698606242800,1677
1698606242808,1676
1698606242816,1675
1698606242824,1676
1698606242832,1679
1698606242840,1678
1698606242848,1683
1698606242856,1681
1698606242864,1683
1698606242872,1679
1698606242880,1681
1698606242888,1685
1698606242896,1684
1698606242904,1687
1698606242912,1688
1698606242920,1689
1698606242928,1687
1698606242936,1687
1698606242944,1683
1698606242952,1683
1698606242960,1675
1698606242968,1671
1698606242976,1661
1698606242984,1655
1698606242992,1651
1698606243000,1643
1698606243008,1636
1698606243016,1629
1698606243024,1631
1698606243032,1637
1698606243040,1643
1698606243048,1652
1698606243056,1672
1698606243064,1692
1698606243072,1704
1698606243080,1722
1698606243088,1735
1698606243096,1750
1698606243104,1765
1698606243112,1768
1698606243120,1778
1698606243128,1781
1698606243136,1783
1698606243144,1785
1698606243152,1786
1698606243160,1787
1698606243168,1789
1698606243176,1785
1698606243184,1789
1698606243192,1788
1698606243200,1789
1698606243208,1788
1698606243216,1791
1698606243224,1799
1698606243232,1799
1698606243240,1810
1698606243248,1811
1698606243256,1818
1698606243264,1822
1698606243272,1833
1698606243280,1840
1698606243288,1848
1698606243296,1855
1698606243304,1863
1698606243312,1869
1698606243320,1874
1698606243328,1874
1698606243336,1871
1698606243344,1868
1698606243352,1865
1698606243360,1863
1698606243368,1855
1698606243376,1853
1698606243384,1851
1698606243392,1851
1698606243400,1851
1698606243408,1855
1698606243416,1867
1698606243424,1876
1698606243432,1893
1698606243440,1903
1698606243448,1927
1698606243456,1949
1698606243464,1960
1698606243472,1987
1698606243480,1996
1698606243488,2021
1698606243496,2029
1698606243504,2030
1698606243512,2023
1698606243520,2009
1698606243528,1983
1698606243536,1960
1698606243544,1945
1698606243552,1913
1698606243560,1897
1698606243568,1865
1698606243576,1847
1698606243584,1810
1698606243592,1769
1698606243600,1753
1698606243608,1716
1698606243616,1693
1698606243624,1653
1698606243632,1606
1698606243640,1583
1698606243648,1530
1698606243656,1512
1698606243664,1469
1698606243672,1452
1698606243680,1419
1698606243688,1388
1698606243696,1371
1698606243704,1342
1698606243712,1327
1698606243720,1303
1698606243728,1276
1698606243736,1267
1698606243744,1239
1698606243752,1224
1698606243760,1195
1698606243768,1188
1698606243776,1166
1698606243784,1142
1698606243792,1135
1698606243800,1119
1698606243808,1112
1698606243816,1097
1698606243824,1083
1698606243832,1079
1698606243840,1069
1698606243848,1063
1698606243856,1052
1698606243864,1048
1698606243872,1036
1698606243880,1022
1698606243888,1019
1698606243896,1011
1698606243904,1004
1698606243912,996
1698606243920,983
1698606243928,979
1698606243936,967
1698606243944,965
1698606243952,955
1698606243960,957
1698606243968,969
1698606243976,981
1698606243984,991
1698606243992,1017
1698606244000,1047
1698606244008,1067
1698606244016,1109
1698606244024,1148
1698606244032,1173
1698606244040,1212
1698606244048,1235
1698606244056,1276
1698606244064,1312
1698606244072,1331
1698606244080,1369
1698606244088,1385
1698606244096,1418
1698606244104,1438
1698606244112,1471
1698606244120,1503
1698606244128,1519
1698606244136,1557
1698606244144,1573
1698606244152,1608
1698606244160,1627
1698606244168,1661
1698606244176,1700
1698606244184,1716
1698606244192,1750
1698606244200,1765
1698606244208,1791
1698606244216,1818
1698606244224,1829
1698606244232,1845
1698606244240,1855
1698606244248,1875
1698606244256,1890
1698606244264,1895
1698606244272,1911
1698606244280,1913
1698606244288,1928
1698606244296,1943
1698606244304,1948
1698606244312,1961
1698606244320,1965
1698606244328,1976
1698606244336,1982
1698606244344,1991
1698606244352,1997
1698606244360,2004
1698606244368,2009
1698606244376,2013
1698606244384,2027
1698606244392,2035
1698606244400,2056
1698606244408,2063
1698606244416,2089
1698606244424,2121
1698606244432,2134
1698606244440,2163
1698606244448,2185
1698606244456,2212
1698606244464,2237
1698606244472,2254
1698606244480,2271
1698606244488,2281
1698606244496,2283
1698606244504,2283
1698606244512,2279
1698606244520,2275
1698606244528,2262
1698606244536,2255
1698606244544,2227
1698606244552,2188
1698606244560,2172
1698606244568,2151
1698606244576,2110
1698606244584,2076
1698606244592,2063
1698606244600,2025
1698606244608,2009
1698606244616,1977
1698606244624,1947
1698606244632,1933
1698606244640,1909
1698606244648,1899
1698606244656,1884
1698606244664,1877
1698606244672,1877
1698606244680,1880
1698606244688,1882
1698606244696,1887
1698606244704,1891
1698606244712,1894
1698606244720,1894
1698606244728,1897
1698606244736,1907
1698606244744,1903
1698606244752,1913
1698606244760,1917
1698606244768,1929
1698606244776,1939
1698606244784,1949
1698606244792,1967
1698606244800,1976
1698606244808,2003
1698606244816,2013
1698606244824,2037
1698606244832,2067
1698606244840,2077
1698606244848,2096
1698606244856,2105
1698606244864,2120
1698606244872,2132
1698606244880,2137
1698606244888,2143
1698606244896,2146
1698606244904,2147
1698606244912,2147
1698606244920,2142
1698606244928,2141
1698606244936,2139
1698606244944,2141
1698606244952,2147
1698606244960,2159
1698606244968,2174
1698606244976,2197
1698606244984,2227
1698606244992,2239
1698606245000,2273
1698606245008,2281
1698606245016,2300
1698606245024,2317
1698606245032,2325
1698606245040,2335
1698606245048,2339
1698606245056,2350
1698606245064,2363
1698606245072,2373
1698606245080,2392
1698606245088,2402
1698606245096,2420
1698606245104,2427
1698606245112,2445
1698606245120,2456
1698606245128,2471
1698606245136,2478
1698606245144,2492
1698606245152,2508
1698606245160,2513
1698606245168,2527
1698606245176,2539
1698606245184,2543
1698606245192,2551
1698606245200,2554
1698606245208,2568
1698606245216,2572
1698606245224,2577
1698606245232,2577
1698606245240,2582
1698606245248,2583
1698606245256,2582
1698606245264,2581
1698606245272,2580
1698606245280,2578
1698606245288,2579
1698606245296,2573
1698606245304,2570
1698606245312,2569
1698606245320,2566
1698606245328,2565
1698606245336,2556
1698606245344,2552
1698606245352,2552
1698606245360,2547
1698606245368,2550
1698606245376,2548
1698606245384,2548
1698606245392,2549
1698606245400,2550
1698606245408,2552
1698606245416,2555
1698606245424,2555
1698606245432,2559
1698606245440,2567
1698606245448,2570
1698606245456,2580
1698606245464,2584
1698606245472,2595
1698606245480,2601
1698606245488,2617
1698606245496,2633
1698606245504,2655
1698606245512,2687
1698606245520,2710
1698606245528,2750
1698606245536,2777
1698606245544,2827
1698606245552,2875
1698606245560,2900
1698606245568,2949
1698606245576,2973
1698606245584,3022
1698606245592,3051
1698606245600,3103
1698606245608,3146
1698606245616,3166
1698606245624,3211
1698606245632,3229
1698606245640,3279
1698606245648,3319
1698606245656,3337
1698606245664,3359
1698606245672,3369
1698606245680,3379
1698606245688,3380
1698606245696,3379
1698606245704,3373
1698606245712,3366
1698606245720,3355
1698606245728,3352
1698606245736,3341
1698606245744,3339
1698606245752,3337
1698606245760,3337
1698606245768,3339
1698606245776,3341
1698606245784,3347
1698606245792,3351
1698606245800,3357
1698606245808,3357
1698606245816,3357
1698606245824,3357
1698606245832,3349
1698606245840,3347
1698606245848,3335
1698606245856,3317
1698606245864,3306
1698606245872,3288
1698606245880,3279
1698606245888,3258
1698606245896,3236
1698606245904,3226
1698606245912,3205
1698606245920,3192
1698606245928,3176
1698606245936,3165
1698606245944,3147
1698606245952,3127
1698606245960,3115
1698606245968,3093
1698606245976,3081
1698606245984,3052
1698606245992,3023
1698606246000,3005
1698606246008,2971
1698606246016,2956
1698606246024,2917
1698606246032,2895
1698606246040,2852
1698606246048,2811
1698606246056,2793
1698606246064,2757
1698606246072,2739
1698606246080,2710
1698606246088,2686
1698606246096,2678
1698606246104,2661
1698606246112,2656
1698606246120,2649
1698606246128,2639
1698606246136,2628
1698606246144,2619
1698606246152,2603
1698606246160,2583
1698606246168,2573
1698606246176,2543
1698606246184,2527
1698606246192,2495
1698606246200,2462
1698606246208,2441
1698606246216,2404
1698606246224,2389
1698606246232,2349
1698606246240,2333
1698606246248,2296
1698606246256,2282
1698606246264,2252
1698606246272,2223
1698606246280,2212
1698606246288,2194
1698606246296,2183
1698606246304,2167
1698606246312,2159
1698606246320,2150
1698606246328,2140
1698606246336,2134
1698606246344,2120
1698606246352,2111
1698606246360,2101
1698606246368,2083
1698606246376,2072
1698606246384,2055
1698606246392,2038
1698606246400,2015
1698606246408,1993
1698606246416,1976
1698606246424,1955
1698606246432,1944
1698606246440,1918
1698606246448,1909
1698606246456,1891
1698606246464,1877
1698606246472,1869
1698606246480,1850
1698606246488,1846
1698606246496,1833
1698606246504,1823
1698606246512,1817
1698606246520,1807
1698606246528,1803
1698606246536,1800
1698606246544,1798
1698606246552,1797
1698606246560,1801
1698606246568,1807
1698606246576,1814
1698606246584,1819
1698606246592,1831
1698606246600,1835
1698606246608,1839
1698606246616,1849
1698606246624,1852
1698606246632,1845
1698606246640,1836
1698606246648,1816
1698606246656,1807
1698606246664,1779
1698606246672,1753
1698606246680,1736
1698606246688,1711
1698606246696,1695
1698606246704,1669
1698606246712,1638
1698606246720,1625
1698606246728,1610
1698606246736,1588
1698606246744,1560
1698606246752,1547
1698606246760,1514
1698606246768,1497
1698606246776,1468
1698606246784,1440
1698606246792,1432
1698606246800,1416
1698606246808,1406
1698606246816,1397
1698606246824,1396
1698606246832,1391
1698606246840,1379
1698606246848,1368
1698606246856,1339
1698606246864,1311
1698606246872,1295
1698606246880,1269
1698606246888,1261
1698606246896,1255
1698606246904,1259
1698606246912,1263
1698606246920,1285
1698606246928,1301
1698606246936,1327
1698606246944,1339
1698606246952,1368
1698606246960,1392
1698606246968,1403
1698606246976,1423
1698606246984,1431
1698606246992,1443
1698606247000,1449
1698606247008,1453
1698606247016,1459
1698606247024,1465
1698606247032,1471
1698606247040,1479
1698606247048,1485
1698606247056,1495
1698606247064,1499
1698606247072,1509
1698606247080,1516
1698606247088,1540
1698606247096,1564
1698606247104,1578
1698606247112,1611
1698606247120,1628
1698606247128,1670
1698606247136,1690
1698606247144,1726
1698606247152,1769
1698606247160,1785
1698606247168,1818
1698606247176,1833
1698606247184,1861
1698606247192,1880
1698606247200,1891
1698606247208,1903
1698606247216,1911
1698606247224,1926
1698606247232,1933
1698606247240,1946
1698606247248,1957
1698606247256,1960
1698606247264,1967
1698606247272,1971
1698606247280,1973
1698606247288,1970
1698606247296,1965
1698606247304,1955
1698606247312,1947
1698606247320,1930
1698606247328,1908
1698606247336,1896
1698606247344,1868
1698606247352,1852
1698606247360,1821
1698606247368,1806
1698606247376,1770
1698606247384,1725
1698606247392,1706
1698606247400,1661
1698606247408,1638
1698606247416,1581
1698606247424,1519
1698606247432,1492
1698606247440,1427
1698606247448,1395
1698606247456,1336
1698606247464,1308
1698606247472,1251
1698606247480,1196
1698606247488,1174
1698606247496,1125
1698606247504,1106
1698606247512,1065
1698606247520,1034
1698606247528,1017
1698606247536,991
1698606247544,979
1698606247552,959
1698606247560,953
1698606247568,941
1698606247576,931
1698606247584,927
1698606247592,923
1698606247600,923
1698606247608,921
1698606247616,927
1698606247624,933
1698606247632,944
1698606247640,953
1698606247648,971
1698606247656,982
1698606247664,999
1698606247672,1021
1698606247680,1034
1698606247688,1050
1698606247696,1062
1698606247704,1077
1698606247712,1099
1698606247720,1112
1698606247728,1133
1698606247736,1166
1698606247744,1183
1698606247752,1199
1698606247760,1241
1698606247768,1275
