time,value
1698655981000,2126
1698655981008,2128
1698655981016,2121
1698655981024,2121
1698655981032,2119
1698655981040,2121
1698655981048,2119
1698655981056,2128
1698655981064,2127
1698655981072,2121
1698655981080,2126
1698655981088,2127
1698655981096,2128
1698655981104,2142
1698655981112,2143
1698655981120,2137
1698655981128,2142
1698655981136,2142
1698655981144,2138
1698655981152,2147
1698655981160,2148
1698655981168,2146
1698655981176,2135
1698655981184,2130
1698655981192,2126
1698655981200,2119
1698655981208,2113
1698655981216,2111
1698655981224,2096
1698655981232,2085
1698655981240,2077
1698655981248,2067
1698655981256,2055
1698655981264,2044
1698655981272,2033
1698655981280,2026
1698655981288,2022
1698655981296,2018
1698655981304,2014
1698655981312,2017
1698655981320,2009
1698655981328,1997
1698655981336,1980
1698655981344,1970
1698655981352,1957
1698655981360,1927
1698655981368,1910
1698655981376,1869
1698655981384,1842
1698655981392,1815
1698655981400,1770
1698655981408,1745
1698655981416,1706
1698655981424,1680
1698655981432,1652
1698655981440,1616
1698655981448,1599
1698655981456,1577
1698655981464,1566
1698655981472,1553
1698655981480,1551
1698655981488,1546
1698655981496,1552
1698655981504,1558
1698655981512,1575
1698655981520,1596
1698655981528,1607
1698655981536,1645
1698655981544,1664
1698655981552,1685
1698655981560,1733
1698655981568,1760
1698655981576,1811
1698655981584,1838
1698655981592,1872
1698655981600,1922
1698655981608,1951
1698655981616,2007
1698655981624,2035
1698655981632,2078
1698655981640,2098
1698655981648,2117
1698655981656,2147
1698655981664,2166
1698655981672,2181
1698655981680,2187
1698655981688,2192
1698655981696,2195
1698655981704,2197
1698655981712,2202
1698655981720,2193
1698655981728,2179
1698655981736,2166
1698655981744,2160
1698655981752,2149
1698655981760,2127
1698655981768,2126
1698655981776,2099
1698655981784,2089
1698655981792,2077
1698655981800,2058
1698655981808,2041
1698655981816,2032
1698655981824,2021
1698655981832,2005
1698655981840,1993
1698655981848,1987
1698655981856,1978
1698655981864,1981
1698655981872,1977
1698655981880,1968
1698655981888,1968
1698655981896,1968
1698655981904,1968
1698655981912,1981
1698655981920,1983
1698655981928,1981
1698655981936,1988
1698655981944,1991
1698655981952,1995
1698655981960,2013
1698655981968,2017
1698655981976,2021
1698655981984,2023
1698655981992,2027
1698655982000,2034
1698655982008,2035
1698655982016,2047
1698655982024,2046
1698655982032,2042
1698655982040,2043
1698655982048,2039
1698655982056,2037
1698655982064,2045
1698655982072,2043
1698655982080,2035
1698655982088,2037
1698655982096,2034
1698655982104,2035
1698655982112,2043
1698655982120,2057
1698655982128,2055
1698655982136,2064
1698655982144,2074
1698655982152,2091
1698655982160,2106
1698655982168,2115
1698655982176,2130
1698655982184,2144
1698655982192,2160
1698655982200,2183
1698655982208,2195
1698655982216,2222
1698655982224,2240
1698655982232,2224
1698655982240,2229
1698655982248,2224
1698655982256,2199
1698655982264,2197
1698655982272,2179
1698655982280,2128
1698655982288,2102
1698655982296,2047
1698655982304,2017
1698655982312,1989
1698655982320,1931
1698655982328,1892
1698655982336,1840
1698655982344,1809
1698655982352,1782
1698655982360,1744
1698655982368,1722
1698655982376,1681
1698655982384,1668
1698655982392,1657
1698655982400,1641
1698655982408,1637
1698655982416,1639
1698655982424,1638
1698655982432,1645
1698655982440,1660
1698655982448,1669
1698655982456,1686
1698655982464,1722
1698655982472,1742
1698655982480,1774
1698655982488,1792
1698655982496,1817
1698655982504,1858
1698655982512,1886
1698655982520,1923
1698655982528,1936
1698655982536,1954
1698655982544,1984
1698655982552,1995
1698655982560,2022
1698655982568,2032
1698655982576,2057
1698655982584,2045
1698655982592,2055
1698655982600,2064
1698655982608,2064
1698655982616,2067
1698655982624,2064
1698655982632,2065
1698655982640,2066
1698655982648,2065
1698655982656,2064
1698655982664,2067
1698655982672,2066
1698655982680,2062
1698655982688,2055
1698655982696,2047
1698655982704,2046
1698655982712,2043
1698655982720,2040
1698655982728,2034
1698655982736,2033
1698655982744,2029
1698655982752,2023
1698655982760,2022
1698655982768,2030
1698655982776,2025
1698655982784,2017
1698655982792,2015
1698655982800,2010
1698655982808,2021
1698655982816,2016
1698655982824,2011
1698655982832,2010
1698655982840,2011
1698655982848,2011
1698655982856,2011
1698655982864,2020
1698655982872,2019
1698655982880,2017
1698655982888,2017
1698655982896,2015
1698655982904,2018
1698655982912,2022
1698655982920,2013
1698655982928,2011
1698655982936,2007
1698655982944,2000
1698655982952,1995
1698655982960,1984
1698655982968,1984
1698655982976,1972
1698655982984,1959
1698655982992,1952
1698655983000,1941
1698655983008,1936
1698655983016,1936
1698655983024,1921
1698655983032,1919
1698655983040,1910
1698655983048,1904
1698655983056,1903
1698655983064,1894
1698655983072,1885
1698655983080,1868
1698655983088,1859
1698655983096,1846
1698655983104,1819
1698655983112,1803
1698655983120,1779
1698655983128,1738
1698655983136,1713
1698655983144,1665
1698655983152,1643
1698655983160,1616
1698655983168,1571
1698655983176,1551
1698655983184,1503
1698655983192,1485
1698655983200,1463
1698655983208,1435
1698655983216,1424
1698655983224,1413
1698655983232,1398
1698655983240,1394
1698655983248,1394
1698655983256,1398
1698655983264,1411
1698655983272,1424
1698655983280,1440
1698655983288,1478
1698655983296,1500
1698655983304,1521
1698655983312,1582
1698655983320,1610
1698655983328,1671
1698655983336,1705
1698655983344,1766
1698655983352,1803
1698655983360,1840
1698655983368,1901
1698655983376,1925
1698655983384,1949
1698655983392,1998
1698655983400,2017
1698655983408,2058
1698655983416,2064
1698655983424,2074
1698655983432,2085
1698655983440,2090
1698655983448,2085
1698655983456,2081
1698655983464,2094
1698655983472,2064
1698655983480,2047
1698655983488,2030
1698655983496,2023
1698655983504,2013
1698655983512,1998
1698655983520,1991
1698655983528,1979
1698655983536,1979
1698655983544,1971
1698655983552,1971
1698655983560,1984
1698655983568,1993
1698655983576,1990
1698655983584,2011
1698655983592,2022
1698655983600,2034
1698655983608,2067
1698655983616,2085
1698655983624,2096
1698655983632,2121
1698655983640,2134
1698655983648,2165
1698655983656,2178
1698655983664,2202
1698655983672,2226
1698655983680,2234
1698655983688,2257
1698655983696,2269
1698655983704,2288
1698655983712,2304
1698655983720,2316
1698655983728,2323
1698655983736,2334
1698655983744,2339
1698655983752,2352
1698655983760,2365
1698655983768,2371
1698655983776,2368
1698655983784,2373
1698655983792,2382
1698655983800,2383
1698655983808,2391
1698655983816,2393
1698655983824,2397
1698655983832,2394
1698655983840,2395
1698655983848,2398
1698655983856,2398
1698655983864,2406
1698655983872,2400
1698655983880,2387
1698655983888,2320
1698655983896,2277
1698655983904,2251
1698655983912,2194
1698655983920,2165
1698655983928,2134
1698655983936,2075
1698655983944,2046
1698655983952,1982
1698655983960,1951
1698655983968,1924
1698655983976,1877
1698655983984,1851
1698655983992,1819
1698655984000,1804
1698655984008,1779
1698655984016,1763
1698655984024,1757
1698655984032,1744
1698655984040,1749
1698655984048,1753
1698655984056,1757
1698655984064,1766
1698655984072,1787
1698655984080,1803
1698655984088,1827
1698655984096,1862
1698655984104,1882
1698655984112,1926
1698655984120,1951
1698655984128,1979
1698655984136,2030
1698655984144,2058
1698655984152,2093
1698655984160,2112
1698655984168,2146
1698655984176,2157
1698655984184,2175
1698655984192,2196
1698655984200,2204
1698655984208,2206
1698655984216,2214
1698655984224,2215
1698655984232,2215
1698655984240,2221
1698655984248,2217
1698655984256,2202
1698655984264,2199
1698655984272,2191
1698655984280,2183
1698655984288,2180
1698655984296,2170
1698655984304,2158
1698655984312,2146
1698655984320,2139
1698655984328,2133
1698655984336,2132
1698655984344,2128
1698655984352,2118
1698655984360,2114
1698655984368,2115
1698655984376,2123
1698655984384,2111
1698655984392,2114
1698655984400,2114
1698655984408,2109
1698655984416,2107
1698655984424,2111
1698655984432,2111
1698655984440,2112
1698655984448,2112
1698655984456,2109
1698655984464,2112
1698655984472,2112
1698655984480,2113
1698655984488,2123
1698655984496,2124
1698655984504,2118
1698655984512,2123
1698655984520,2127
1698655984528,2128
1698655984536,2128
1698655984544,2138
1698655984552,2131
1698655984560,2131
1698655984568,2134
1698655984576,2129
1698655984584,2137
1698655984592,2136
1698655984600,2138
1698655984608,2128
1698655984616,2128
1698655984624,2128
1698655984632,2128
1698655984640,2130
1698655984648,2129
1698655984656,2122
1698655984664,2116
1698655984672,2107
1698655984680,2096
1698655984688,2078
1698655984696,2061
1698655984704,2032
1698655984712,1985
1698655984720,1962
1698655984728,1933
1698655984736,1887
1698655984744,1854
1698655984752,1794
1698655984760,1768
1698655984768,1741
1698655984776,1686
1698655984784,1675
1698655984792,1641
1698655984800,1621
1698655984808,1599
1698655984816,1583
1698655984824,1570
1698655984832,1565
1698655984840,1571
1698655984848,1575
1698655984856,1584
1698655984864,1597
1698655984872,1623
1698655984880,1642
1698655984888,1663
1698655984896,1710
1698655984904,1728
1698655984912,1779
1698655984920,1806
1698655984928,1833
1698655984936,1894
1698655984944,1922
1698655984952,1970
1698655984960,2000
1698655984968,2031
1698655984976,2079
1698655984984,2102
1698655984992,2146
1698655985000,2160
1698655985008,2172
1698655985016,2196
1698655985024,2205
1698655985032,2224
1698655985040,2233
1698655985048,2237
1698655985056,2235
1698655985064,2235
1698655985072,2226
1698655985080,2224
1698655985088,2226
1698655985096,2219
1698655985104,2203
1698655985112,2191
1698655985120,2181
1698655985128,2174
1698655985136,2159
1698655985144,2154
1698655985152,2128
1698655985160,2117
1698655985168,2109
1698655985176,2086
1698655985184,2071
1698655985192,2061
1698655985200,2051
1698655985208,2032
1698655985216,2018
1698655985224,2006
1698655985232,1997
1698655985240,1993
1698655985248,1987
1698655985256,1971
1698655985264,1955
1698655985272,1966
1698655985280,1961
1698655985288,1966
1698655985296,1954
1698655985304,1955
1698655985312,1957
1698655985320,1959
1698655985328,1959
1698655985336,1968
1698655985344,1971
1698655985352,1971
1698655985360,1978
1698655985368,1982
1698655985376,1993
1698655985384,1996
1698655985392,2009
1698655985400,2007
1698655985408,2015
1698655985416,2023
1698655985424,2029
1698655985432,2035
1698655985440,2043
1698655985448,2047
1698655985456,2061
1698655985464,2063
1698655985472,2066
1698655985480,2067
1698655985488,2080
1698655985496,2077
1698655985504,2069
1698655985512,2067
1698655985520,2064
1698655985528,2055
1698655985536,2032
1698655985544,2010
1698655985552,1969
1698655985560,1948
1698655985568,1897
1698655985576,1868
1698655985584,1840
1698655985592,1785
1698655985600,1749
1698655985608,1695
1698655985616,1667
1698655985624,1645
1698655985632,1598
1698655985640,1574
1698655985648,1554
1698655985656,1523
1698655985664,1510
1698655985672,1495
1698655985680,1491
1698655985688,1490
1698655985696,1505
1698655985704,1511
1698655985712,1534
1698655985720,1552
1698655985728,1574
1698655985736,1616
1698655985744,1642
1698655985752,1693
1698655985760,1725
1698655985768,1758
1698655985776,1815
1698655985784,1853
1698655985792,1920
1698655985800,1950
1698655985808,1973
1698655985816,2030
1698655985824,2064
1698655985832,2108
1698655985840,2134
1698655985848,2154
1698655985856,2176
1698655985864,2191
1698655985872,2207
1698655985880,2210
1698655985888,2224
1698655985896,2224
1698655985904,2219
1698655985912,2208
1698655985920,2202
1698655985928,2194
1698655985936,2186
1698655985944,2176
1698655985952,2153
1698655985960,2138
1698655985968,2128
1698655985976,2109
1698655985984,2097
1698655985992,2083
1698655986000,2074
1698655986008,2060
1698655986016,2036
1698655986024,2032
1698655986032,2018
1698655986040,2023
1698655986048,2018
1698655986056,2010
1698655986064,2007
1698655986072,2011
1698655986080,2019
1698655986088,2032
1698655986096,2045
1698655986104,2047
1698655986112,2070
1698655986120,2082
1698655986128,2096
1698655986136,2122
1698655986144,2144
1698655986152,2162
1698655986160,2183
1698655986168,2193
1698655986176,2226
1698655986184,2241
1698655986192,2272
1698655986200,2287
1698655986208,2291
1698655986216,2313
1698655986224,2319
1698655986232,2322
1698655986240,2336
1698655986248,2338
1698655986256,2330
1698655986264,2322
1698655986272,2315
1698655986280,2307
1698655986288,2302
1698655986296,2278
1698655986304,2257
1698655986312,2237
1698655986320,2223
1698655986328,2206
1698655986336,2188
1698655986344,2174
1698655986352,2142
1698655986360,2128
1698655986368,2121
1698655986376,2096
1698655986384,2083
1698655986392,2061
1698655986400,2042
1698655986408,2017
1698655986416,1979
1698655986424,1952
1698655986432,1903
1698655986440,1873
1698655986448,1841
1698655986456,1776
1698655986464,1740
1698655986472,1677
1698655986480,1645
1698655986488,1616
1698655986496,1563
1698655986504,1523
1698655986512,1483
1698655986520,1461
1698655986528,1443
1698655986536,1422
1698655986544,1410
1698655986552,1393
1698655986560,1391
1698655986568,1393
1698655986576,1405
1698655986584,1418
1698655986592,1448
1698655986600,1466
1698655986608,1482
1698655986616,1527
1698655986624,1561
1698655986632,1617
1698655986640,1662
1698655986648,1696
1698655986656,1763
1698655986664,1799
1698655986672,1872
1698655986680,1909
1698655986688,1981
1698655986696,2011
1698655986704,2039
1698655986712,2096
1698655986720,2118
1698655986728,2160
1698655986736,2182
1698655986744,2195
1698655986752,2210
1698655986760,2214
1698655986768,2219
1698655986776,2219
1698655986784,2217
1698655986792,2214
1698655986800,2204
1698655986808,2191
1698655986816,2172
1698655986824,2159
1698655986832,2133
1698655986840,2126
1698655986848,2110
1698655986856,2078
1698655986864,2063
1698655986872,2030
1698655986880,2016
1698655986888,2007
1698655986896,1985
1698655986904,1968
1698655986912,1953
1698655986920,1943
1698655986928,1936
1698655986936,1924
1698655986944,1925
1698655986952,1915
1698655986960,1915
1698655986968,1910
1698655986976,1911
1698655986984,1914
1698655986992,1919
1698655987000,1929
1698655987008,1926
1698655987016,1936
1698655987024,1942
1698655987032,1955
1698655987040,1968
1698655987048,1982
1698655987056,1997
1698655987064,2005
1698655987072,2031
1698655987080,2039
1698655987088,2064
1698655987096,2075
1698655987104,2095
1698655987112,2113
1698655987120,2127
1698655987128,2133
1698655987136,2158
1698655987144,2176
1698655987152,2187
1698655987160,2196
1698655987168,2209
1698655987176,2224
1698655987184,2237
1698655987192,2257
1698655987200,2257
1698655987208,2263
1698655987216,2272
1698655987224,2275
1698655987232,2271
1698655987240,2267
1698655987248,2262
1698655987256,2235
1698655987264,2219
1698655987272,2179
1698655987280,2151
1698655987288,2123
1698655987296,2064
1698655987304,2031
1698655987312,1968
1698655987320,1937
1698655987328,1907
1698655987336,1861
1698655987344,1819
1698655987352,1801
1698655987360,1779
1698655987368,1754
1698655987376,1744
1698655987384,1737
1698655987392,1731
1698655987400,1733
1698655987408,1741
1698655987416,1747
1698655987424,1760
1698655987432,1785
1698655987440,1808
1698655987448,1840
1698655987456,1863
1698655987464,1888
1698655987472,1936
1698655987480,1966
1698655987488,2016
1698655987496,2045
1698655987504,2076
1698655987512,2127
1698655987520,2151
1698655987528,2191
1698655987536,2217
1698655987544,2235
1698655987552,2251
1698655987560,2267
1698655987568,2283
1698655987576,2288
1698655987584,2288
1698655987592,2288
1698655987600,2287
1698655987608,2275
1698655987616,2266
1698655987624,2256
1698655987632,2239
1698655987640,2232
1698655987648,2206
1698655987656,2192
1698655987664,2182
1698655987672,2161
1698655987680,2154
1698655987688,2140
1698655987696,2131
1698655987704,2119
1698655987712,2108
1698655987720,2103
1698655987728,2099
1698655987736,2099
1698655987744,2100
1698655987752,2095
1698655987760,2096
1698655987768,2100
1698655987776,2099
1698655987784,2102
1698655987792,2112
1698655987800,2115
1698655987808,2113
1698655987816,2118
1698655987824,2119
1698655987832,2126
1698655987840,2128
1698655987848,2140
1698655987856,2138
1698655987864,2141
1698655987872,2143
1698655987880,2146
1698655987888,2156
1698655987896,2154
1698655987904,2148
1698655987912,2146
1698655987920,2146
1698655987928,2141
1698655987936,2146
1698655987944,2142
1698655987952,2128
1698655987960,2126
1698655987968,2114
1698655987976,2112
1698655987984,2107
1698655987992,2106
1698655988000,2098
1698655988008,2087
1698655988016,2084
1698655988024,2079
1698655988032,2079
1698655988040,2075
1698655988048,2081
1698655988056,2077
1698655988064,2074
1698655988072,2074
1698655988080,2069
1698655988088,2067
1698655988096,2062
1698655988104,2030
1698655988112,2013
1698655988120,1994
1698655988128,1953
1698655988136,1936
1698655988144,1883
1698655988152,1850
1698655988160,1819
1698655988168,1771
1698655988176,1739
1698655988184,1694
1698655988192,1669
1698655988200,1645
1698655988208,1601
1698655988216,1584
1698655988224,1555
1698655988232,1548
1698655988240,1545
1698655988248,1534
1698655988256,1530
1698655988264,1543
1698655988272,1552
1698655988280,1565
1698655988288,1597
1698655988296,1616
1698655988304,1649
1698655988312,1677
1698655988320,1706
1698655988328,1758
1698655988336,1794
1698655988344,1855
1698655988352,1881
1698655988360,1914
1698655988368,1974
1698655988376,2003
1698655988384,2066
1698655988392,2096
1698655988400,2119
1698655988408,2154
1698655988416,2170
1698655988424,2194
1698655988432,2210
1698655988440,2224
1698655988448,2236
1698655988456,2230
1698655988464,2234
1698655988472,2229
1698655988480,2224
1698655988488,2223
1698655988496,2217
1698655988504,2192
1698655988512,2183
1698655988520,2173
1698655988528,2155
1698655988536,2150
1698655988544,2128
1698655988552,2110
1698655988560,2098
1698655988568,2083
1698655988576,2075
1698655988584,2064
1698655988592,2060
1698655988600,2046
1698655988608,2032
1698655988616,2032
1698655988624,2023
1698655988632,2023
1698655988640,2026
1698655988648,2027
1698655988656,2022
1698655988664,2023
1698655988672,2030
1698655988680,2032
1698655988688,2043
1698655988696,2047
1698655988704,2057
1698655988712,2059
1698655988720,2067
1698655988728,2078
1698655988736,2095
1698655988744,2101
1698655988752,2098
1698655988760,2103
1698655988768,2110
1698655988776,2112
1698655988784,2119
1698655988792,2118
1698655988800,2118
1698655988808,2112
1698655988816,2110
1698655988824,2101
1698655988832,2098
