time,value
1698656401000,1973
1698656401008,1968
1698656401016,1962
1698656401024,1951
1698656401032,1939
1698656401040,1941
1698656401048,1915
1698656401056,1910
1698656401064,1903
1698656401072,1877
1698656401080,1872
1698656401088,1851
1698656401096,1841
1698656401104,1837
1698656401112,1822
1698656401120,1813
1698656401128,1809
1698656401136,1797
1698656401144,1793
1698656401152,1782
1698656401160,1785
1698656401168,1776
1698656401176,1763
1698656401184,1759
1698656401192,1744
1698656401200,1737
1698656401208,1725
1698656401216,1714
1698656401224,1707
1698656401232,1691
1698656401240,1680
1698656401248,1674
1698656401256,1664
1698656401264,1655
1698656401272,1643
1698656401280,1634
1698656401288,1634
1698656401296,1627
1698656401304,1627
1698656401312,1629
1698656401320,1632
1698656401328,1623
1698656401336,1625
1698656401344,1631
1698656401352,1638
1698656401360,1648
1698656401368,1650
1698656401376,1655
1698656401384,1664
1698656401392,1680
1698656401400,1686
1698656401408,1695
1698656401416,1712
1698656401424,1719
1698656401432,1737
1698656401440,1744
1698656401448,1753
1698656401456,1761
1698656401464,1776
1698656401472,1776
1698656401480,1779
1698656401488,1779
1698656401496,1783
1698656401504,1783
1698656401512,1782
1698656401520,1785
1698656401528,1783
1698656401536,1783
1698656401544,1783
1698656401552,1786
1698656401560,1794
1698656401568,1798
1698656401576,1798
1698656401584,1807
1698656401592,1818
1698656401600,1825
1698656401608,1836
1698656401616,1853
1698656401624,1865
1698656401632,1873
1698656401640,1893
1698656401648,1902
1698656401656,1919
1698656401664,1925
1698656401672,1927
1698656401680,1925
1698656401688,1926
1698656401696,1931
1698656401704,1924
1698656401712,1920
1698656401720,1907
1698656401728,1901
1698656401736,1884
1698656401744,1872
1698656401752,1862
1698656401760,1842
1698656401768,1831
1698656401776,1798
1698656401784,1783
1698656401792,1773
1698656401800,1744
1698656401808,1736
1698656401816,1712
1698656401824,1693
1698656401832,1680
1698656401840,1654
1698656401848,1644
1698656401856,1626
1698656401864,1608
1698656401872,1594
1698656401880,1565
1698656401888,1551
1698656401896,1520
1698656401904,1509
1698656401912,1499
1698656401920,1470
1698656401928,1459
1698656401936,1441
1698656401944,1427
1698656401952,1418
1698656401960,1405
1698656401968,1393
1698656401976,1375
1698656401984,1360
1698656401992,1360
1698656402000,1347
1698656402008,1350
1698656402016,1341
1698656402024,1338
1698656402032,1333
1698656402040,1335
1698656402048,1335
1698656402056,1344
1698656402064,1348
1698656402072,1355
1698656402080,1361
1698656402088,1369
1698656402096,1387
1698656402104,1392
1698656402112,1409
1698656402120,1421
1698656402128,1425
1698656402136,1443
1698656402144,1454
1698656402152,1459
1698656402160,1475
1698656402168,1474
1698656402176,1483
1698656402184,1485
1698656402192,1487
1698656402200,1488
1698656402208,1487
1698656402216,1489
1698656402224,1487
1698656402232,1483
1698656402240,1479
1698656402248,1477
1698656402256,1479
1698656402264,1474
1698656402272,1466
1698656402280,1461
1698656402288,1461
1698656402296,1461
1698656402304,1459
1698656402312,1459
1698656402320,1463
1698656402328,1470
1698656402336,1473
1698656402344,1475
1698656402352,1483
1698656402360,1491
1698656402368,1492
1698656402376,1493
1698656402384,1495
1698656402392,1495
1698656402400,1493
1698656402408,1498
1698656402416,1493
1698656402424,1488
1698656402432,1485
1698656402440,1477
1698656402448,1471
1698656402456,1463
1698656402464,1457
1698656402472,1456
1698656402480,1438
1698656402488,1431
1698656402496,1423
1698656402504,1413
1698656402512,1413
1698656402520,1399
1698656402528,1395
1698656402536,1391
1698656402544,1382
1698656402552,1378
1698656402560,1374
1698656402568,1367
1698656402576,1357
1698656402584,1350
1698656402592,1344
1698656402600,1337
1698656402608,1338
1698656402616,1328
1698656402624,1325
1698656402632,1319
1698656402640,1319
1698656402648,1317
1698656402656,1315
1698656402664,1316
1698656402672,1315
1698656402680,1311
1698656402688,1311
1698656402696,1310
1698656402704,1307
1698656402712,1311
1698656402720,1303
1698656402728,1303
1698656402736,1301
1698656402744,1302
1698656402752,1305
1698656402760,1311
1698656402768,1311
1698656402776,1317
1698656402784,1323
1698656402792,1329
1698656402800,1343
1698656402808,1350
1698656402816,1364
1698656402824,1371
1698656402832,1382
1698656402840,1397
1698656402848,1401
1698656402856,1407
1698656402864,1411
1698656402872,1417
1698656402880,1419
1698656402888,1426
1698656402896,1431
1698656402904,1427
1698656402912,1435
1698656402920,1446
1698656402928,1456
1698656402936,1477
1698656402944,1489
1698656402952,1504
1698656402960,1523
1698656402968,1564
1698656402976,1584
1698656402984,1600
1698656402992,1616
1698656403000,1667
1698656403008,1689
1698656403016,1733
1698656403024,1761
1698656403032,1809
1698656403040,1843
1698656403048,1872
