time,value
1698653521000,1950
1698653521008,1947
1698653521016,1941
1698653521024,1939
1698653521032,1923
1698653521040,1920
1698653521048,1915
1698653521056,1904
1698653521064,1903
1698653521072,1891
1698653521080,1888
1698653521088,1875
1698653521096,1872
1698653521104,1869
1698653521112,1863
1698653521120,1859
1698653521128,1858
1698653521136,1858
1698653521144,1851
1698653521152,1847
1698653521160,1850
1698653521168,1847
1698653521176,1849
1698653521184,1851
1698653521192,1851
1698653521200,1850
1698653521208,1850
1698653521216,1841
1698653521224,1851
1698653521232,1840
1698653521240,1831
1698653521248,1824
1698653521256,1799
1698653521264,1787
1698653521272,1751
1698653521280,1729
1698653521288,1712
1698653521296,1670
1698653521304,1650
1698653521312,1613
1698653521320,1594
1698653521328,1558
1698653521336,1545
1698653521344,1522
1698653521352,1501
1698653521360,1490
1698653521368,1487
1698653521376,1478
1698653521384,1479
1698653521392,1490
1698653521400,1502
1698653521408,1515
1698653521416,1553
1698653521424,1575
1698653521432,1623
1698653521440,1648
1698653521448,1683
1698653521456,1744
1698653521464,1781
1698653521472,1851
1698653521480,1886
1698653521488,1921
1698653521496,1987
1698653521504,2021
1698653521512,2078
1698653521520,2112
1698653521528,2128
1698653521536,2162
1698653521544,2174
1698653521552,2192
1698653521560,2192
1698653521568,2195
1698653521576,2190
1698653521584,2171
1698653521592,2141
1698653521600,2119
1698653521608,2095
1698653521616,2045
1698653521624,2017
1698653521632,1956
1698653521640,1922
1698653521648,1897
1698653521656,1840
1698653521664,1813
1698653521672,1771
1698653521680,1744
1698653521688,1715
1698653521696,1681
1698653521704,1661
1698653521712,1637
1698653521720,1633
1698653521728,1623
1698653521736,1606
1698653521744,1607
1698653521752,1603
1698653521760,1602
1698653521768,1613
1698653521776,1614
1698653521784,1609
1698653521792,1614
1698653521800,1616
1698653521808,1616
1698653521816,1616
1698653521824,1616
1698653521832,1606
1698653521840,1601
1698653521848,1600
1698653521856,1580
1698653521864,1582
1698653521872,1575
1698653521880,1568
1698653521888,1552
1698653521896,1534
1698653521904,1522
1698653521912,1506
1698653521920,1504
1698653521928,1494
1698653521936,1477
1698653521944,1471
1698653521952,1455
1698653521960,1453
1698653521968,1452
1698653521976,1438
1698653521984,1433
1698653521992,1424
1698653522000,1424
1698653522008,1424
1698653522016,1434
1698653522024,1435
1698653522032,1438
1698653522040,1442
1698653522048,1456
1698653522056,1471
1698653522064,1481
1698653522072,1506
1698653522080,1520
1698653522088,1527
1698653522096,1558
1698653522104,1573
1698653522112,1598
1698653522120,1616
1698653522128,1621
1698653522136,1631
1698653522144,1630
1698653522152,1625
1698653522160,1616
1698653522168,1613
1698653522176,1584
1698653522184,1561
1698653522192,1517
1698653522200,1491
1698653522208,1470
1698653522216,1426
1698653522224,1401
1698653522232,1355
1698653522240,1332
1698653522248,1295
1698653522256,1275
1698653522264,1262
1698653522272,1241
1698653522280,1232
1698653522288,1221
1698653522296,1215
1698653522304,1213
1698653522312,1222
1698653522320,1235
1698653522328,1249
1698653522336,1273
1698653522344,1299
1698653522352,1353
1698653522360,1388
1698653522368,1424
1698653522376,1488
1698653522384,1522
1698653522392,1597
1698653522400,1633
1698653522408,1672
1698653522416,1738
1698653522424,1770
1698653522432,1808
1698653522440,1829
1698653522448,1848
1698653522456,1869
1698653522464,1874
1698653522472,1881
1698653522480,1875
1698653522488,1866
1698653522496,1840
1698653522504,1814
1698653522512,1777
1698653522520,1759
1698653522528,1731
1698653522536,1672
1698653522544,1642
1698653522552,1584
1698653522560,1552
1698653522568,1499
1698653522576,1471
1698653522584,1441
1698653522592,1397
1698653522600,1379
1698653522608,1360
1698653522616,1339
1698653522624,1328
1698653522632,1309
1698653522640,1304
1698653522648,1300
1698653522656,1299
1698653522664,1297
1698653522672,1312
1698653522680,1314
1698653522688,1316
1698653522696,1327
1698653522704,1333
1698653522712,1344
1698653522720,1354
1698653522728,1360
1698653522736,1360
1698653522744,1370
1698653522752,1382
1698653522760,1384
1698653522768,1392
1698653522776,1393
1698653522784,1392
1698653522792,1392
1698653522800,1392
1698653522808,1392
1698653522816,1392
1698653522824,1389
1698653522832,1376
1698653522840,1375
1698653522848,1367
1698653522856,1361
1698653522864,1360
1698653522872,1360
1698653522880,1357
1698653522888,1351
1698653522896,1349
1698653522904,1353
1698653522912,1357
1698653522920,1365
1698653522928,1376
1698653522936,1390
1698653522944,1405
1698653522952,1429
1698653522960,1455
1698653522968,1498
1698653522976,1521
1698653522984,1550
1698653522992,1594
1698653523000,1616
1698653523008,1635
1698653523016,1674
1698653523024,1684
1698653523032,1699
1698653523040,1707
1698653523048,1709
1698653523056,1706
1698653523064,1699
1698653523072,1693
1698653523080,1680
1698653523088,1667
1698653523096,1647
1698653523104,1633
1698653523112,1613
1698653523120,1603
1698653523128,1589
1698653523136,1578
1698653523144,1574
1698653523152,1568
1698653523160,1571
1698653523168,1584
1698653523176,1595
1698653523184,1616
1698653523192,1634
1698653523200,1655
1698653523208,1700
1698653523216,1739
1698653523224,1773
1698653523232,1831
1698653523240,1872
1698653523248,1949
1698653523256,1994
1698653523264,2038
1698653523272,2128
1698653523280,2169
1698653523288,2231
1698653523296,2268
1698653523304,2298
1698653523312,2343
1698653523320,2374
1698653523328,2393
1698653523336,2406
1698653523344,2411
1698653523352,2410
1698653523360,2405
1698653523368,2383
1698653523376,2373
1698653523384,2339
1698653523392,2315
1698653523400,2291
1698653523408,2247
1698653523416,2224
1698653523424,2177
1698653523432,2153
1698653523440,2131
1698653523448,2093
1698653523456,2074
1698653523464,2044
1698653523472,2032
1698653523480,2021
1698653523488,2007
1698653523496,2005
1698653523504,2007
1698653523512,2009
1698653523520,2015
1698653523528,2028
1698653523536,2035
1698653523544,2043
1698653523552,2064
1698653523560,2069
1698653523568,2091
1698653523576,2097
1698653523584,2111
1698653523592,2119
1698653523600,2128
1698653523608,2133
1698653523616,2139
1698653523624,2146
1698653523632,2150
1698653523640,2155
1698653523648,2158
1698653523656,2159
1698653523664,2160
1698653523672,2156
1698653523680,2146
1698653523688,2149
1698653523696,2148
1698653523704,2145
1698653523712,2141
1698653523720,2138
1698653523728,2131
1698653523736,2128
1698653523744,2127
1698653523752,2119
1698653523760,2115
1698653523768,2119
1698653523776,2112
1698653523784,2112
1698653523792,2113
1698653523800,2115
1698653523808,2117
1698653523816,2122
1698653523824,2125
1698653523832,2122
1698653523840,2124
1698653523848,2128
1698653523856,2133
1698653523864,2138
1698653523872,2151
1698653523880,2150
1698653523888,2146
1698653523896,2143
1698653523904,2132
1698653523912,2117
1698653523920,2115
1698653523928,2085
1698653523936,2063
1698653523944,2034
1698653523952,1999
1698653523960,1979
1698653523968,1939
1698653523976,1924
1698653523984,1901
1698653523992,1866
1698653524000,1850
1698653524008,1823
1698653524016,1815
1698653524024,1805
1698653524032,1782
1698653524040,1777
1698653524048,1776
1698653524056,1776
1698653524064,1783
1698653524072,1803
1698653524080,1815
1698653524088,1839
1698653524096,1857
1698653524104,1878
1698653524112,1917
1698653524120,1947
1698653524128,1999
1698653524136,2019
1698653524144,2055
1698653524152,2112
1698653524160,2135
1698653524168,2192
1698653524176,2218
1698653524184,2230
1698653524192,2273
1698653524200,2287
1698653524208,2310
1698653524216,2326
1698653524224,2333
1698653524232,2330
1698653524240,2327
1698653524248,2315
1698653524256,2304
1698653524264,2290
1698653524272,2260
1698653524280,2240
1698653524288,2189
1698653524296,2158
1698653524304,2130
1698653524312,2074
1698653524320,2043
1698653524328,1987
1698653524336,1951
1698653524344,1926
1698653524352,1878
1698653524360,1857
1698653524368,1822
1698653524376,1805
1698653524384,1770
1698653524392,1759
1698653524400,1744
1698653524408,1735
1698653524416,1733
1698653524424,1729
1698653524432,1721
1698653524440,1721
1698653524448,1719
1698653524456,1725
1698653524464,1730
1698653524472,1738
1698653524480,1741
1698653524488,1744
1698653524496,1744
1698653524504,1745
1698653524512,1753
1698653524520,1760
1698653524528,1760
1698653524536,1757
1698653524544,1758
1698653524552,1756
1698653524560,1758
1698653524568,1756
1698653524576,1756
1698653524584,1744
1698653524592,1744
1698653524600,1742
1698653524608,1730
1698653524616,1734
1698653524624,1729
1698653524632,1714
1698653524640,1711
1698653524648,1699
1698653524656,1693
1698653524664,1687
1698653524672,1680
1698653524680,1676
1698653524688,1662
1698653524696,1659
1698653524704,1655
1698653524712,1651
1698653524720,1647
1698653524728,1648
1698653524736,1637
1698653524744,1634
1698653524752,1633
1698653524760,1631
1698653524768,1638
1698653524776,1639
1698653524784,1637
1698653524792,1635
1698653524800,1638
1698653524808,1631
1698653524816,1632
1698653524824,1619
1698653524832,1601
1698653524840,1593
1698653524848,1567
1698653524856,1549
1698653524864,1527
1698653524872,1503
1698653524880,1484
1698653524888,1446
1698653524896,1433
1698653524904,1420
1698653524912,1395
1698653524920,1390
1698653524928,1370
1698653524936,1357
1698653524944,1353
1698653524952,1349
1698653524960,1351
1698653524968,1366
1698653524976,1381
1698653524984,1405
1698653524992,1424
1698653525000,1446
1698653525008,1490
1698653525016,1521
1698653525024,1587
1698653525032,1617
1698653525040,1654
1698653525048,1717
1698653525056,1758
1698653525064,1833
1698653525072,1870
1698653525080,1903
1698653525088,1961
1698653525096,1987
1698653525104,2032
1698653525112,2063
1698653525120,2093
1698653525128,2113
1698653525136,2119
1698653525144,2134
1698653525152,2131
1698653525160,2131
1698653525168,2127
1698653525176,2121
1698653525184,2096
1698653525192,2080
1698653525200,2061
1698653525208,2015
1698653525216,1991
1698653525224,1967
1698653525232,1936
1698653525240,1909
1698653525248,1872
1698653525256,1855
1698653525264,1827
1698653525272,1808
1698653525280,1794
1698653525288,1766
1698653525296,1750
1698653525304,1735
1698653525312,1729
1698653525320,1728
1698653525328,1718
1698653525336,1719
1698653525344,1719
1698653525352,1721
1698653525360,1725
1698653525368,1727
1698653525376,1733
1698653525384,1729
1698653525392,1732
1698653525400,1732
1698653525408,1731
1698653525416,1720
1698653525424,1709
1698653525432,1709
1698653525440,1697
1698653525448,1681
1698653525456,1665
1698653525464,1659
1698653525472,1637
1698653525480,1629
1698653525488,1602
1698653525496,1590
1698653525504,1581
1698653525512,1555
1698653525520,1552
1698653525528,1525
1698653525536,1520
1698653525544,1510
1698653525552,1496
1698653525560,1488
1698653525568,1484
1698653525576,1476
1698653525584,1475
1698653525592,1479
1698653525600,1477
1698653525608,1488
1698653525616,1501
1698653525624,1501
1698653525632,1517
1698653525640,1521
1698653525648,1545
1698653525656,1555
1698653525664,1566
1698653525672,1581
1698653525680,1585
1698653525688,1605
1698653525696,1614
1698653525704,1618
1698653525712,1622
1698653525720,1634
1698653525728,1611
1698653525736,1599
1698653525744,1583
1698653525752,1551
1698653525760,1520
1698653525768,1475
