time,value
1698655200000,1678
1698655200008,1661
1698655200016,1648
1698655200024,1616
1698655200032,1597
1698655200040,1584
1698655200048,1553
1698655200056,1527
1698655200064,1509
1698655200072,1502
1698655200080,1491
1698655200088,1487
1698655200096,1482
1698655200104,1482
1698655200112,1501
1698655200120,1506
1698655200128,1535
1698655200136,1558
1698655200144,1601
1698655200152,1630
1698655200160,1661
1698655200168,1716
1698655200176,1753
1698655200184,1815
1698655200192,1853
1698655200200,1885
1698655200208,1951
1698655200216,1977
1698655200224,2022
1698655200232,2043
1698655200240,2068
1698655200248,2093
1698655200256,2101
1698655200264,2111
1698655200272,2109
1698655200280,2103
1698655200288,2087
1698655200296,2077
1698655200304,2041
1698655200312,2030
1698655200320,1983
1698655200328,1963
1698655200336,1936
1698655200344,1889
1698655200352,1865
1698655200360,1843
1698655200368,1793
1698655200376,1772
1698655200384,1738
1698655200392,1718
1698655200400,1701
1698655200408,1681
1698655200416,1678
1698655200424,1658
1698655200432,1663
1698655200440,1662
1698655200448,1667
1698655200456,1671
1698655200464,1693
1698655200472,1696
1698655200480,1705
1698655200488,1726
1698655200496,1739
1698655200504,1763
1698655200512,1770
1698655200520,1785
1698655200528,1792
1698655200536,1802
1698655200544,1814
1698655200552,1822
1698655200560,1836
1698655200568,1834
1698655200576,1835
1698655200584,1840
1698655200592,1840
1698655200600,1841
1698655200608,1840
1698655200616,1839
1698655200624,1829
1698655200632,1827
1698655200640,1822
1698655200648,1811
1698655200656,1809
1698655200664,1813
1698655200672,1808
1698655200680,1808
1698655200688,1809
1698655200696,1810
1698655200704,1821
1698655200712,1824
1698655200720,1825
1698655200728,1830
1698655200736,1837
1698655200744,1845
1698655200752,1849
1698655200760,1865
1698655200768,1870
1698655200776,1875
1698655200784,1888
1698655200792,1892
1698655200800,1903
1698655200808,1903
1698655200816,1902
1698655200824,1890
1698655200832,1886
1698655200840,1872
1698655200848,1862
1698655200856,1853
1698655200864,1830
1698655200872,1817
1698655200880,1795
1698655200888,1779
1698655200896,1770
1698655200904,1749
1698655200912,1738
1698655200920,1713
1698655200928,1703
1698655200936,1701
1698655200944,1687
1698655200952,1690
1698655200960,1686
1698655200968,1693
1698655200976,1697
1698655200984,1711
1698655200992,1719
1698655201000,1747
1698655201008,1767
1698655201016,1779
1698655201024,1808
1698655201032,1830
1698655201040,1863
1698655201048,1881
1698655201056,1905
1698655201064,1934
1698655201072,1946
1698655201080,1970
1698655201088,1983
1698655201096,1987
1698655201104,2000
1698655201112,2010
1698655201120,2011
1698655201128,2000
1698655201136,1997
1698655201144,1981
1698655201152,1968
1698655201160,1949
1698655201168,1935
1698655201176,1906
1698655201184,1887
1698655201192,1871
1698655201200,1839
1698655201208,1821
1698655201216,1794
1698655201224,1777
1698655201232,1757
1698655201240,1733
1698655201248,1718
1698655201256,1706
1698655201264,1702
1698655201272,1693
1698655201280,1684
1698655201288,1683
1698655201296,1683
1698655201304,1680
1698655201312,1694
1698655201320,1701
1698655201328,1702
1698655201336,1712
1698655201344,1718
1698655201352,1727
1698655201360,1742
1698655201368,1745
1698655201376,1750
1698655201384,1754
1698655201392,1756
1698655201400,1759
1698655201408,1758
1698655201416,1761
1698655201424,1756
1698655201432,1748
1698655201440,1743
1698655201448,1739
1698655201456,1729
1698655201464,1732
1698655201472,1726
1698655201480,1712
1698655201488,1707
1698655201496,1699
1698655201504,1695
1698655201512,1699
1698655201520,1695
1698655201528,1688
1698655201536,1687
1698655201544,1683
1698655201552,1682
1698655201560,1694
1698655201568,1697
1698655201576,1701
1698655201584,1703
1698655201592,1707
1698655201600,1712
1698655201608,1715
1698655201616,1726
1698655201624,1730
1698655201632,1727
1698655201640,1731
1698655201648,1730
1698655201656,1735
1698655201664,1741
1698655201672,1738
1698655201680,1725
1698655201688,1719
1698655201696,1712
1698655201704,1699
1698655201712,1683
1698655201720,1674
1698655201728,1659
1698655201736,1635
1698655201744,1623
1698655201752,1612
1698655201760,1594
1698655201768,1582
1698655201776,1555
1698655201784,1546
1698655201792,1529
1698655201800,1516
1698655201808,1505
1698655201816,1501
1698655201824,1500
1698655201832,1489
1698655201840,1494
1698655201848,1491
1698655201856,1518
1698655201864,1533
1698655201872,1552
1698655201880,1578
1698655201888,1593
1698655201896,1628
1698655201904,1648
1698655201912,1696
1698655201920,1714
1698655201928,1732
1698655201936,1773
1698655201944,1798
1698655201952,1811
1698655201960,1857
1698655201968,1873
1698655201976,1891
1698655201984,1904
1698655201992,1917
1698655202000,1929
1698655202008,1935
1698655202016,1939
1698655202024,1941
1698655202032,1935
1698655202040,1922
1698655202048,1919
1698655202056,1903
1698655202064,1893
1698655202072,1878
1698655202080,1850
1698655202088,1835
1698655202096,1808
1698655202104,1793
1698655202112,1783
1698655202120,1755
1698655202128,1739
1698655202136,1713
1698655202144,1708
1698655202152,1686
1698655202160,1686
1698655202168,1677
1698655202176,1664
1698655202184,1663
1698655202192,1657
1698655202200,1659
1698655202208,1659
1698655202216,1673
1698655202224,1678
1698655202232,1678
1698655202240,1685
