time,value
1698738900000,1043
1698738900008,1054
1698738900016,1072
1698738900024,1078
1698738900032,1091
1698738900040,1104
1698738900048,1115
1698738900056,1136
1698738900064,1144
1698738900072,1166
1698738900080,1171
1698738900088,1178
1698738900096,1193
1698738900104,1196
1698738900112,1205
1698738900120,1210
1698738900128,1219
1698738900136,1220
1698738900144,1226
1698738900152,1229
1698738900160,1231
1698738900168,1235
1698738900176,1239
1698738900184,1239
1698738900192,1241
1698738900200,1242
1698738900208,1245
1698738900216,1248
1698738900224,1253
1698738900232,1264
1698738900240,1251
1698738900248,1250
1698738900256,1251
1698738900264,1249
1698738900272,1253
1698738900280,1255
1698738900288,1250
1698738900296,1251
1698738900304,1252
1698738900312,1255
1698738900320,1264
1698738900328,1269
1698738900336,1285
1698738900344,1299
1698738900352,1313
1698738900360,1339
1698738900368,1351
1698738900376,1382
1698738900384,1387
1698738900392,1401
1698738900400,1419
1698738900408,1431
1698738900416,1460
1698738900424,1486
1698738900432,1495
1698738900440,1507
1698738900448,1520
1698738900456,1535
1698738900464,1549
1698738900472,1563
1698738900480,1573
1698738900488,1575
1698738900496,1584
1698738900504,1587
1698738900512,1602
1698738900520,1611
1698738900528,1621
1698738900536,1648
1698738900544,1655
1698738900552,1685
1698738900560,1698
1698738900568,1714
1698738900576,1747
1698738900584,1771
1698738900592,1791
1698738900600,1830
1698738900608,1851
1698738900616,1904
1698738900624,1921
1698738900632,1943
1698738900640,1984
1698738900648,2004
1698738900656,2037
1698738900664,2047
1698738900672,2065
1698738900680,2084
1698738900688,2091
1698738900696,2102
1698738900704,2106
1698738900712,2113
1698738900720,2117
1698738900728,2113
1698738900736,2114
1698738900744,2112
1698738900752,2112
1698738900760,2106
1698738900768,2101
1698738900776,2096
1698738900784,2091
1698738900792,2082
1698738900800,2069
1698738900808,2064
1698738900816,2059
1698738900824,2037
1698738900832,2026
1698738900840,2026
1698738900848,2022
1698738900856,2023
1698738900864,2021
1698738900872,2030
1698738900880,2032
1698738900888,2027
1698738900896,2032
1698738900904,2043
1698738900912,2046
1698738900920,2073
1698738900928,2075
1698738900936,2096
1698738900944,2103
1698738900952,2115
1698738900960,2139
1698738900968,2160
1698738900976,2174
1698738900984,2192
1698738900992,2206
1698738901000,2234
1698738901008,2250
1698738901016,2261
1698738901024,2290
1698738901032,2295
1698738901040,2320
1698738901048,2331
1698738901056,2346
1698738901064,2363
1698738901072,2379
1698738901080,2398
1698738901088,2403
1698738901096,2414
1698738901104,2431
1698738901112,2441
1698738901120,2466
1698738901128,2476
1698738901136,2479
1698738901144,2494
1698738901152,2501
1698738901160,2513
1698738901168,2527
1698738901176,2531
1698738901184,2532
1698738901192,2543
1698738901200,2546
1698738901208,2555
1698738901216,2559
1698738901224,2583
1698738901232,2593
1698738901240,2608
1698738901248,2618
1698738901256,2627
1698738901264,2640
1698738901272,2653
1698738901280,2662
1698738901288,2662
1698738901296,2672
1698738901304,2680
1698738901312,2685
1698738901320,2705
1698738901328,2707
1698738901336,2707
1698738901344,2720
1698738901352,2723
1698738901360,2730
1698738901368,2723
1698738901376,2731
1698738901384,2723
1698738901392,2721
1698738901400,2715
1698738901408,2717
1698738901416,2711
1698738901424,2719
1698738901432,2717
1698738901440,2707
