time,value
1698738900000,2630
1698738900008,2703
1698738900016,2834
1698738900024,2902
1698738900032,2992
1698738900040,3026
1698738900048,3053
1698738900056,3046
1698738900064,3010
1698738900072,2883
1698738900080,2790
1698738900088,2704
1698738900096,2593
1698738900104,2544
1698738900112,2478
1698738900120,2432
1698738900128,2351
1698738900136,2293
1698738900144,2253
1698738900152,2192
1698738900160,2160
1698738900168,2148
1698738900176,2142
1698738900184,2134
1698738900192,2145
1698738900200,2149
1698738900208,2138
1698738900216,2114
1698738900224,2072
1698738900232,2043
1698738900240,1994
1698738900248,1968
1698738900256,1954
1698738900264,1937
1698738900272,1942
1698738900280,1947
1698738900288,1975
1698738900296,2080
1698738900304,2149
1698738900312,2245
1698738900320,2511
1698738900328,2681
1698738900336,3015
1698738900344,3186
1698738900352,3345
1698738900360,3465
1698738900368,3387
1698738900376,3238
1698738900384,3200
1698738900392,3219
1698738900400,3344
1698738900408,3438
1698738900416,3531
1698738900424,3529
1698738900432,3383
1698738900440,3255
1698738900448,3121
1698738900456,2870
1698738900464,2755
1698738900472,2608
1698738900480,2577
1698738900488,2565
1698738900496,2634
1698738900504,2709
1698738900512,2895
1698738900520,3008
1698738900528,3123
1698738900536,3329
1698738900544,3442
1698738900552,3684
1698738900560,3824
1698738900568,3984
1698738900576,4095
1698738900584,4095
1698738900592,4095
1698738900600,4095
1698738900608,4095
1698738900616,4095
1698738900624,4095
1698738900632,4095
1698738900640,4095
1698738900648,4095
1698738900656,3998
1698738900664,3634
1698738900672,3374
1698738900680,3044
1698738900688,2899
1698738900696,2666
1698738900704,2543
1698738900712,2366
1698738900720,2273
1698738900728,2182
1698738900736,2016
1698738900744,1936
1698738900752,1865
1698738900760,1741
1698738900768,1621
1698738900776,1565
1698738900784,1499
1698738900792,1439
1698738900800,1365
1698738900808,1351
1698738900816,1385
1698738900824,1424
1698738900832,1584
1698738900840,1680
1698738900848,1782
1698738900856,1885
1698738900864,2064
1698738900872,2153
1698738900880,2286
1698738900888,2345
1698738900896,2418
1698738900904,2580
1698738900912,2678
1698738900920,2880
1698738900928,2979
1698738900936,3169
1698738900944,3263
1698738900952,3339
1698738900960,3459
1698738900968,3511
1698738900976,3553
1698738900984,3616
1698738900992,3641
1698738901000,3641
1698738901008,3619
1698738901016,3575
1698738901024,3494
1698738901032,3450
1698738901040,3372
1698738901048,3321
1698738901056,3291
1698738901064,3218
1698738901072,3201
1698738901080,3184
1698738901088,3182
1698738901096,3179
1698738901104,3161
1698738901112,3143
1698738901120,3101
1698738901128,3063
1698738901136,3023
1698738901144,2941
1698738901152,2879
1698738901160,2747
1698738901168,2679
1698738901176,2624
1698738901184,2570
1698738901192,2570
1698738901200,2605
1698738901208,2651
1698738901216,2739
1698738901224,2980
1698738901232,3111
1698738901240,3228
1698738901248,3200
1698738901256,3107
1698738901264,2846
1698738901272,2729
1698738901280,2621
1698738901288,2627
1698738901296,2672
1698738901304,2763
1698738901312,2798
1698738901320,2800
1698738901328,2752
1698738901336,2684
1698738901344,2512
1698738901352,2402
1698738901360,2194
1698738901368,2093
1698738901376,2000
1698738901384,1886
1698738901392,1861
1698738901400,1869
1698738901408,1888
1698738901416,1920
1698738901424,1982
1698738901432,2001
1698738901440,2039
1698738901448,2079
1698738901456,2112
1698738901464,2160
1698738901472,2183
1698738901480,2202
1698738901488,2194
1698738901496,2192
1698738901504,2162
1698738901512,2132
1698738901520,2034
1698738901528,1958
1698738901536,1853
1698738901544,1594
1698738901552,1435
1698738901560,1187
1698738901568,1071
1698738901576,896
