time,value
1698738900000,2346
1698738900008,2337
1698738900016,2327
1698738900024,2320
1698738900032,2315
1698738900040,2305
1698738900048,2288
1698738900056,2269
1698738900064,2245
1698738900072,2223
1698738900080,2206
1698738900088,2194
1698738900096,2182
1698738900104,2153
1698738900112,2135
1698738900120,2123
1698738900128,2093
1698738900136,2078
1698738900144,2043
1698738900152,2010
1698738900160,1995
1698738900168,1967
1698738900176,1951
1698738900184,1926
1698738900192,1908
1698738900200,1903
1698738900208,1873
1698738900216,1863
1698738900224,1843
1698738900232,1821
1698738900240,1809
1698738900248,1780
1698738900256,1771
1698738900264,1744
1698738900272,1723
1698738900280,1712
1698738900288,1703
1698738900296,1696
1698738900304,1680
1698738900312,1673
1698738900320,1667
1698738900328,1663
1698738900336,1654
1698738900344,1646
1698738900352,1634
1698738900360,1626
1698738900368,1609
1698738900376,1605
1698738900384,1595
1698738900392,1590
1698738900400,1585
1698738900408,1571
1698738900416,1565
1698738900424,1555
1698738900432,1535
1698738900440,1530
1698738900448,1519
1698738900456,1509
1698738900464,1493
1698738900472,1479
1698738900480,1471
1698738900488,1462
1698738900496,1456
1698738900504,1433
1698738900512,1422
1698738900520,1415
1698738900528,1403
1698738900536,1397
1698738900544,1394
1698738900552,1381
1698738900560,1377
1698738900568,1375
1698738900576,1367
1698738900584,1360
1698738900592,1360
1698738900600,1357
1698738900608,1342
1698738900616,1335
1698738900624,1323
1698738900632,1315
1698738900640,1310
1698738900648,1296
1698738900656,1287
1698738900664,1277
1698738900672,1271
1698738900680,1268
1698738900688,1269
1698738900696,1267
1698738900704,1262
1698738900712,1261
1698738900720,1259
1698738900728,1262
1698738900736,1265
1698738900744,1265
1698738900752,1265
1698738900760,1266
1698738900768,1273
1698738900776,1278
1698738900784,1283
1698738900792,1289
1698738900800,1289
1698738900808,1290
1698738900816,1290
1698738900824,1296
1698738900832,1306
1698738900840,1309
1698738900848,1315
1698738900856,1315
1698738900864,1324
1698738900872,1328
1698738900880,1330
1698738900888,1343
1698738900896,1345
1698738900904,1344
1698738900912,1351
1698738900920,1358
1698738900928,1363
1698738900936,1376
1698738900944,1383
1698738900952,1391
1698738900960,1394
1698738900968,1405
1698738900976,1408
1698738900984,1409
1698738900992,1413
1698738901000,1419
1698738901008,1411
1698738901016,1417
1698738901024,1424
1698738901032,1431
1698738901040,1435
1698738901048,1443
1698738901056,1447
1698738901064,1450
1698738901072,1456
1698738901080,1457
1698738901088,1473
1698738901096,1479
1698738901104,1486
1698738901112,1502
1698738901120,1511
1698738901128,1533
1698738901136,1558
1698738901144,1571
1698738901152,1587
1698738901160,1596
1698738901168,1607
1698738901176,1613
1698738901184,1617
1698738901192,1632
1698738901200,1638
1698738901208,1646
1698738901216,1651
1698738901224,1670
1698738901232,1697
1698738901240,1706
