time,value
1698738900000,1693
1698738900008,1662
1698738900016,1567
1698738900024,1439
1698738900032,1338
1698738900040,1273
1698738900048,1122
1698738900056,1015
1698738900064,911
1698738900072,882
1698738900080,914
1698738900088,999
1698738900096,1039
1698738900104,1040
1698738900112,948
1698738900120,875
1698738900128,726
1698738900136,663
1698738900144,547
1698738900152,496
1698738900160,542
1698738900168,624
1698738900176,646
1698738900184,779
1698738900192,958
1698738900200,1013
1698738900208,1110
1698738900216,1067
1698738900224,945
1698738900232,827
1698738900240,768
1698738900248,725
1698738900256,690
1698738900264,771
1698738900272,943
1698738900280,1064
1698738900288,1316
1698738900296,1424
1698738900304,1580
1698738900312,1619
1698738900320,1635
1698738900328,1569
1698738900336,1481
1698738900344,1392
1698738900352,1335
1698738900360,1341
1698738900368,1347
1698738900376,1351
1698738900384,1422
1698738900392,1533
1698738900400,1563
1698738900408,1569
1698738900416,1487
1698738900424,1408
1698738900432,1351
1698738900440,1357
1698738900448,1326
1698738900456,1267
1698738900464,1232
1698738900472,1253
1698738900480,1257
1698738900488,1312
1698738900496,1271
1698738900504,1270
1698738900512,1312
1698738900520,1376
1698738900528,1460
1698738900536,1472
1698738900544,1557
1698738900552,1619
1698738900560,1648
1698738900568,1699
1698738900576,1712
1698738900584,1663
1698738900592,1578
1698738900600,1553
1698738900608,1467
1698738900616,1395
1698738900624,1359
1698738900632,1367
1698738900640,1395
1698738900648,1445
1698738900656,1456
1698738900664,1557
1698738900672,1692
1698738900680,1741
1698738900688,1826
1698738900696,1806
1698738900704,1842
1698738900712,1913
1698738900720,1965
1698738900728,2027
1698738900736,2033
1698738900744,2087
1698738900752,2160
1698738900760,2176
1698738900768,2224
1698738900776,2207
1698738900784,2165
1698738900792,2128
1698738900800,2152
1698738900808,2191
1698738900816,2179
1698738900824,2229
1698738900832,2278
1698738900840,2297
1698738900848,2336
1698738900856,2345
1698738900864,2346
1698738900872,2287
1698738900880,2282
1698738900888,2249
1698738900896,2206
1698738900904,2242
1698738900912,2331
1698738900920,2391
1698738900928,2448
1698738900936,2472
1698738900944,2495
1698738900952,2509
1698738900960,2479
1698738900968,2362
1698738900976,2235
1698738900984,2065
1698738900992,2034
1698738901000,2093
1698738901008,2208
1698738901016,2259
1698738901024,2377
1698738901032,2422
1698738901040,2384
1698738901048,2303
1698738901056,2255
1698738901064,2203
1698738901072,2255
1698738901080,2334
1698738901088,2485
1698738901096,2529
1698738901104,2675
1698738901112,2832
1698738901120,2897
1698738901128,3019
1698738901136,3013
1698738901144,2959
1698738901152,2774
1698738901160,2699
1698738901168,2518
1698738901176,2415
1698738901184,2368
1698738901192,2449
1698738901200,2539
1698738901208,2730
1698738901216,2799
1698738901224,2960
1698738901232,3082
1698738901240,3120
1698738901248,3103
1698738901256,3029
1698738901264,2923
1698738901272,2821
1698738901280,2801
1698738901288,2747
1698738901296,2705
1698738901304,2690
1698738901312,2706
1698738901320,2738
1698738901328,2765
1698738901336,2738
1698738901344,2773
1698738901352,2825
1698738901360,2867
1698738901368,2886
1698738901376,2833
1698738901384,2794
1698738901392,2750
1698738901400,2747
1698738901408,2733
1698738901416,2704
1698738901424,2722
1698738901432,2786
1698738901440,2843
1698738901448,2930
1698738901456,2938
1698738901464,2919
1698738901472,2851
1698738901480,2833
1698738901488,2765
1698738901496,2681
1698738901504,2576
1698738901512,2483
1698738901520,2459
1698738901528,2427
1698738901536,2409
1698738901544,2432
1698738901552,2446
1698738901560,2432
1698738901568,2416
1698738901576,2436
1698738901584,2513
1698738901592,2576
1698738901600,2673
1698738901608,2715
1698738901616,2787
1698738901624,2845
1698738901632,2866
1698738901640,2899
1698738901648,2899
1698738901656,2909
1698738901664,2880
1698738901672,2864
1698738901680,2851
1698738901688,2849
1698738901696,2914
1698738901704,3007
1698738901712,3051
1698738901720,3108
1698738901728,3107
1698738901736,3105
1698738901744,3024
1698738901752,2960
1698738901760,2815
1698738901768,2711
1698738901776,2526
1698738901784,2461
1698738901792,2480
1698738901800,2603
1698738901808,2673
1698738901816,2878
1698738901824,3111
1698738901832,3200
1698738901840,3391
1698738901848,3382
1698738901856,3329
1698738901864,3226
1698738901872,3006
1698738901880,2861
1698738901888,2815
1698738901896,2826
1698738901904,2837
1698738901912,2883
1698738901920,2866
1698738901928,2824
1698738901936,2721
1698738901944,2660
1698738901952,2509
1698738901960,2446
1698738901968,2439
1698738901976,2481
1698738901984,2507
1698738901992,2576
1698738902000,2644
1698738902008,2672
1698738902016,2730
1698738902024,2736
1698738902032,2717
1698738902040,2651
1698738902048,2544
1698738902056,2387
1698738902064,2288
1698738902072,2135
1698738902080,2092
1698738902088,2096
1698738902096,2192
1698738902104,2246
1698738902112,2355
1698738902120,2432
1698738902128,2423
1698738902136,2413
1698738902144,2373
1698738902152,2256
1698738902160,2137
1698738902168,2075
1698738902176,1942
1698738902184,1872
1698738902192,1745
1698738902200,1686
1698738902208,1667
1698738902216,1681
1698738902224,1691
1698738902232,1703
1698738902240,1702
1698738902248,1696
1698738902256,1667
1698738902264,1630
1698738902272,1488
1698738902280,1328
1698738902288,1238
1698738902296,1133
1698738902304,1101
1698738902312,1086
1698738902320,1143
1698738902328,1166
1698738902336,1291
1698738902344,1355
1698738902352,1465
1698738902360,1555
1698738902368,1527
1698738902376,1470
1698738902384,1413
1698738902392,1309
1698738902400,1228
1698738902408,1179
1698738902416,1138
1698738902424,1122
1698738902432,1093
1698738902440,1075
1698738902448,1103
1698738902456,1114
1698738902464,1117
1698738902472,1127
1698738902480,1153
1698738902488,1203
1698738902496,1307
1698738902504,1347
1698738902512,1483
1698738902520,1534
1698738902528,1643
1698738902536,1712
1698738902544,1739
1698738902552,1739
1698738902560,1716
1698738902568,1657
1698738902576,1584
1698738902584,1523
1698738902592,1532
1698738902600,1566
1698738902608,1616
1698738902616,1636
1698738902624,1713
1698738902632,1795
1698738902640,1807
1698738902648,1806
1698738902656,1737
1698738902664,1679
1698738902672,1648
1698738902680,1653
1698738902688,1647
1698738902696,1616
1698738902704,1627
1698738902712,1701
1698738902720,1715
1698738902728,1805
1698738902736,1779
1698738902744,1810
1698738902752,1853
1698738902760,1890
1698738902768,1919
1698738902776,1877
1698738902784,1831
1698738902792,1776
1698738902800,1733
1698738902808,1671
1698738902816,1623
1698738902824,1520
1698738902832,1479
1698738902840,1509
1698738902848,1579
1698738902856,1584
1698738902864,1617
1698738902872,1567
1698738902880,1503
1698738902888,1360
1698738902896,1309
1698738902904,1232
1698738902912,1200
1698738902920,1191
1698738902928,1142
1698738902936,1075
1698738902944,1084
1698738902952,1154
1698738902960,1204
1698738902968,1264
1698738902976,1244
1698738902984,1190
1698738902992,1131
1698738903000,1072
1698738903008,993
1698738903016,918
1698738903024,880
1698738903032,948
1698738903040,1053
1698738903048,1235
1698738903056,1291
1698738903064,1462
1698738903072,1609
1698738903080,1659
1698738903088,1687
1698738903096,1648
1698738903104,1584
1698738903112,1503
1698738903120,1476
1698738903128,1423
1698738903136,1381
1698738903144,1357
1698738903152,1363
1698738903160,1373
1698738903168,1374
1698738903176,1339
1698738903184,1294
1698738903192,1264
1698738903200,1261
1698738903208,1229
1698738903216,1180
1698738903224,1121
1698738903232,1088
1698738903240,1094
1698738903248,1110
1698738903256,1097
1698738903264,1141
1698738903272,1221
1698738903280,1274
1698738903288,1350
1698738903296,1366
1698738903304,1430
1698738903312,1514
1698738903320,1522
1698738903328,1535
1698738903336,1456
1698738903344,1358
1698738903352,1279
1698738903360,1265
1698738903368,1218
1698738903376,1168
1698738903384,1130
1698738903392,1157
1698738903400,1177
1698738903408,1259
1698738903416,1303
1698738903424,1371
1698738903432,1415
1698738903440,1463
1698738903448,1551
1698738903456,1554
1698738903464,1651
1698738903472,1765
1698738903480,1823
1698738903488,1891
1698738903496,1915
1698738903504,1979
1698738903512,2000
1698738903520,2058
1698738903528,2033
1698738903536,1966
1698738903544,1951
1698738903552,1982
1698738903560,1994
1698738903568,2064
1698738903576,2047
1698738903584,2135
1698738903592,2176
1698738903600,2275
1698738903608,2289
1698738903616,2256
1698738903624,2196
1698738903632,2159
1698738903640,2079
1698738903648,2039
1698738903656,1998
1698738903664,2011
1698738903672,2047
1698738903680,2118
1698738903688,2147
1698738903696,2228
1698738903704,2315
1698738903712,2337
1698738903720,2369
1698738903728,2354
1698738903736,2307
1698738903744,2243
1698738903752,2199
1698738903760,2113
1698738903768,2095
1698738903776,2119
1698738903784,2245
1698738903792,2316
1698738903800,2402
1698738903808,2377
1698738903816,2238
1698738903824,2107
1698738903832,2067
1698738903840,2083
1698738903848,2135
1698738903856,2301
1698738903864,2512
1698738903872,2601
1698738903880,2799
1698738903888,2838
1698738903896,2869
1698738903904,2898
1698738903912,2885
1698738903920,2822
1698738903928,2758
1698738903936,2620
1698738903944,2525
1698738903952,2501
1698738903960,2497
1698738903968,2533
1698738903976,2672
1698738903984,2826
1698738903992,2879
1698738904000,2969
1698738904008,2987
1698738904016,2987
1698738904024,2964
1698738904032,2929
1698738904040,2819
1698738904048,2768
1698738904056,2659
1698738904064,2624
1698738904072,2601
1698738904080,2566
1698738904088,2512
1698738904096,2401
1698738904104,2334
1698738904112,2302
1698738904120,2256
1698738904128,2225
1698738904136,2158
1698738904144,2117
1698738904152,2079
1698738904160,2043
1698738904168,2007
1698738904176,1936
1698738904184,1909
1698738904192,1922
1698738904200,2005
1698738904208,2083
1698738904216,2240
1698738904224,2459
1698738904232,2558
1698738904240,2729
1698738904248,2796
1698738904256,2883
1698738904264,2879
1698738904272,2838
1698738904280,2701
1698738904288,2615
1698738904296,2495
1698738904304,2422
1698738904312,2399
1698738904320,2373
1698738904328,2367
1698738904336,2418
1698738904344,2517
1698738904352,2575
1698738904360,2619
1698738904368,2629
1698738904376,2655
1698738904384,2706
1698738904392,2736
1698738904400,2759
1698738904408,2759
1698738904416,2742
1698738904424,2738
1698738904432,2726
1698738904440,2737
1698738904448,2689
1698738904456,2615
1698738904464,2589
1698738904472,2597
1698738904480,2628
1698738904488,2643
1698738904496,2707
1698738904504,2783
1698738904512,2815
1698738904520,2880
1698738904528,2867
1698738904536,2781
1698738904544,2691
1698738904552,2653
1698738904560,2622
1698738904568,2595
1698738904576,2623
1698738904584,2739
1698738904592,2809
1698738904600,2943
1698738904608,2992
1698738904616,3104
1698738904624,3143
1698738904632,3123
1698738904640,3024
1698738904648,2938
1698738904656,2797
1698738904664,2731
1698738904672,2731
1698738904680,2758
1698738904688,2794
1698738904696,2875
1698738904704,2913
1698738904712,2864
1698738904720,2739
1698738904728,2611
1698738904736,2409
1698738904744,2357
1698738904752,2384
1698738904760,2459
1698738904768,2501
1698738904776,2592
1698738904784,2706
1698738904792,2758
1698738904800,2823
1698738904808,2825
1698738904816,2768
1698738904824,2676
1698738904832,2613
1698738904840,2445
1698738904848,2373
1698738904856,2270
1698738904864,2295
1698738904872,2351
1698738904880,2475
1698738904888,2539
1698738904896,2676
1698738904904,2803
1698738904912,2842
1698738904920,2845
1698738904928,2809
1698738904936,2693
1698738904944,2592
1698738904952,2537
1698738904960,2438
1698738904968,2410
1698738904976,2354
1698738904984,2323
1698738904992,2292
1698738905000,2256
1698738905008,2234
1698738905016,2176
1698738905024,2154
1698738905032,2138
1698738905040,2070
1698738905048,2023
1698738905056,1953
1698738905064,1898
1698738905072,1873
1698738905080,1783
1698738905088,1738
1698738905096,1705
1698738905104,1766
1698738905112,1814
1698738905120,1920
1698738905128,1955
1698738905136,2001
1698738905144,2069
1698738905152,2075
1698738905160,2085
1698738905168,2023
1698738905176,1872
1698738905184,1739
1698738905192,1691
1698738905200,1617
1698738905208,1595
1698738905216,1552
1698738905224,1583
1698738905232,1590
1698738905240,1648
1698738905248,1652
1698738905256,1627
1698738905264,1636
1698738905272,1655
1698738905280,1712
1698738905288,1749
1698738905296,1855
1698738905304,1991
1698738905312,2047
1698738905320,2139
1698738905328,2169
1698738905336,2197
1698738905344,2183
1698738905352,2157
1698738905360,2055
1698738905368,2001
1698738905376,1925
1698738905384,1905
1698738905392,1904
1698738905400,1893
1698738905408,1893
1698738905416,1910
1698738905424,1957
1698738905432,1961
1698738905440,1915
1698738905448,1885
1698738905456,1826
1698738905464,1815
1698738905472,1821
1698738905480,1811
1698738905488,1802
1698738905496,1806
1698738905504,1858
1698738905512,1897
1698738905520,1979
1698738905528,2032
1698738905536,2180
1698738905544,2330
1698738905552,2387
1698738905560,2431
1698738905568,2424
1698738905576,2411
1698738905584,2405
1698738905592,2399
1698738905600,2349
1698738905608,2288
1698738905616,2177
1698738905624,2159
1698738905632,2160
1698738905640,2221
1698738905648,2215
1698738905656,2165
1698738905664,2094
1698738905672,2033
1698738905680,1873
1698738905688,1793
1698738905696,1697
1698738905704,1713
1698738905712,1723
1698738905720,1802
1698738905728,1819
1698738905736,1834
1698738905744,1868
1698738905752,1885
1698738905760,1886
1698738905768,1877
1698738905776,1839
1698738905784,1774
1698738905792,1725
1698738905800,1627
1698738905808,1587
1698738905816,1575
1698738905824,1616
1698738905832,1654
1698738905840,1680
1698738905848,1690
1698738905856,1712
1698738905864,1730
1698738905872,1721
1698738905880,1627
1698738905888,1535
1698738905896,1387
1698738905904,1257
1698738905912,1183
1698738905920,1115
1698738905928,1051
1698738905936,943
1698738905944,894
1698738905952,892
1698738905960,871
1698738905968,846
1698738905976,789
1698738905984,752
1698738905992,720
1698738906000,685
1698738906008,629
1698738906016,530
1698738906024,432
1698738906032,390
1698738906040,314
1698738906048,252
1698738906056,226
1698738906064,210
1698738906072,228
1698738906080,315
1698738906088,368
1698738906096,479
1698738906104,551
1698738906112,560
1698738906120,529
1698738906128,493
1698738906136,449
1698738906144,438
1698738906152,449
1698738906160,446
1698738906168,448
1698738906176,486
1698738906184,545
1698738906192,562
1698738906200,560
1698738906208,546
1698738906216,566
1698738906224,671
1698738906232,749
1698738906240,896
1698738906248,1070
1698738906256,1120
1698738906264,1295
1698738906272,1360
1698738906280,1493
1698738906288,1514
1698738906296,1504
1698738906304,1513
1698738906312,1533
1698738906320,1561
1698738906328,1573
1698738906336,1597
1698738906344,1673
1698738906352,1710
1698738906360,1774
1698738906368,1803
1698738906376,1841
1698738906384,1856
1698738906392,1858
1698738906400,1819
1698738906408,1792
1698738906416,1776
1698738906424,1815
1698738906432,1840
1698738906440,1883
1698738906448,1904
1698738906456,1930
1698738906464,2015
1698738906472,2047
1698738906480,2144
1698738906488,2149
1698738906496,2133
1698738906504,2155
1698738906512,2192
1698738906520,2253
1698738906528,2279
1698738906536,2320
1698738906544,2400
1698738906552,2425
1698738906560,2431
1698738906568,2428
1698738906576,2367
1698738906584,2266
1698738906592,2228
1698738906600,2179
1698738906608,2178
1698738906616,2238
1698738906624,2352
1698738906632,2389
1698738906640,2361
1698738906648,2320
1698738906656,2213
1698738906664,2251
1698738906672,2301
1698738906680,2466
1698738906688,2503
1698738906696,2576
1698738906704,2668
1698738906712,2719
1698738906720,2811
1698738906728,2842
1698738906736,2861
1698738906744,2864
1698738906752,2830
1698738906760,2724
1698738906768,2667
1698738906776,2531
1698738906784,2439
1698738906792,2431
1698738906800,2463
1698738906808,2507
1698738906816,2655
1698738906824,2853
1698738906832,2943
1698738906840,3030
1698738906848,3056
1698738906856,3057
1698738906864,2987
1698738906872,2928
1698738906880,2747
1698738906888,2647
1698738906896,2529
1698738906904,2505
1698738906912,2512
1698738906920,2523
1698738906928,2509
1698738906936,2479
1698738906944,2486
1698738906952,2471
1698738906960,2450
1698738906968,2380
1698738906976,2201
1698738906984,2039
1698738906992,1979
1698738907000,1870
1698738907008,1825
1698738907016,1783
1698738907024,1854
1698738907032,1902
1698738907040,2033
1698738907048,2097
1698738907056,2145
1698738907064,2197
1698738907072,2239
1698738907080,2286
1698738907088,2291
1698738907096,2325
1698738907104,2368
1698738907112,2383
1698738907120,2375
1698738907128,2371
1698738907136,2381
1698738907144,2385
1698738907152,2393
1698738907160,2368
1698738907168,2367
1698738907176,2427
1698738907184,2556
1698738907192,2639
1698738907200,2775
1698738907208,2836
1698738907216,2965
1698738907224,3058
1698738907232,3094
1698738907240,3052
1698738907248,3021
1698738907256,2986
1698738907264,3024
1698738907272,3065
1698738907280,3115
1698738907288,3133
1698738907296,3186
1698738907304,3282
1698738907312,3313
1698738907320,3401
1698738907328,3372
1698738907336,3302
1698738907344,3270
1698738907352,3265
1698738907360,3190
1698738907368,3150
1698738907376,3037
1698738907384,2964
1698738907392,2928
1698738907400,2896
1698738907408,2879
1698738907416,2787
1698738907424,2752
1698738907432,2764
1698738907440,2775
1698738907448,2799
1698738907456,2857
1698738907464,2934
1698738907472,2962
1698738907480,2974
1698738907488,2961
1698738907496,2913
1698738907504,2769
1698738907512,2689
1698738907520,2496
1698738907528,2416
1698738907536,2352
1698738907544,2424
1698738907552,2483
1698738907560,2543
1698738907568,2550
1698738907576,2503
1698738907584,2423
1698738907592,2383
1698738907600,2355
1698738907608,2343
1698738907616,2374
1698738907624,2489
1698738907632,2576
1698738907640,2701
1698738907648,2745
1698738907656,2859
1698738907664,2951
1698738907672,2966
1698738907680,2937
1698738907688,2801
1698738907696,2673
1698738907704,2470
1698738907712,2398
1698738907720,2304
1698738907728,2285
1698738907736,2349
1698738907744,2513
1698738907752,2626
1698738907760,2778
1698738907768,2850
1698738907776,2944
1698738907784,2907
1698738907792,2864
1698738907800,2673
1698738907808,2545
1698738907816,2357
1698738907824,2245
1698738907832,2223
1698738907840,2166
1698738907848,2159
1698738907856,2160
1698738907864,2192
1698738907872,2187
1698738907880,2158
1698738907888,2080
1698738907896,1935
1698738907904,1806
1698738907912,1759
1698738907920,1635
1698738907928,1557
1698738907936,1449
1698738907944,1430
1698738907952,1449
1698738907960,1481
1698738907968,1527
1698738907976,1643
1698738907984,1707
1698738907992,1729
1698738908000,1705
1698738908008,1664
1698738908016,1616
1698738908024,1584
1698738908032,1577
1698738908040,1495
1698738908048,1459
1698738908056,1390
1698738908064,1366
1698738908072,1370
1698738908080,1329
1698738908088,1292
1698738908096,1265
1698738908104,1247
1698738908112,1278
1698738908120,1303
1698738908128,1321
1698738908136,1398
1698738908144,1521
1698738908152,1609
1698738908160,1696
1698738908168,1724
1698738908176,1775
1698738908184,1818
1698738908192,1852
1698738908200,1838
1698738908208,1808
1698738908216,1777
1698738908224,1776
1698738908232,1794
1698738908240,1789
1698738908248,1777
1698738908256,1786
1698738908264,1829
1698738908272,1872
1698738908280,1895
1698738908288,1898
1698738908296,1921
1698738908304,1977
1698738908312,1984
1698738908320,2001
1698738908328,1965
1698738908336,1915
1698738908344,1907
1698738908352,1940
1698738908360,1929
1698738908368,1909
1698738908376,1886
1698738908384,1867
1698738908392,1861
1698738908400,1808
1698738908408,1788
1698738908416,1759
1698738908424,1712
1698738908432,1719
1698738908440,1673
1698738908448,1634
1698738908456,1605
1698738908464,1592
1698738908472,1605
1698738908480,1567
1698738908488,1534
1698738908496,1487
1698738908504,1379
1698738908512,1335
1698738908520,1241
1698738908528,1187
1698738908536,1185
1698738908544,1264
1698738908552,1315
1698738908560,1283
1698738908568,1226
1698738908576,1115
1698738908584,1046
1698738908592,1040
1698738908600,1055
1698738908608,1045
1698738908616,978
1698738908624,931
1698738908632,957
1698738908640,974
1698738908648,982
1698738908656,1021
1698738908664,1035
1698738908672,1030
1698738908680,942
1698738908688,895
1698738908696,848
1698738908704,817
1698738908712,860
1698738908720,915
1698738908728,961
1698738908736,1141
1698738908744,1359
1698738908752,1474
1698738908760,1591
1698738908768,1615
1698738908776,1650
1698738908784,1608
1698738908792,1551
1698738908800,1445
1698738908808,1346
1698738908816,1236
1698738908824,1218
1698738908832,1263
1698738908840,1307
1698738908848,1327
1698738908856,1361
1698738908864,1404
1698738908872,1425
1698738908880,1423
1698738908888,1387
1698738908896,1296
1698738908904,1171
1698738908912,1156
1698738908920,1088
1698738908928,1087
1698738908936,1061
1698738908944,1135
1698738908952,1201
1698738908960,1292
1698738908968,1351
1698738908976,1491
1698738908984,1571
1698738908992,1613
1698738909000,1590
1698738909008,1548
1698738909016,1505
1698738909024,1479
1698738909032,1489
1698738909040,1431
1698738909048,1393
1698738909056,1351
1698738909064,1343
1698738909072,1362
1698738909080,1384
1698738909088,1383
1698738909096,1362
1698738909104,1361
1698738909112,1414
1698738909120,1477
1698738909128,1504
1698738909136,1615
1698738909144,1739
1698738909152,1821
1698738909160,1910
1698738909168,1951
1698738909176,2057
1698738909184,2092
1698738909192,2113
1698738909200,2063
1698738909208,2000
1698738909216,1973
1698738909224,1985
1698738909232,2027
1698738909240,2045
1698738909248,2059
1698738909256,2110
1698738909264,2171
1698738909272,2224
1698738909280,2253
1698738909288,2223
1698738909296,2181
1698738909304,2148
1698738909312,2166
1698738909320,2157
1698738909328,2133
1698738909336,2131
1698738909344,2166
1698738909352,2202
1698738909360,2245
1698738909368,2273
1698738909376,2273
1698738909384,2271
1698738909392,2313
1698738909400,2346
1698738909408,2346
1698738909416,2400
1698738909424,2447
1698738909432,2461
1698738909440,2435
1698738909448,2435
1698738909456,2407
1698738909464,2285
1698738909472,2245
1698738909480,2096
1698738909488,2029
1698738909496,2064
1698738909504,2175
1698738909512,2270
1698738909520,2372
1698738909528,2395
1698738909536,2399
1698738909544,2335
1698738909552,2333
1698738909560,2305
1698738909568,2307
1698738909576,2416
1698738909584,2544
1698738909592,2643
1698738909600,2757
1698738909608,2794
1698738909616,2888
1698738909624,2939
1698738909632,2942
1698738909640,2896
1698738909648,2812
1698738909656,2629
1698738909664,2457
1698738909672,2453
1698738909680,2418
1698738909688,2427
1698738909696,2573
1698738909704,2767
1698738909712,2880
1698738909720,3071
1698738909728,3142
1698738909736,3147
1698738909744,3081
1698738909752,3067
1698738909760,2953
1698738909768,2893
1698738909776,2866
1698738909784,2886
1698738909792,2946
1698738909800,3024
1698738909808,3055
1698738909816,3163
1698738909824,3223
1698738909832,3233
1698738909840,3235
