time,value
1698726001000,2245
1698726001008,1901
1698726001016,1744
1698726001024,1471
1698726001032,1350
1698726001040,1499
1698726001048,1945
1698726001056,2175
1698726001064,2402
1698726001072,2406
1698726001080,2266
1698726001088,1990
1698726001096,1865
1698726001104,1575
1698726001112,1449
1698726001120,1232
1698726001128,1200
1698726001136,1198
1698726001144,1290
1698726001152,1312
1698726001160,1263
1698726001168,1264
1698726001176,1298
1698726001184,1427
1698726001192,1533
1698726001200,1799
1698726001208,1910
1698726001216,1916
1698726001224,1738
1698726001232,1597
1698726001240,1342
1698726001248,1227
1698726001256,1035
1698726001264,857
1698726001272,782
1698726001280,652
1698726001288,593
1698726001296,487
1698726001304,401
1698726001312,364
1698726001320,288
1698726001328,258
1698726001336,202
1698726001344,151
1698726001352,134
1698726001360,93
1698726001368,71
1698726001376,43
1698726001384,28
1698726001392,3
1698726001400,0
1698726001408,0
1698726001416,0
1698726001424,0
1698726001432,0
1698726001440,0
1698726001448,0
1698726001456,0
1698726001464,0
1698726001472,0
1698726001480,0
1698726001488,0
1698726001496,0
1698726001504,0
1698726001512,0
1698726001520,0
1698726001528,0
1698726001536,0
1698726001544,0
1698726001552,0
1698726001560,0
1698726001568,0
1698726001576,0
1698726001584,0
1698726001592,0
1698726001600,25
1698726001608,165
1698726001616,776
1698726001624,1081
1698726001632,1622
1698726001640,2083
1698726001648,2287
1698726001656,2645
1698726001664,2802
1698726001672,3103
1698726001680,3283
1698726001688,3291
1698726001696,3339
1698726001704,3387
1698726001712,3439
1698726001720,3638
1698726001728,3728
1698726001736,3978
1698726001744,4095
1698726001752,4095
1698726001760,4095
1698726001768,4095
1698726001776,4095
1698726001784,4095
1698726001792,4095
1698726001800,4095
1698726001808,4095
1698726001816,4095
1698726001824,3511
1698726001832,3199
1698726001840,2698
1698726001848,2480
1698726001856,2107
1698726001864,1931
1698726001872,1635
1698726001880,1375
1698726001888,1263
1698726001896,1066
1698726001904,975
1698726001912,976
1698726001920,1189
1698726001928,1277
1698726001936,1248
1698726001944,1173
1698726001952,979
1698726001960,816
1698726001968,743
1698726001976,622
1698726001984,562
1698726001992,461
1698726002000,379
1698726002008,340
1698726002016,272
1698726002024,240
1698726002032,186
1698726002040,141
1698726002048,303
1698726002056,784
1698726002064,1088
1698726002072,1626
1698726002080,2093
1698726002088,2291
1698726002096,2657
1698726002104,2827
1698726002112,3113
1698726002120,3386
1698726002128,3514
1698726002136,3792
1698726002144,3933
1698726002152,4095
1698726002160,4095
1698726002168,4095
1698726002176,4095
1698726002184,4095
1698726002192,4095
1698726002200,4095
1698726002208,4095
1698726002216,4095
1698726002224,4095
1698726002232,4095
1698726002240,4095
1698726002248,4095
1698726002256,4095
1698726002264,4095
1698726002272,4095
1698726002280,4095
1698726002288,4095
1698726002296,4095
1698726002304,4095
1698726002312,4095
1698726002320,4095
1698726002328,4095
1698726002336,4095
1698726002344,4095
1698726002352,4095
1698726002360,4095
1698726002368,4095
1698726002376,4095
1698726002384,4095
1698726002392,4095
1698726002400,4095
1698726002408,4095
1698726002416,4095
1698726002424,4095
1698726002432,4095
1698726002440,4095
1698726002448,4095
1698726002456,4095
1698726002464,4095
1698726002472,4095
1698726002480,4095
1698726002488,4095
1698726002496,4095
1698726002504,4095
1698726002512,4095
1698726002520,4095
1698726002528,4095
1698726002536,3882
1698726002544,3599
1698726002552,3183
1698726002560,2983
