time,value
1698724621000,4095
1698724621008,4095
1698724621016,4095
1698724621024,4095
1698724621032,4095
1698724621040,4095
1698724621048,4095
1698724621056,4095
1698724621064,4095
1698724621072,4095
1698724621080,4095
1698724621088,4095
1698724621096,4095
1698724621104,4095
1698724621112,4095
1698724621120,4095
1698724621128,4095
1698724621136,4095
1698724621144,4095
1698724621152,4095
1698724621160,4095
1698724621168,4095
1698724621176,4095
1698724621184,4095
1698724621192,4095
1698724621200,4095
1698724621208,4095
1698724621216,4095
1698724621224,4095
1698724621232,4095
1698724621240,4095
1698724621248,4095
1698724621256,4095
1698724621264,4095
1698724621272,4095
1698724621280,4095
1698724621288,4095
1698724621296,4095
1698724621304,4095
1698724621312,4095
1698724621320,4095
1698724621328,4095
1698724621336,4095
1698724621344,4095
1698724621352,4095
1698724621360,4095
1698724621368,4095
1698724621376,4095
1698724621384,4095
1698724621392,4095
1698724621400,4095
1698724621408,4095
1698724621416,4095
1698724621424,4095
1698724621432,4095
1698724621440,4095
1698724621448,4095
1698724621456,4095
1698724621464,4095
1698724621472,4095
1698724621480,4095
1698724621488,4095
1698724621496,4095
1698724621504,4095
1698724621512,4095
1698724621520,4095
1698724621528,4095
1698724621536,4095
1698724621544,4095
1698724621552,4095
1698724621560,4095
1698724621568,4095
1698724621576,4095
1698724621584,4095
1698724621592,4095
1698724621600,4095
1698724621608,4095
1698724621616,4095
1698724621624,4095
1698724621632,4095
1698724621640,4095
1698724621648,4095
1698724621656,4095
1698724621664,4095
1698724621672,4095
1698724621680,4095
1698724621688,4095
1698724621696,4095
1698724621704,4095
1698724621712,4095
1698724621720,4095
1698724621728,4095
1698724621736,4095
1698724621744,4095
1698724621752,4095
1698724621760,4095
1698724621768,4095
1698724621776,4095
1698724621784,4095
1698724621792,4095
1698724621800,4095
1698724621808,4095
1698724621816,4095
1698724621824,4095
1698724621832,4095
1698724621840,4095
1698724621848,4095
1698724621856,4095
1698724621864,4095
1698724621872,4095
1698724621880,4095
1698724621888,4095
1698724621896,4095
1698724621904,4095
1698724621912,4095
1698724621920,4095
1698724621928,3504
1698724621936,2928
1698724621944,2695
1698724621952,2290
1698724621960,2115
1698724621968,1790
1698724621976,1516
1698724621984,1392
1698724621992,1177
1698724622000,1084
1698724622008,902
1698724622016,759
1698724622024,697
1698724622032,579
1698724622040,529
1698724622048,434
1698724622056,355
1698724622064,319
1698724622072,256
1698724622080,232
1698724622088,179
1698724622096,132
1698724622104,112
1698724622112,79
1698724622120,64
1698724622128,61
1698724622136,399
1698724622144,691
1698724622152,1281
1698724622160,1552
1698724622168,2017
1698724622176,2416
1698724622184,2597
1698724622192,2905
1698724622200,3057
1698724622208,3329
1698724622216,3597
1698724622224,3733
1698724622232,4006
1698724622240,4095
1698724622248,4095
1698724622256,4095
1698724622264,4095
1698724622272,4095
1698724622280,4095
1698724622288,4095
1698724622296,4095
1698724622304,4095
1698724622312,4095
1698724622320,4095
1698724622328,4095
1698724622336,4095
1698724622344,4095
1698724622352,4095
1698724622360,4095
1698724622368,4095
1698724622376,4095
1698724622384,4095
1698724622392,4095
1698724622400,3757
1698724622408,3088
1698724622416,2611
1698724622424,2403
1698724622432,2038
1698724622440,1731
1698724622448,1591
1698724622456,1587
1698724622464,1967
1698724622472,2178
1698724622480,2378
1698724622488,2733
1698724622496,3041
1698724622504,3185
1698724622512,3454
1698724622520,3594
1698724622528,3878
1698724622536,4095
1698724622544,4095
1698724622552,4095
1698724622560,4095
1698724622568,4095
1698724622576,4095
1698724622584,4095
1698724622592,4095
1698724622600,4095
1698724622608,4095
1698724622616,4095
1698724622624,4095
1698724622632,4095
1698724622640,4095
1698724622648,4095
1698724622656,4095
1698724622664,4095
1698724622672,4095
1698724622680,4095
1698724622688,4095
1698724622696,4095
1698724622704,4095
1698724622712,4095
1698724622720,4095
1698724622728,4095
1698724622736,4095
1698724622744,4095
1698724622752,4095
1698724622760,4095
1698724622768,4095
1698724622776,4095
1698724622784,4095
1698724622792,4095
1698724622800,4095
1698724622808,4095
1698724622816,4095
1698724622824,4095
1698724622832,4095
1698724622840,4095
1698724622848,4095
1698724622856,4095
1698724622864,4095
1698724622872,4095
1698724622880,4095
1698724622888,3371
1698724622896,2832
1698724622904,2608
1698724622912,2218
1698724622920,2042
1698724622928,1729
1698724622936,1463
1698724622944,1349
1698724622952,1137
1698724622960,1040
1698724622968,873
1698724622976,729
1698724622984,667
1698724622992,560
1698724623000,503
1698724623008,413
1698724623016,336
1698724623024,304
1698724623032,239
1698724623040,413
1698724623048,639
1698724623056,1217
1698724623064,1488
1698724623072,1970
1698724623080,2186
1698724623088,2557
1698724623096,2878
1698724623104,3028
1698724623112,3301
1698724623120,3437
1698724623128,3713
1698724623136,3985
1698724623144,4095
1698724623152,4095
1698724623160,4095
1698724623168,4095
1698724623176,4095
1698724623184,4095
1698724623192,4095
1698724623200,4095
1698724623208,4095
1698724623216,4095
1698724623224,4095
1698724623232,4095
1698724623240,4095
1698724623248,4095
1698724623256,4095
1698724623264,4095
1698724623272,4095
1698724623280,4095
1698724623288,4095
1698724623296,4095
1698724623304,4095
1698724623312,4095
1698724623320,4095
1698724623328,4095
1698724623336,4095
1698724623344,4095
1698724623352,4095
1698724623360,4095
1698724623368,4095
1698724623376,4095
1698724623384,4095
1698724623392,4095
1698724623400,4095
1698724623408,4095
1698724623416,4095
1698724623424,4095
1698724623432,4095
1698724623440,4095
1698724623448,4095
1698724623456,4095
1698724623464,4095
1698724623472,4095
1698724623480,4095
1698724623488,4095
1698724623496,4095
1698724623504,4095
1698724623512,4095
1698724623520,4095
1698724623528,4095
1698724623536,4095
1698724623544,4095
1698724623552,3475
1698724623560,3169
1698724623568,2678
1698724623576,2276
1698724623584,2098
1698724623592,1782
1698724623600,1501
1698724623608,1385
1698724623616,1167
1698724623624,1072
1698724623632,903
1698724623640,828
1698724623648,689
1698724623656,575
1698724623664,524
1698724623672,427
1698724623680,384
1698724623688,316
1698724623696,252
1698724623704,223
1698724623712,174
1698724623720,146
1698724623728,112
1698724623736,79
1698724623744,62
1698724623752,33
1698724623760,18
1698724623768,0
1698724623776,0
1698724623784,0
1698724623792,0
1698724623800,0
1698724623808,0
1698724623816,0
1698724623824,0
1698724623832,0
1698724623840,0
