time,value
1698737400000,2597
1698737400008,2781
1698737400016,3088
1698737400024,3248
1698737400032,3403
1698737400040,3697
1698737400048,3865
1698737400056,4095
1698737400064,4095
1698737400072,4095
1698737400080,4095
1698737400088,4095
1698737400096,4095
1698737400104,4095
1698737400112,4095
1698737400120,4080
1698737400128,3511
1698737400136,2859
1698737400144,2589
1698737400152,2167
1698737400160,1959
1698737400168,1770
1698737400176,1467
1698737400184,1328
1698737400192,1100
1698737400200,983
1698737400208,893
1698737400216,734
1698737400224,688
1698737400232,903
1698737400240,1154
1698737400248,1435
1698737400256,1951
1698737400264,2205
1698737400272,2594
1698737400280,2783
1698737400288,2955
1698737400296,3259
1698737400304,3423
1698737400312,3725
1698737400320,3887
1698737400328,4048
1698737400336,4095
1698737400344,4095
1698737400352,4095
1698737400360,4095
1698737400368,3343
1698737400376,2998
1698737400384,2707
1698737400392,2256
1698737400400,2039
1698737400408,1847
1698737400416,1533
1698737400424,1382
1698737400432,1147
1698737400440,1034
1698737400448,928
1698737400456,767
1698737400464,685
1698737400472,560
1698737400480,493
1698737400488,438
1698737400496,351
1698737400504,307
1698737400512,239
1698737400520,207
1698737400528,153
1698737400536,127
1698737400544,102
1698737400552,67
1698737400560,50
1698737400568,33
1698737400576,3
1698737400584,0
1698737400592,0
1698737400600,0
1698737400608,0
1698737400616,0
1698737400624,0
1698737400632,0
1698737400640,0
1698737400648,0
1698737400656,0
1698737400664,0
1698737400672,287
1698737400680,661
1698737400688,1015
1698737400696,1601
1698737400704,1885
1698737400712,2329
1698737400720,2527
1698737400728,2727
1698737400736,3041
1698737400744,3205
1698737400752,3498
1698737400760,3663
1698737400768,3821
1698737400776,4095
1698737400784,4095
1698737400792,4095
1698737400800,4095
1698737400808,4095
1698737400816,4095
1698737400824,4095
1698737400832,4095
1698737400840,4095
1698737400848,4095
1698737400856,4095
1698737400864,4095
1698737400872,3482
1698737400880,3103
1698737400888,2594
1698737400896,2395
1698737400904,2175
1698737400912,2106
1698737400920,2043
1698737400928,2014
1698737400936,1991
1698737400944,2007
1698737400952,2109
1698737400960,2178
1698737400968,2255
1698737400976,2379
1698737400984,2452
1698737400992,2592
1698737401000,2667
1698737401008,2730
1698737401016,2719
1698737401024,2623
1698737401032,2293
1698737401040,2086
1698737401048,1874
1698737401056,1572
1698737401064,1413
1698737401072,1167
1698737401080,1057
1698737401088,944
1698737401096,778
1698737401104,703
1698737401112,576
1698737401120,507
1698737401128,451
1698737401136,359
1698737401144,317
1698737401152,249
1698737401160,213
1698737401168,183
1698737401176,130
1698737401184,111
1698737401192,67
1698737401200,48
1698737401208,35
1698737401216,7
1698737401224,0
1698737401232,0
1698737401240,0
1698737401248,0
1698737401256,0
1698737401264,0
1698737401272,0
1698737401280,0
1698737401288,0
1698737401296,0
1698737401304,0
1698737401312,0
1698737401320,0
1698737401328,0
1698737401336,172
1698737401344,530
1698737401352,1192
1698737401360,1505
1698737401368,1794
1698737401376,2245
1698737401384,2459
1698737401392,2811
1698737401400,2985
1698737401408,3155
1698737401416,3440
1698737401424,3598
1698737401432,3895
1698737401440,4061
1698737401448,4095
1698737401456,4095
1698737401464,4095
1698737401472,4095
1698737401480,4095
1698737401488,4095
1698737401496,4095
1698737401504,4095
1698737401512,4095
1698737401520,4095
1698737401528,4095
1698737401536,4095
1698737401544,4095
1698737401552,4095
1698737401560,4095
1698737401568,4095
1698737401576,4095
1698737401584,4095
1698737401592,4095
1698737401600,4095
1698737401608,4095
1698737401616,4095
1698737401624,4095
1698737401632,4095
1698737401640,4095
1698737401648,4095
1698737401656,4095
1698737401664,4095
1698737401672,4095
1698737401680,4095
1698737401688,3845
1698737401696,3379
1698737401704,3187
1698737401712,2935
1698737401720,2818
1698737401728,2717
1698737401736,2494
1698737401744,2341
1698737401752,2000
1698737401760,1813
1698737401768,1646
1698737401776,1361
1698737401784,1231
1698737401792,1014
1698737401800,914
1698737401808,757
1698737401816,683
1698737401824,611
1698737401832,494
1698737401840,435
1698737401848,389
1698737401856,314
1698737401864,240
1698737401872,207
1698737401880,176
1698737401888,146
1698737401896,109
1698737401904,82
1698737401912,213
1698737401920,355
1698737401928,522
1698737401936,827
1698737401944,974
1698737401952,1115
1698737401960,1079
1698737401968,900
1698737401976,802
1698737401984,711
1698737401992,576
1698737402000,503
1698737402008,445
1698737402016,351
1698737402024,303
1698737402032,228
1698737402040,195
1698737402048,283
1698737402056,747
1698737402064,1104
1698737402072,1673
1698737402080,1939
1698737402088,2170
1698737402096,2433
1698737402104,2499
1698737402112,2500
1698737402120,2493
1698737402128,2514
1698737402136,2701
1698737402144,2844
1698737402152,3147
1698737402160,3281
1698737402168,3567
1698737402176,3731
1698737402184,4033
1698737402192,4095
1698737402200,4095
1698737402208,4095
1698737402216,4095
1698737402224,4095
1698737402232,3387
1698737402240,3028
1698737402248,2512
1698737402256,2277
1698737402264,2064
1698737402272,1715
1698737402280,1552
1698737402288,1285
1698737402296,1220
1698737402304,1247
1698737402312,1302
1698737402320,1506
1698737402328,1619
1698737402336,1725
1698737402344,1821
1698737402352,2007
1698737402360,2133
1698737402368,2416
1698737402376,2601
1698737402384,2785
1698737402392,3109
1698737402400,3408
1698737402408,3568
1698737402416,3738
1698737402424,3853
1698737402432,3746
1698737402440,3547
1698737402448,3169
1698737402456,2947
1698737402464,2718
1698737402472,2287
1698737402480,2067
1698737402488,1714
1698737402496,1552
1698737402504,1289
1698737402512,1159
1698737402520,1041
1698737402528,853
1698737402536,768
1698737402544,687
1698737402552,563
1698737402560,497
1698737402568,400
1698737402576,355
1698737402584,308
1698737402592,240
1698737402600,206
1698737402608,155
1698737402616,129
1698737402624,106
1698737402632,496
1698737402640,853
1698737402648,1473
1698737402656,1771
1698737402664,2032
1698737402672,2445
1698737402680,2650
1698737402688,2975
1698737402696,3140
1698737402704,3177
1698737402712,2946
1698737402720,2666
1698737402728,2210
1698737402736,2067
1698737402744,2007
1698737402752,2160
1698737402760,2304
1698737402768,2595
1698737402776,2736
1698737402784,2838
1698737402792,2923
1698737402800,2918
1698737402808,2859
1698737402816,2823
1698737402824,2783
1698737402832,2719
1698737402840,2682
1698737402848,2655
1698737402856,2672
1698737402864,2706
1698737402872,2801
1698737402880,2860
1698737402888,2910
1698737402896,2889
1698737402904,2780
1698737402912,2677
1698737402920,2544
1698737402928,2281
1698737402936,2101
1698737402944,1910
1698737402952,1598
1698737402960,1437
1698737402968,1186
1698737402976,1066
1698737402984,956
1698737402992,784
1698737403000,702
1698737403008,575
1698737403016,509
1698737403024,447
1698737403032,357
1698737403040,313
1698737403048,250
1698737403056,212
1698737403064,179
1698737403072,129
1698737403080,105
1698737403088,65
1698737403096,48
1698737403104,19
1698737403112,7
1698737403120,0
1698737403128,0
1698737403136,0
1698737403144,0
1698737403152,73
1698737403160,257
1698737403168,915
1698737403176,1261
1698737403184,1807
1698737403192,2065
1698737403200,2299
1698737403208,2523
1698737403216,2482
1698737403224,2384
1698737403232,2210
1698737403240,2128
1698737403248,2023
1698737403256,1991
1698737403264,1969
1698737403272,1968
1698737403280,1994
1698737403288,2070
1698737403296,2128
1698737403304,2261
1698737403312,2331
1698737403320,2402
1698737403328,2624
1698737403336,2781
1698737403344,3089
1698737403352,3258
1698737403360,3411
1698737403368,3710
1698737403376,3879
1698737403384,4035
1698737403392,4095
1698737403400,4095
1698737403408,3418
1698737403416,3052
1698737403424,2745
1698737403432,2279
1698737403440,2069
1698737403448,1714
1698737403456,1553
1698737403464,1402
1698737403472,1155
1698737403480,1040
1698737403488,853
1698737403496,768
1698737403504,739
1698737403512,864
1698737403520,1122
1698737403528,1650
1698737403536,1923
1698737403544,2181
1698737403552,2595
1698737403560,2779
1698737403568,3091
1698737403576,3257
1698737403584,3410
1698737403592,3714
1698737403600,3878
1698737403608,4095
1698737403616,4095
1698737403624,4095
1698737403632,4095
1698737403640,4095
1698737403648,4095
1698737403656,4095
1698737403664,4095
1698737403672,4095
1698737403680,4095
1698737403688,3744
1698737403696,3371
1698737403704,2832
1698737403712,2579
1698737403720,2343
1698737403728,1998
1698737403736,1840
1698737403744,1710
1698737403752,1525
1698737403760,1478
1698737403768,1461
1698737403776,1478
1698737403784,1501
1698737403792,1523
1698737403800,1521
1698737403808,1516
1698737403816,1517
1698737403824,1529
1698737403832,1612
1698737403840,1685
1698737403848,1865
1698737403856,1978
1698737403864,2080
1698737403872,2198
1698737403880,2226
1698737403888,2191
1698737403896,2133
1698737403904,1998
1698737403912,1912
1698737403920,1811
1698737403928,1637
1698737403936,1507
1698737403944,1387
1698737403952,1178
1698737403960,1085
1698737403968,927
1698737403976,862
1698737403984,809
1698737403992,733
1698737404000,699
1698737404008,646
1698737404016,615
1698737404024,576
1698737404032,511
1698737404040,491
1698737404048,544
1698737404056,607
1698737404064,688
1698737404072,832
1698737404080,944
1698737404088,1280
1698737404096,1535
1698737404104,2033
1698737404112,2278
1698737404120,2638
1698737404128,2754
1698737404136,2772
1698737404144,2719
1698737404152,2450
1698737404160,2249
1698737404168,1875
1698737404176,1687
1698737404184,1550
1698737404192,1535
1698737404200,1713
1698737404208,2203
1698737404216,2427
1698737404224,2640
1698737404232,2975
1698737404240,3145
1698737404248,3303
1698737404256,3607
1698737404264,3738
1698737404272,4034
1698737404280,4095
1698737404288,4095
1698737404296,4095
1698737404304,4095
1698737404312,4095
1698737404320,4095
1698737404328,4095
1698737404336,4095
1698737404344,4095
1698737404352,4095
1698737404360,4095
1698737404368,4095
1698737404376,4095
1698737404384,4095
1698737404392,4095
1698737404400,4095
1698737404408,3367
1698737404416,3021
1698737404424,2731
1698737404432,2279
1698737404440,2067
1698737404448,1719
1698737404456,1564
1698737404464,1291
1698737404472,1166
1698737404480,1047
1698737404488,863
1698737404496,775
1698737404504,640
1698737404512,574
1698737404520,502
1698737404528,403
1698737404536,358
1698737404544,316
1698737404552,249
1698737404560,215
1698737404568,158
1698737404576,132
1698737404584,110
1698737404592,69
1698737404600,58
1698737404608,26
1698737404616,11
1698737404624,0
1698737404632,0
1698737404640,0
1698737404648,0
1698737404656,0
1698737404664,0
1698737404672,0
1698737404680,0
1698737404688,0
1698737404696,0
1698737404704,0
1698737404712,0
1698737404720,0
1698737404728,0
1698737404736,0
1698737404744,0
1698737404752,0
1698737404760,0
1698737404768,0
1698737404776,0
1698737404784,45
1698737404792,403
1698737404800,576
1698737404808,815
1698737404816,919
1698737404824,1038
1698737404832,1251
1698737404840,1343
1698737404848,1366
1698737404856,1309
1698737404864,1213
1698737404872,1150
1698737404880,1255
1698737404888,1685
1698737404896,1941
1698737404904,2379
1698737404912,2550
1698737404920,2711
1698737404928,2639
1698737404936,2431
1698737404944,2019
1698737404952,1820
1698737404960,1642
1698737404968,1346
1698737404976,1213
1698737404984,993
1698737404992,891
1698737405000,813
1698737405008,1165
1698737405016,1473
1698737405024,1991
1698737405032,2238
1698737405040,2461
1698737405048,2817
1698737405056,2992
1698737405064,3295
1698737405072,3443
1698737405080,3609
1698737405088,3907
1698737405096,4077
1698737405104,4095
1698737405112,4095
1698737405120,4095
1698737405128,4095
1698737405136,4095
1698737405144,4095
1698737405152,4095
1698737405160,4095
1698737405168,4095
1698737405176,4095
1698737405184,4095
1698737405192,4095
1698737405200,4095
1698737405208,4095
1698737405216,4095
1698737405224,3827
1698737405232,3337
1698737405240,2987
1698737405248,2486
1698737405256,2256
1698737405264,1886
1698737405272,1707
1698737405280,1535
1698737405288,1279
1698737405296,1153
1698737405304,954
1698737405312,858
1698737405320,771
1698737405328,629
1698737405336,566
1698737405344,453
1698737405352,400
1698737405360,359
1698737405368,434
1698737405376,634
1698737405384,1260
1698737405392,1575
1698737405400,1853
1698737405408,2314
1698737405416,2525
1698737405424,2864
1698737405432,2999
1698737405440,3098
1698737405448,3098
1698737405456,3059
1698737405464,2938
1698737405472,2827
1698737405480,2695
1698737405488,2387
1698737405496,2194
1698737405504,1839
1698737405512,1661
1698737405520,1491
1698737405528,1229
1698737405536,1104
1698737405544,906
1698737405552,812
1698737405560,732
1698737405568,594
1698737405576,559
1698737405584,567
1698737405592,589
1698737405600,575
1698737405608,531
1698737405616,582
1698737405624,916
1698737405632,1214
1698737405640,1515
1698737405648,2023
1698737405656,2270
1698737405664,2660
1698737405672,2834
1698737405680,2887
1698737405688,2670
1698737405696,2447
1698737405704,2032
1698737405712,1838
1698737405720,1670
1698737405728,1456
1698737405736,1397
1698737405744,1358
1698737405752,1360
1698737405760,1362
1698737405768,1356
1698737405776,1344
1698737405784,1332
1698737405792,1344
1698737405800,1385
1698737405808,1549
1698737405816,1690
1698737405824,2059
1698737405832,2288
1698737405840,2499
1698737405848,2861
1698737405856,3027
1698737405864,3335
1698737405872,3487
1698737405880,3792
1698737405888,3953
1698737405896,4095
1698737405904,4095
1698737405912,4095
1698737405920,4095
1698737405928,4095
1698737405936,4095
1698737405944,4095
1698737405952,4095
1698737405960,4095
1698737405968,3638
1698737405976,3377
1698737405984,2928
1698737405992,2685
1698737406000,2266
1698737406008,2074
1698737406016,1872
1698737406024,1556
1698737406032,1403
1698737406040,1159
1698737406048,1048
1698737406056,939
1698737406064,777
1698737406072,769
1698737406080,912
1698737406088,1047
1698737406096,1169
1698737406104,1396
1698737406112,1518
1698737406120,1746
1698737406128,1866
1698737406136,1969
1698737406144,2153
1698737406152,2239
1698737406160,2380
1698737406168,2437
1698737406176,2479
1698737406184,2490
1698737406192,2461
1698737406200,2357
1698737406208,2285
1698737406216,2211
1698737406224,2001
1698737406232,1857
1698737406240,1552
1698737406248,1395
1698737406256,1252
1698737406264,1029
1698737406272,921
1698737406280,753
1698737406288,674
1698737406296,551
1698737406304,485
1698737406312,431
1698737406320,341
1698737406328,299
1698737406336,262
1698737406344,198
1698737406352,169
1698737406360,121
1698737406368,103
1698737406376,64
1698737406384,45
1698737406392,30
1698737406400,1
1698737406408,0
1698737406416,283
1698737406424,633
1698737406432,989
1698737406440,1509
1698737406448,1662
1698737406456,1662
1698737406464,1552
1698737406472,1399
1698737406480,1143
1698737406488,1023
1698737406496,831
1698737406504,747
1698737406512,597
1698737406520,531
1698737406528,419
1698737406536,368
1698737406544,323
1698737406552,277
1698737406560,212
1698737406568,181
1698737406576,127
1698737406584,106
1698737406592,80
1698737406600,307
1698737406608,557
1698737406616,1039
1698737406624,1315
1698737406632,1597
1698737406640,2085
1698737406648,2315
1698737406656,2687
1698737406664,2875
1698737406672,3033
1698737406680,3331
1698737406688,3489
1698737406696,3791
1698737406704,3952
1698737406712,4095
1698737406720,4095
1698737406728,4095
1698737406736,4095
1698737406744,4095
1698737406752,4095
1698737406760,4095
1698737406768,4095
1698737406776,3460
1698737406784,3087
1698737406792,2779
1698737406800,2319
1698737406808,2107
1698737406816,1808
1698737406824,1742
1698737406832,1742
1698737406840,1809
1698737406848,1877
1698737406856,2023
1698737406864,2103
1698737406872,2171
1698737406880,2315
1698737406888,2403
1698737406896,2590
1698737406904,2704
1698737406912,2810
1698737406920,2962
1698737406928,3058
1698737406936,3056
1698737406944,3035
1698737406952,2985
1698737406960,2843
1698737406968,2739
1698737406976,2481
1698737406984,2309
1698737406992,2115
1698737407000,1753
1698737407008,1589
1698737407016,1316
1698737407024,1182
1698737407032,1071
1698737407040,876
1698737407048,784
1698737407056,647
1698737407064,580
1698737407072,511
1698737407080,414
1698737407088,365
1698737407096,287
1698737407104,250
1698737407112,215
1698737407120,160
1698737407128,134
1698737407136,91
1698737407144,187
1698737407152,390
1698737407160,1015
1698737407168,1352
1698737407176,1879
1698737407184,2134
1698737407192,2362
1698737407200,2735
1698737407208,2920
1698737407216,2917
1698737407224,2729
1698737407232,2496
1698737407240,2083
1698737407248,1874
1698737407256,1600
1698737407264,1523
1698737407272,1511
1698737407280,1648
1698737407288,1774
1698737407296,2064
1698737407304,2240
1698737407312,2416
1698737407320,2742
1698737407328,2926
1698737407336,3232
1698737407344,3389
1698737407352,3543
1698737407360,3853
1698737407368,4014
1698737407376,4095
1698737407384,4095
1698737407392,4095
1698737407400,4095
1698737407408,4095
1698737407416,4095
1698737407424,4095
1698737407432,4095
1698737407440,4095
1698737407448,4095
1698737407456,4095
1698737407464,4075
1698737407472,3583
1698737407480,2932
1698737407488,2656
1698737407496,2218
1698737407504,2011
1698737407512,1821
1698737407520,1507
1698737407528,1360
1698737407536,1130
1698737407544,1012
1698737407552,912
1698737407560,753
1698737407568,678
1698737407576,550
1698737407584,487
1698737407592,433
1698737407600,345
1698737407608,305
1698737407616,240
1698737407624,277
1698737407632,656
1698737407640,989
1698737407648,1307
1698737407656,1830
1698737407664,2077
1698737407672,2285
1698737407680,2602
1698737407688,2731
1698737407696,2887
1698737407704,2954
1698737407712,2999
1698737407720,3061
1698737407728,3094
1698737407736,3093
1698737407744,3027
1698737407752,2929
1698737407760,2682
1698737407768,2522
1698737407776,2247
1698737407784,2119
1698737407792,1994
1698737407800,1808
1698737407808,1715
1698737407816,1553
1698737407824,1462
1698737407832,1369
1698737407840,1200
1698737407848,1107
1698737407856,1022
1698737407864,1035
1698737407872,1055
1698737407880,1104
1698737407888,1122
1698737407896,1225
1698737407904,1347
1698737407912,1689
1698737407920,1906
1698737407928,2127
1698737407936,2409
1698737407944,2486
1698737407952,2448
1698737407960,2326
1698737407968,2153
1698737407976,1787
1698737407984,1610
1698737407992,1323
1698737408000,1187
1698737408008,974
1698737408016,874
1698737408024,781
1698737408032,638
1698737408040,569
1698737408048,458
1698737408056,403
1698737408064,355
1698737408072,274
1698737408080,240
1698737408088,205
