time,value
1698737400000,2352
1698737400008,2355
1698737400016,2368
1698737400024,2371
1698737400032,2371
1698737400040,2370
1698737400048,2362
1698737400056,2358
1698737400064,2352
1698737400072,2343
1698737400080,2339
1698737400088,2336
1698737400096,2344
1698737400104,2338
1698737400112,2341
1698737400120,2337
1698737400128,2342
1698737400136,2343
1698737400144,2346
1698737400152,2343
1698737400160,2339
1698737400168,2342
1698737400176,2342
1698737400184,2347
1698737400192,2353
1698737400200,2353
1698737400208,2349
1698737400216,2352
1698737400224,2352
1698737400232,2357
1698737400240,2363
1698737400248,2366
1698737400256,2358
1698737400264,2358
1698737400272,2351
1698737400280,2347
1698737400288,2329
1698737400296,2329
1698737400304,2306
1698737400312,2275
1698737400320,2259
1698737400328,2241
1698737400336,2235
1698737400344,2221
1698737400352,2206
1698737400360,2195
1698737400368,2192
1698737400376,2191
1698737400384,2185
1698737400392,2187
1698737400400,2183
1698737400408,2165
1698737400416,2165
1698737400424,2160
1698737400432,2150
1698737400440,2149
1698737400448,2146
1698737400456,2143
1698737400464,2139
1698737400472,2133
1698737400480,2128
1698737400488,2113
1698737400496,2118
1698737400504,2105
1698737400512,2087
1698737400520,2071
1698737400528,2067
1698737400536,2064
1698737400544,2062
1698737400552,2046
1698737400560,2033
1698737400568,2030
1698737400576,2023
1698737400584,2019
1698737400592,2017
1698737400600,2017
1698737400608,2006
1698737400616,2006
1698737400624,2014
1698737400632,2017
1698737400640,2032
1698737400648,2043
1698737400656,2047
1698737400664,2061
1698737400672,2068
1698737400680,2083
1698737400688,2101
1698737400696,2113
1698737400704,2128
1698737400712,2127
1698737400720,2139
1698737400728,2151
1698737400736,2157
1698737400744,2173
1698737400752,2176
1698737400760,2175
1698737400768,2182
1698737400776,2186
1698737400784,2195
1698737400792,2203
1698737400800,2224
1698737400808,2231
1698737400816,2239
1698737400824,2250
1698737400832,2256
1698737400840,2272
1698737400848,2278
1698737400856,2275
1698737400864,2256
1698737400872,2256
1698737400880,2242
1698737400888,2224
1698737400896,2227
1698737400904,2211
1698737400912,2195
1698737400920,2183
1698737400928,2173
1698737400936,2167
1698737400944,2166
1698737400952,2161
1698737400960,2139
1698737400968,2127
1698737400976,2113
1698737400984,2095
1698737400992,2077
1698737401000,2061
1698737401008,2018
1698737401016,2000
1698737401024,1971
1698737401032,1962
1698737401040,1941
1698737401048,1916
1698737401056,1904
1698737401064,1878
1698737401072,1873
1698737401080,1861
1698737401088,1849
1698737401096,1845
1698737401104,1845
1698737401112,1840
1698737401120,1840
1698737401128,1850
1698737401136,1856
1698737401144,1873
1698737401152,1878
1698737401160,1883
1698737401168,1906
1698737401176,1900
1698737401184,1903
1698737401192,1907
1698737401200,1903
1698737401208,1885
1698737401216,1877
1698737401224,1863
1698737401232,1855
1698737401240,1843
1698737401248,1823
1698737401256,1813
1698737401264,1791
1698737401272,1779
1698737401280,1757
1698737401288,1739
1698737401296,1725
1698737401304,1698
1698737401312,1678
1698737401320,1653
1698737401328,1633
1698737401336,1622
1698737401344,1614
1698737401352,1606
1698737401360,1585
1698737401368,1579
1698737401376,1578
1698737401384,1566
1698737401392,1561
1698737401400,1552
1698737401408,1520
1698737401416,1515
1698737401424,1483
1698737401432,1469
1698737401440,1437
1698737401448,1411
1698737401456,1396
1698737401464,1363
1698737401472,1355
1698737401480,1332
1698737401488,1319
1698737401496,1322
1698737401504,1316
1698737401512,1312
1698737401520,1305
1698737401528,1309
1698737401536,1311
1698737401544,1312
1698737401552,1310
1698737401560,1312
