time,value
1698737400000,3229
1698737400008,3035
1698737400016,2703
1698737400024,2517
1698737400032,2175
1698737400040,2017
1698737400048,1783
1698737400056,1710
1698737400064,1670
1698737400072,1745
1698737400080,1821
1698737400088,1955
1698737400096,2033
1698737400104,2160
1698737400112,2252
1698737400120,2278
1698737400128,2241
1698737400136,2226
1698737400144,2150
1698737400152,2125
1698737400160,2109
1698737400168,2089
1698737400176,2071
1698737400184,2063
1698737400192,2111
1698737400200,2160
1698737400208,2227
1698737400216,2278
1698737400224,2340
1698737400232,2334
1698737400240,2310
1698737400248,2176
1698737400256,2096
1698737400264,1840
1698737400272,1571
1698737400280,1439
1698737400288,1204
1698737400296,1106
1698737400304,919
1698737400312,763
1698737400320,724
1698737400328,795
1698737400336,886
1698737400344,1120
1698737400352,1353
1698737400360,1472
1698737400368,1616
1698737400376,1653
1698737400384,1662
1698737400392,1616
1698737400400,1602
1698737400408,1573
1698737400416,1584
1698737400424,1661
1698737400432,1755
1698737400440,1808
1698737400448,1821
1698737400456,1797
1698737400464,1693
1698737400472,1530
1698737400480,1465
1698737400488,1353
1698737400496,1325
1698737400504,1341
1698737400512,1373
1698737400520,1406
1698737400528,1399
1698737400536,1392
1698737400544,1417
1698737400552,1479
1698737400560,1535
1698737400568,1605
1698737400576,1618
1698737400584,1647
1698737400592,1721
1698737400600,1811
1698737400608,1999
1698737400616,2092
1698737400624,2295
1698737400632,2432
1698737400640,2608
1698737400648,2733
1698737400656,2757
1698737400664,2826
1698737400672,2894
1698737400680,2921
1698737400688,2920
1698737400696,2891
1698737400704,2866
1698737400712,2879
1698737400720,2809
1698737400728,2703
1698737400736,2619
1698737400744,2519
1698737400752,2525
1698737400760,2509
1698737400768,2571
1698737400776,2590
1698737400784,2704
1698737400792,2814
1698737400800,2923
1698737400808,2939
1698737400816,2890
1698737400824,2766
1698737400832,2704
1698737400840,2450
1698737400848,2148
1698737400856,1973
1698737400864,1679
1698737400872,1551
1698737400880,1308
1698737400888,1181
1698737400896,1127
1698737400904,1147
1698737400912,1231
1698737400920,1351
1698737400928,1451
1698737400936,1451
1698737400944,1439
1698737400952,1437
1698737400960,1282
1698737400968,1096
1698737400976,999
1698737400984,833
1698737400992,758
1698737401000,635
1698737401008,522
1698737401016,465
1698737401024,385
1698737401032,362
1698737401040,430
1698737401048,609
1698737401056,686
1698737401064,875
1698737401072,1001
1698737401080,1175
1698737401088,1356
1698737401096,1437
1698737401104,1712
1698737401112,1903
1698737401120,2224
1698737401128,2481
1698737401136,2550
1698737401144,2658
1698737401152,2703
1698737401160,2629
1698737401168,2464
1698737401176,2325
1698737401184,2053
1698737401192,1941
1698737401200,1650
1698737401208,1398
1698737401216,1281
1698737401224,1098
1698737401232,1049
1698737401240,967
1698737401248,923
1698737401256,883
1698737401264,816
1698737401272,791
1698737401280,674
1698737401288,566
1698737401296,508
1698737401304,442
1698737401312,467
1698737401320,594
1698737401328,765
1698737401336,832
1698737401344,1037
1698737401352,1168
1698737401360,1354
1698737401368,1462
1698737401376,1456
1698737401384,1361
1698737401392,1294
1698737401400,1102
1698737401408,909
1698737401416,823
1698737401424,685
1698737401432,622
1698737401440,503
1698737401448,414
1698737401456,371
1698737401464,336
1698737401472,410
1698737401480,725
1698737401488,1105
1698737401496,1265
1698737401504,1553
1698737401512,1684
1698737401520,1833
1698737401528,1879
1698737401536,1872
1698737401544,1879
1698737401552,1920
1698737401560,1949
1698737401568,1987
1698737401576,2007
1698737401584,2118
1698737401592,2235
1698737401600,2442
1698737401608,2539
1698737401616,2813
1698737401624,3087
1698737401632,3222
1698737401640,3365
1698737401648,3390
1698737401656,3285
1698737401664,3078
1698737401672,2987
1698737401680,2688
1698737401688,2498
1698737401696,2226
1698737401704,2032
1698737401712,2019
1698737401720,2007
1698737401728,2022
1698737401736,2159
1698737401744,2314
1698737401752,2439
1698737401760,2605
1698737401768,2639
1698737401776,2753
1698737401784,2800
1698737401792,2853
1698737401800,2864
1698737401808,2845
1698737401816,2880
1698737401824,2907
1698737401832,2941
1698737401840,2843
1698737401848,2725
1698737401856,2480
1698737401864,2140
1698737401872,1954
1698737401880,1648
