time,value
1698720240000,1967
1698720240008,1966
1698720240016,1962
1698720240024,1969
1698720240032,1971
1698720240040,1973
1698720240048,1981
1698720240056,1985
1698720240064,1999
1698720240072,2009
1698720240080,2011
1698720240088,2021
1698720240096,2027
1698720240104,2035
1698720240112,2033
1698720240120,2045
1698720240128,2043
1698720240136,2042
1698720240144,2034
1698720240152,2032
1698720240160,2031
1698720240168,2030
1698720240176,2032
1698720240184,2023
1698720240192,2021
1698720240200,2021
1698720240208,2021
1698720240216,2019
1698720240224,2023
1698720240232,2023
1698720240240,2026
1698720240248,2027
1698720240256,2029
1698720240264,2030
1698720240272,2036
1698720240280,2034
1698720240288,2030
1698720240296,2030
1698720240304,2030
1698720240312,2029
1698720240320,2027
1698720240328,2029
1698720240336,2030
1698720240344,2031
1698720240352,2027
1698720240360,2023
1698720240368,2027
1698720240376,2034
1698720240384,2029
1698720240392,2035
1698720240400,2043
1698720240408,2058
1698720240416,2064
1698720240424,2081
1698720240432,2091
1698720240440,2109
1698720240448,2118
1698720240456,2133
1698720240464,2145
1698720240472,2150
1698720240480,2162
1698720240488,2160
1698720240496,2160
1698720240504,2159
1698720240512,2149
1698720240520,2134
1698720240528,2123
1698720240536,2096
1698720240544,2081
1698720240552,2064
1698720240560,2030
1698720240568,2007
1698720240576,1986
1698720240584,1970
1698720240592,1939
1698720240600,1933
1698720240608,1921
1698720240616,1911
1698720240624,1916
1698720240632,1915
1698720240640,1917
1698720240648,1923
1698720240656,1939
1698720240664,1954
1698720240672,1977
1698720240680,2005
1698720240688,2019
1698720240696,2064
1698720240704,2087
1698720240712,2105
1698720240720,2153
1698720240728,2172
1698720240736,2196
1698720240744,2218
1698720240752,2233
1698720240760,2256
1698720240768,2262
1698720240776,2282
1698720240784,2283
1698720240792,2273
1698720240800,2257
1698720240808,2255
1698720240816,2226
1698720240824,2219
1698720240832,2200
1698720240840,2161
1698720240848,2143
1698720240856,2111
1698720240864,2095
1698720240872,2066
1698720240880,2047
1698720240888,2029
1698720240896,2006
1698720240904,1999
1698720240912,1991
1698720240920,1987
1698720240928,1985
