time,value
1698738241000,1493
1698738241008,1475
1698738241016,1456
1698738241024,1419
1698738241032,1395
1698738241040,1360
1698738241048,1345
1698738241056,1326
1698738241064,1315
1698738241072,1309
1698738241080,1302
1698738241088,1299
1698738241096,1309
1698738241104,1311
1698738241112,1318
1698738241120,1314
1698738241128,1312
1698738241136,1312
1698738241144,1317
1698738241152,1317
1698738241160,1316
1698738241168,1319
1698738241176,1327
1698738241184,1330
1698738241192,1346
1698738241200,1354
1698738241208,1360
1698738241216,1370
1698738241224,1373
1698738241232,1379
1698738241240,1385
1698738241248,1387
1698738241256,1389
1698738241264,1376
1698738241272,1364
1698738241280,1359
1698738241288,1350
1698738241296,1334
1698738241304,1333
1698738241312,1332
1698738241320,1350
1698738241328,1366
1698738241336,1406
1698738241344,1436
1698738241352,1456
1698738241360,1481
1698738241368,1488
1698738241376,1466
1698738241384,1442
1698738241392,1359
1698738241400,1297
1698738241408,1232
1698738241416,1089
1698738241424,1006
1698738241432,924
1698738241440,781
1698738241448,710
1698738241456,605
1698738241464,561
1698738241472,495
1698738241480,467
1698738241488,461
1698738241496,463
1698738241504,471
1698738241512,504
1698738241520,531
1698738241528,554
1698738241536,592
1698738241544,615
1698738241552,654
1698738241560,673
1698738241568,695
1698738241576,758
1698738241584,781
1698738241592,851
1698738241600,896
1698738241608,971
1698738241616,1011
1698738241624,1059
1698738241632,1125
1698738241640,1153
1698738241648,1174
1698738241656,1194
1698738241664,1194
1698738241672,1183
1698738241680,1168
1698738241688,1149
1698738241696,1116
1698738241704,1101
1698738241712,1072
1698738241720,1060
1698738241728,1052
1698738241736,1053
1698738241744,1058
1698738241752,1072
1698738241760,1076
1698738241768,1088
1698738241776,1104
1698738241784,1118
1698738241792,1138
1698738241800,1145
1698738241808,1152
1698738241816,1154
1698738241824,1162
1698738241832,1168
1698738241840,1178
1698738241848,1184
1698738241856,1194
1698738241864,1200
1698738241872,1215
1698738241880,1230
1698738241888,1231
1698738241896,1249
1698738241904,1255
1698738241912,1262
1698738241920,1264
1698738241928,1264
1698738241936,1264
1698738241944,1268
1698738241952,1266
1698738241960,1260
1698738241968,1261
1698738241976,1264
1698738241984,1267
1698738241992,1296
1698738242000,1314
1698738242008,1360
1698738242016,1393
1698738242024,1424
1698738242032,1481
1698738242040,1513
1698738242048,1529
1698738242056,1529
1698738242064,1511
1698738242072,1454
1698738242080,1401
1698738242088,1337
1698738242096,1204
1698738242104,1123
1698738242112,960
1698738242120,878
1698738242128,801
1698738242136,671
1698738242144,622
1698738242152,544
1698738242160,506
1698738242168,491
1698738242176,479
1698738242184,487
1698738242192,521
1698738242200,541
1698738242208,574
1698738242216,593
1698738242224,615
1698738242232,656
1698738242240,681
1698738242248,703
1698738242256,748
1698738242264,771
1698738242272,826
1698738242280,859
1698738242288,893
1698738242296,954
1698738242304,981
1698738242312,1030
1698738242320,1045
1698738242328,1057
1698738242336,1059
1698738242344,1049
1698738242352,1040
1698738242360,1015
1698738242368,995
1698738242376,965
1698738242384,951
1698738242392,941
1698738242400,937
1698738242408,941
1698738242416,945
1698738242424,959
1698738242432,990
1698738242440,1008
1698738242448,1031
1698738242456,1065
1698738242464,1079
1698738242472,1110
1698738242480,1131
1698738242488,1145
1698738242496,1175
1698738242504,1196
1698738242512,1221
1698738242520,1235
1698738242528,1251
1698738242536,1284
1698738242544,1321
1698738242552,1338
1698738242560,1345
1698738242568,1372
1698738242576,1385
1698738242584,1397
1698738242592,1408
1698738242600,1408
1698738242608,1407
1698738242616,1402
1698738242624,1403
1698738242632,1402
1698738242640,1404
1698738242648,1413
1698738242656,1423
1698738242664,1437
1698738242672,1479
1698738242680,1507
1698738242688,1552
1698738242696,1635
1698738242704,1680
1698738242712,1776
1698738242720,1820
1698738242728,1867
1698738242736,1921
1698738242744,1941
1698738242752,1932
1698738242760,1895
1698738242768,1856
1698738242776,1745
1698738242784,1675
1698738242792,1533
1698738242800,1447
1698738242808,1300
1698738242816,1232
1698738242824,1168
1698738242832,1079
1698738242840,1051
1698738242848,1023
1698738242856,1003
1698738242864,1007
1698738242872,1035
1698738242880,1056
1698738242888,1100
1698738242896,1127
1698738242904,1152
1698738242912,1189
1698738242920,1213
1698738242928,1233
1698738242936,1281
1698738242944,1305
1698738242952,1382
1698738242960,1421
1698738242968,1463
1698738242976,1555
1698738242984,1602
1698738242992,1686
1698738243000,1733
1698738243008,1791
1698738243016,1821
1698738243024,1842
1698738243032,1872
1698738243040,1883
1698738243048,1888
1698738243056,1882
1698738243064,1877
1698738243072,1882
1698738243080,1883
1698738243088,1889
1698738243096,1916
1698738243104,1929
1698738243112,1968
1698738243120,1993
1698738243128,2017
1698738243136,2066
1698738243144,2094
1698738243152,2127
1698738243160,2153
1698738243168,2163
1698738243176,2192
1698738243184,2205
1698738243192,2229
1698738243200,2231
1698738243208,2246
1698738243216,2269
1698738243224,2283
1698738243232,2305
1698738243240,2320
1698738243248,2331
1698738243256,2355
1698738243264,2366
1698738243272,2383
1698738243280,2387
1698738243288,2393
1698738243296,2395
1698738243304,2384
1698738243312,2367
1698738243320,2359
1698738243328,2347
1698738243336,2320
1698738243344,2307
1698738243352,2300
1698738243360,2293
1698738243368,2298
1698738243376,2322
1698738243384,2341
1698738243392,2393
1698738243400,2417
1698738243408,2433
1698738243416,2457
1698738243424,2453
1698738243432,2427
1698738243440,2386
1698738243448,2347
1698738243456,2235
1698738243464,2163
1698738243472,2019
1698738243480,1942
1698738243488,1862
1698738243496,1739
1698738243504,1674
1698738243512,1567
1698738243520,1520
1698738243528,1488
1698738243536,1444
1698738243544,1429
1698738243552,1421
1698738243560,1419
1698738243568,1415
1698738243576,1423
1698738243584,1423
1698738243592,1426
1698738243600,1426
1698738243608,1421
1698738243616,1422
1698738243624,1424
1698738243632,1438
1698738243640,1451
1698738243648,1469
1698738243656,1495
1698738243664,1514
1698738243672,1549
1698738243680,1559
1698738243688,1572
1698738243696,1573
1698738243704,1566
1698738243712,1520
1698738243720,1494
1698738243728,1461
1698738243736,1395
1698738243744,1361
1698738243752,1298
1698738243760,1267
1698738243768,1224
1698738243776,1203
1698738243784,1195
1698738243792,1191
1698738243800,1194
1698738243808,1203
1698738243816,1218
1698738243824,1234
1698738243832,1270
1698738243840,1293
1698738243848,1313
1698738243856,1347
1698738243864,1367
1698738243872,1408
1698738243880,1434
1698738243888,1456
1698738243896,1507
1698738243904,1526
1698738243912,1581
1698738243920,1607
1698738243928,1652
1698738243936,1676
1698738243944,1707
1698738243952,1744
1698738243960,1751
1698738243968,1777
1698738243976,1791
1698738243984,1794
1698738243992,1808
1698738244000,1808
1698738244008,1794
1698738244016,1790
1698738244024,1780
1698738244032,1766
1698738244040,1759
1698738244048,1761
1698738244056,1759
1698738244064,1764
1698738244072,1797
1698738244080,1821
1698738244088,1863
1698738244096,1890
1698738244104,1908
1698738244112,1925
1698738244120,1920
1698738244128,1884
1698738244136,1845
1698738244144,1805
1698738244152,1689
1698738244160,1615
1698738244168,1465
1698738244176,1381
1698738244184,1302
1698738244192,1163
1698738244200,1105
1698738244208,1005
1698738244216,966
1698738244224,925
1698738244232,906
1698738244240,899
1698738244248,903
1698738244256,906
1698738244264,915
1698738244272,935
1698738244280,945
1698738244288,963
1698738244296,970
1698738244304,977
1698738244312,994
1698738244320,1007
1698738244328,1044
1698738244336,1071
1698738244344,1099
1698738244352,1152
1698738244360,1181
1698738244368,1232
1698738244376,1259
1698738244384,1280
1698738244392,1298
1698738244400,1307
1698738244408,1287
1698738244416,1274
1698738244424,1250
1698738244432,1207
1698738244440,1179
1698738244448,1136
1698738244456,1108
1698738244464,1094
1698738244472,1072
1698738244480,1072
1698738244488,1072
1698738244496,1084
1698738244504,1094
1698738244512,1114
1698738244520,1136
1698738244528,1170
1698738244536,1220
1698738244544,1235
1698738244552,1253
1698738244560,1281
1698738244568,1295
1698738244576,1327
1698738244584,1341
1698738244592,1360
1698738244600,1385
1698738244608,1397
1698738244616,1424
1698738244624,1438
1698738244632,1470
1698738244640,1482
1698738244648,1491
1698738244656,1501
1698738244664,1506
1698738244672,1509
1698738244680,1505
1698738244688,1506
1698738244696,1494
1698738244704,1490
1698738244712,1482
1698738244720,1475
1698738244728,1471
1698738244736,1469
1698738244744,1466
1698738244752,1458
1698738244760,1456
1698738244768,1456
1698738244776,1457
1698738244784,1469
1698738244792,1481
1698738244800,1503
1698738244808,1521
1698738244816,1563
1698738244824,1584
1698738244832,1597
1698738244840,1616
1698738244848,1610
1698738244856,1569
1698738244864,1526
1698738244872,1482
1698738244880,1377
1698738244888,1312
1698738244896,1173
1698738244904,1099
1698738244912,1019
1698738244920,891
1698738244928,829
1698738244936,742
1698738244944,704
1698738244952,672
1698738244960,647
1698738244968,640
1698738244976,650
1698738244984,661
1698738244992,675
1698738245000,703
1698738245008,720
1698738245016,758
1698738245024,781
1698738245032,805
1698738245040,861
1698738245048,897
1698738245056,970
1698738245064,1018
1698738245072,1118
1698738245080,1171
1698738245088,1232
1698738245096,1327
1698738245104,1374
1698738245112,1419
1698738245120,1483
1698738245128,1505
1698738245136,1526
1698738245144,1535
1698738245152,1526
1698738245160,1514
1698738245168,1497
1698738245176,1471
1698738245184,1466
1698738245192,1456
1698738245200,1441
1698738245208,1439
1698738245216,1437
1698738245224,1429
1698738245232,1431
1698738245240,1426
1698738245248,1426
1698738245256,1410
1698738245264,1399
1698738245272,1389
1698738245280,1357
1698738245288,1344
1698738245296,1299
1698738245304,1286
1698738245312,1248
1698738245320,1226
1698738245328,1210
1698738245336,1190
1698738245344,1173
1698738245352,1157
1698738245360,1152
1698738245368,1152
1698738245376,1152
1698738245384,1159
1698738245392,1164
1698738245400,1169
1698738245408,1171
1698738245416,1169
1698738245424,1169
1698738245432,1168
1698738245440,1168
1698738245448,1162
1698738245456,1159
1698738245464,1157
1698738245472,1163
1698738245480,1168
1698738245488,1181
1698738245496,1193
1698738245504,1207
1698738245512,1226
1698738245520,1242
1698738245528,1278
1698738245536,1303
1698738245544,1330
1698738245552,1381
1698738245560,1413
1698738245568,1462
1698738245576,1483
1698738245584,1502
1698738245592,1494
1698738245600,1444
1698738245608,1407
1698738245616,1358
1698738245624,1296
1698738245632,1169
1698738245640,1089
1698738245648,931
1698738245656,850
1698738245664,774
1698738245672,652
1698738245680,592
1698738245688,503
1698738245696,471
1698738245704,451
1698738245712,432
1698738245720,432
1698738245728,439
1698738245736,457
1698738245744,465
1698738245752,490
1698738245760,505
1698738245768,535
1698738245776,555
1698738245784,591
1698738245792,618
1698738245800,647
1698738245808,710
1698738245816,749
1698738245824,789
1698738245832,867
1698738245840,906
1698738245848,969
1698738245856,998
1698738245864,1029
1698738245872,1076
1698738245880,1072
1698738245888,1093
1698738245896,1098
1698738245904,1093
1698738245912,1095
1698738245920,1095
1698738245928,1103
1698738245936,1107
1698738245944,1117
1698738245952,1130
1698738245960,1141
1698738245968,1161
1698738245976,1171
1698738245984,1198
1698738245992,1207
1698738246000,1221
1698738246008,1232
1698738246016,1238
1698738246024,1249
1698738246032,1277
1698738246040,1289
1698738246048,1318
1698738246056,1345
1698738246064,1371
1698738246072,1427
1698738246080,1460
1698738246088,1535
1698738246096,1580
1698738246104,1611
1698738246112,1677
1698738246120,1710
1698738246128,1759
1698738246136,1791
1698738246144,1809
1698738246152,1834
1698738246160,1840
1698738246168,1846
1698738246176,1842
1698738246184,1834
1698738246192,1819
1698738246200,1794
1698738246208,1759
1698738246216,1744
1698738246224,1724
1698738246232,1699
1698738246240,1690
1698738246248,1680
1698738246256,1682
1698738246264,1691
1698738246272,1712
1698738246280,1725
1698738246288,1738
1698738246296,1732
1698738246304,1713
1698738246312,1650
1698738246320,1601
1698738246328,1481
1698738246336,1404
1698738246344,1320
1698738246352,1152
1698738246360,1061
1698738246368,895
1698738246376,814
1698738246384,688
1698738246392,632
1698738246400,584
1698738246408,525
1698738246416,498
1698738246424,487
1698738246432,495
1698738246440,501
1698738246448,529
1698738246456,551
1698738246464,575
1698738246472,607
1698738246480,634
1698738246488,685
1698738246496,713
1698738246504,741
1698738246512,816
1698738246520,861
1698738246528,958
1698738246536,1010
1698738246544,1072
1698738246552,1168
1698738246560,1223
1698738246568,1311
1698738246576,1355
1698738246584,1422
1698738246592,1449
1698738246600,1482
1698738246608,1499
1698738246616,1517
1698738246624,1533
1698738246632,1581
1698738246640,1603
1698738246648,1647
1698738246656,1680
1698738246664,1715
1698738246672,1786
1698738246680,1826
1698738246688,1904
1698738246696,1941
1698738246704,1973
1698738246712,2036
1698738246720,2068
1698738246728,2112
1698738246736,2141
1698738246744,2160
1698738246752,2189
1698738246760,2203
1698738246768,2231
1698738246776,2253
1698738246784,2278
1698738246792,2310
1698738246800,2335
1698738246808,2352
1698738246816,2366
1698738246824,2377
1698738246832,2397
1698738246840,2399
1698738246848,2384
1698738246856,2375
1698738246864,2366
1698738246872,2334
1698738246880,2319
1698738246888,2288
1698738246896,2271
1698738246904,2247
1698738246912,2231
1698738246920,2230
1698738246928,2247
1698738246936,2264
1698738246944,2285
1698738246952,2309
1698738246960,2320
1698738246968,2321
1698738246976,2311
1698738246984,2257
1698738246992,2207
1698738247000,2084
1698738247008,2000
1698738247016,1920
1698738247024,1838
1698738247032,1682
1698738247040,1600
1698738247048,1456
1698738247056,1381
1698738247064,1328
1698738247072,1250
1698738247080,1219
1698738247088,1200
1698738247096,1200
1698738247104,1201
1698738247112,1227
1698738247120,1247
1698738247128,1290
1698738247136,1314
1698738247144,1347
1698738247152,1371
1698738247160,1390
1698738247168,1428
1698738247176,1456
1698738247184,1475
1698738247192,1544
1698738247200,1575
1698738247208,1643
1698738247216,1678
1698738247224,1715
1698738247232,1776
1698738247240,1803
1698738247248,1841
1698738247256,1857
1698738247264,1866
1698738247272,1866
1698738247280,1857
1698738247288,1840
1698738247296,1833
1698738247304,1819
1698738247312,1806
1698738247320,1802
1698738247328,1807
1698738247336,1810
1698738247344,1826
1698738247352,1852
1698738247360,1871
1698738247368,1901
1698738247376,1919
1698738247384,1948
1698738247392,1956
1698738247400,1961
1698738247408,1974
1698738247416,1983
1698738247424,1985
1698738247432,1997
1698738247440,1996
1698738247448,2005
1698738247456,2015
1698738247464,2021
1698738247472,2030
1698738247480,2035
1698738247488,2032
1698738247496,2032
1698738247504,2017
1698738247512,2000
1698738247520,1984
1698738247528,1946
1698738247536,1917
1698738247544,1860
1698738247552,1830
1698738247560,1791
1698738247568,1726
1698738247576,1692
1698738247584,1638
1698738247592,1611
1698738247600,1584
1698738247608,1552
1698738247616,1545
1698738247624,1525
1698738247632,1521
1698738247640,1520
1698738247648,1482
1698738247656,1454
1698738247664,1374
1698738247672,1317
1698738247680,1250
1698738247688,1106
1698738247696,1008
1698738247704,848
1698738247712,758
1698738247720,679
1698738247728,553
1698738247736,485
1698738247744,390
1698738247752,341
1698738247760,306
1698738247768,261
1698738247776,256
1698738247784,264
1698738247792,277
1698738247800,319
1698738247808,343
1698738247816,370
1698738247824,427
1698738247832,461
1698738247840,493
1698738247848,558
1698738247856,598
1698738247864,682
1698738247872,731
1698738247880,784
1698738247888,886
1698738247896,944
1698738247904,1044
1698738247912,1094
1698738247920,1139
1698738247928,1215
1698738247936,1238
1698738247944,1275
1698738247952,1280
1698738247960,1288
1698738247968,1289
1698738247976,1281
1698738247984,1279
1698738247992,1276
1698738248000,1269
1698738248008,1275
1698738248016,1285
1698738248024,1307
1698738248032,1328
1698738248040,1348
1698738248048,1378
1698738248056,1399
1698738248064,1435
1698738248072,1455
1698738248080,1469
1698738248088,1505
1698738248096,1520
1698738248104,1552
1698738248112,1567
1698738248120,1584
1698738248128,1614
1698738248136,1638
1698738248144,1670
1698738248152,1682
1698738248160,1703
1698738248168,1731
1698738248176,1747
1698738248184,1776
1698738248192,1779
1698738248200,1790
1698738248208,1790
1698738248216,1781
1698738248224,1786
1698738248232,1776
1698738248240,1780
1698738248248,1763
1698738248256,1750
1698738248264,1739
1698738248272,1729
1698738248280,1722
1698738248288,1725
1698738248296,1728
1698738248304,1743
1698738248312,1755
1698738248320,1776
1698738248328,1808
1698738248336,1824
1698738248344,1839
1698738248352,1827
1698738248360,1792
1698738248368,1757
1698738248376,1712
1698738248384,1610
1698738248392,1534
1698738248400,1386
1698738248408,1302
1698738248416,1219
1698738248424,1072
1698738248432,991
1698738248440,927
1698738248448,816
1698738248456,775
1698738248464,720
1698738248472,699
1698738248480,688
1698738248488,688
1698738248496,698
1698738248504,718
1698738248512,734
1698738248520,752
1698738248528,784
1698738248536,811
1698738248544,853
1698738248552,884
1698738248560,916
1698738248568,995
1698738248576,1045
1698738248584,1141
1698738248592,1198
1698738248600,1289
1698738248608,1339
1698738248616,1385
1698738248624,1455
1698738248632,1488
1698738248640,1509
1698738248648,1523
1698738248656,1523
1698738248664,1518
1698738248672,1509
1698738248680,1490
1698738248688,1479
1698738248696,1470
1698738248704,1455
1698738248712,1449
1698738248720,1452
1698738248728,1455
1698738248736,1456
1698738248744,1477
1698738248752,1479
1698738248760,1487
1698738248768,1506
1698738248776,1511
1698738248784,1526
1698738248792,1533
1698738248800,1542
1698738248808,1549
1698738248816,1555
1698738248824,1584
1698738248832,1595
1698738248840,1605
1698738248848,1616
1698738248856,1638
1698738248864,1649
1698738248872,1671
1698738248880,1680
1698738248888,1690
1698738248896,1699
1698738248904,1706
1698738248912,1712
1698738248920,1713
1698738248928,1715
1698738248936,1718
1698738248944,1712
1698738248952,1714
1698738248960,1719
1698738248968,1729
1698738248976,1765
1698738248984,1789
1698738248992,1831
1698738249000,1866
1698738249008,1900
1698738249016,1949
1698738249024,1968
1698738249032,1981
1698738249040,1970
1698738249048,1946
1698738249056,1873
1698738249064,1815
1698738249072,1686
1698738249080,1614
1698738249088,1529
1698738249096,1367
1698738249104,1289
1698738249112,1153
1698738249120,1098
1698738249128,1030
1698738249136,950
1698738249144,922
1698738249152,891
1698738249160,882
1698738249168,883
1698738249176,887
1698738249184,895
1698738249192,909
1698738249200,916
1698738249208,927
1698738249216,953
1698738249224,965
1698738249232,1005
1698738249240,1034
1698738249248,1063
1698738249256,1123
1698738249264,1158
1698738249272,1229
1698738249280,1266
1698738249288,1328
1698738249296,1363
1698738249304,1392
1698738249312,1426
1698738249320,1441
1698738249328,1459
1698738249336,1470
1698738249344,1467
1698738249352,1468
1698738249360,1469
1698738249368,1471
1698738249376,1478
1698738249384,1488
1698738249392,1508
1698738249400,1525
1698738249408,1552
1698738249416,1585
1698738249424,1601
1698738249432,1643
1698738249440,1661
1698738249448,1680
1698738249456,1712
1698738249464,1725
1698738249472,1744
1698738249480,1753
1698738249488,1757
1698738249496,1764
1698738249504,1767
1698738249512,1771
1698738249520,1767
1698738249528,1776
1698738249536,1776
1698738249544,1772
1698738249552,1767
1698738249560,1762
1698738249568,1759
1698738249576,1744
1698738249584,1734
1698738249592,1707
1698738249600,1690
1698738249608,1674
1698738249616,1649
1698738249624,1638
1698738249632,1631
1698738249640,1637
1698738249648,1654
1698738249656,1681
1698738249664,1711
1698738249672,1778
1698738249680,1814
1698738249688,1885
1698738249696,1909
1698738249704,1938
1698738249712,1943
1698738249720,1934
1698738249728,1886
1698738249736,1835
1698738249744,1730
1698738249752,1665
1698738249760,1600
1698738249768,1473
1698738249776,1415
1698738249784,1320
1698738249792,1271
1698738249800,1238
1698738249808,1201
1698738249816,1191
1698738249824,1205
1698738249832,1219
1698738249840,1232
1698738249848,1281
1698738249856,1313
1698738249864,1370
1698738249872,1399
1698738249880,1439
1698738249888,1502
1698738249896,1535
1698738249904,1615
1698738249912,1663
1698738249920,1710
1698738249928,1806
1698738249936,1861
1698738249944,1949
1698738249952,2001
1698738249960,2058
1698738249968,2137
1698738249976,2208
1698738249984,2234
1698738249992,2249
1698738250000,2263
1698738250008,2285
1698738250016,2291
1698738250024,2306
1698738250032,2306
1698738250040,2313
1698738250048,2320
1698738250056,2325
1698738250064,2349
1698738250072,2362
1698738250080,2384
1698738250088,2416
1698738250096,2423
1698738250104,2450
1698738250112,2467
1698738250120,2478
1698738250128,2498
1698738250136,2504
1698738250144,2505
1698738250152,2509
1698738250160,2512
1698738250168,2512
1698738250176,2514
1698738250184,2513
1698738250192,2503
1698738250200,2501
1698738250208,2489
1698738250216,2480
1698738250224,2465
1698738250232,2448
1698738250240,2432
1698738250248,2387
1698738250256,2365
1698738250264,2319
1698738250272,2288
1698738250280,2270
1698738250288,2222
1698738250296,2192
1698738250304,2160
1698738250312,2150
1698738250320,2139
1698738250328,2141
1698738250336,2138
1698738250344,2126
1698738250352,2113
1698738250360,2065
1698738250368,2025
1698738250376,1981
1698738250384,1869
1698738250392,1786
1698738250400,1712
1698738250408,1555
1698738250416,1468
1698738250424,1318
1698738250432,1236
1698738250440,1166
1698738250448,1043
1698738250456,988
1698738250464,919
1698738250472,893
1698738250480,880
1698738250488,870
1698738250496,870
1698738250504,889
1698738250512,906
1698738250520,918
1698738250528,954
1698738250536,973
1698738250544,1003
1698738250552,1029
1698738250560,1055
1698738250568,1102
1698738250576,1163
1698738250584,1200
1698738250592,1229
1698738250600,1263
1698738250608,1326
1698738250616,1351
1698738250624,1397
1698738250632,1412
1698738250640,1422
1698738250648,1411
1698738250656,1401
1698738250664,1365
1698738250672,1335
1698738250680,1322
1698738250688,1269
1698738250696,1236
1698738250704,1194
1698738250712,1174
1698738250720,1152
1698738250728,1146
1698738250736,1137
1698738250744,1135
1698738250752,1133
1698738250760,1136
1698738250768,1141
1698738250776,1139
1698738250784,1151
1698738250792,1145
1698738250800,1145
1698738250808,1149
1698738250816,1147
1698738250824,1161
1698738250832,1166
1698738250840,1168
1698738250848,1175
1698738250856,1182
1698738250864,1200
1698738250872,1205
1698738250880,1217
1698738250888,1232
1698738250896,1232
1698738250904,1237
1698738250912,1237
1698738250920,1243
1698738250928,1242
1698738250936,1240
1698738250944,1233
1698738250952,1234
1698738250960,1238
1698738250968,1259
1698738250976,1282
1698738250984,1337
1698738250992,1370
1698738251000,1416
1698738251008,1498
1698738251016,1551
1698738251024,1623
1698738251032,1652
1698738251040,1669
1698738251048,1664
1698738251056,1643
1698738251064,1578
1698738251072,1519
1698738251080,1457
1698738251088,1322
1698738251096,1234
1698738251104,1093
1698738251112,1009
1698738251120,941
1698738251128,846
1698738251136,800
1698738251144,737
1698738251152,720
1698738251160,705
1698738251168,709
1698738251176,718
1698738251184,732
1698738251192,742
1698738251200,762
1698738251208,774
1698738251216,787
1698738251224,821
1698738251232,840
1698738251240,882
1698738251248,914
1698738251256,949
1698738251264,1031
1698738251272,1072
1698738251280,1153
1698738251288,1197
1698738251296,1225
1698738251304,1281
1698738251312,1298
1698738251320,1323
1698738251328,1329
1698738251336,1326
1698738251344,1311
1698738251352,1302
1698738251360,1286
1698738251368,1276
1698738251376,1267
1698738251384,1267
1698738251392,1273
1698738251400,1292
1698738251408,1309
1698738251416,1325
1698738251424,1360
1698738251432,1382
1698738251440,1395
1698738251448,1435
1698738251456,1447
1698738251464,1477
1698738251472,1495
1698738251480,1523
1698738251488,1535
1698738251496,1555
1698738251504,1583
1698738251512,1599
1698738251520,1614
1698738251528,1647
1698738251536,1664
1698738251544,1698
1698738251552,1717
1698738251560,1733
1698738251568,1765
1698738251576,1776
1698738251584,1800
1698738251592,1802
1698738251600,1806
1698738251608,1803
1698738251616,1803
1698738251624,1793
1698738251632,1783
1698738251640,1780
1698738251648,1765
1698738251656,1757
1698738251664,1744
1698738251672,1744
1698738251680,1744
1698738251688,1745
1698738251696,1755
1698738251704,1777
1698738251712,1787
1698738251720,1798
1698738251728,1813
1698738251736,1810
1698738251744,1776
1698738251752,1743
1698738251760,1697
1698738251768,1584
1698738251776,1443
1698738251784,1343
1698738251792,1247
1698738251800,1143
1698738251808,949
1698738251816,853
1698738251824,696
1698738251832,624
1698738251840,555
1698738251848,439
1698738251856,397
1698738251864,337
1698738251872,329
1698738251880,323
1698738251888,335
1698738251896,349
1698738251904,390
1698738251912,419
1698738251920,448
1698738251928,511
1698738251936,556
1698738251944,633
1698738251952,672
1698738251960,766
1698738251968,818
1698738251976,871
1698738251984,973
1698738251992,1023
1698738252000,1078
1698738252008,1149
1698738252016,1185
1698738252024,1229
1698738252032,1236
1698738252040,1262
1698738252048,1265
1698738252056,1265
1698738252064,1270
1698738252072,1267
1698738252080,1274
1698738252088,1294
1698738252096,1301
1698738252104,1334
1698738252112,1358
1698738252120,1386
1698738252128,1435
1698738252136,1462
1698738252144,1519
1698738252152,1545
1698738252160,1569
1698738252168,1611
1698738252176,1631
1698738252184,1665
1698738252192,1680
1698738252200,1687
1698738252208,1719
1698738252216,1731
1698738252224,1753
1698738252232,1775
1698738252240,1808
1698738252248,1818
1698738252256,1839
1698738252264,1863
1698738252272,1873
1698738252280,1886
1698738252288,1906
