time,value
1698738241000,505
1698738241008,442
1698738241016,386
1698738241024,304
1698738241032,261
1698738241040,194
1698738241048,169
1698738241056,116
1698738241064,90
1698738241072,71
1698738241080,34
1698738241088,89
1698738241096,350
1698738241104,523
1698738241112,659
1698738241120,817
1698738241128,882
1698738241136,1014
1698738241144,1127
1698738241152,1377
1698738241160,1535
1698738241168,1696
1698738241176,1949
1698738241184,2064
1698738241192,2205
1698738241200,2255
1698738241208,2279
1698738241216,2234
1698738241224,2162
1698738241232,2064
1698738241240,1854
1698738241248,1738
1698738241256,1518
1698738241264,1394
1698738241272,1262
1698738241280,1057
1698738241288,1038
1698738241296,1327
1698738241304,1610
1698738241312,1889
1698738241320,2344
1698738241328,2557
1698738241336,2896
1698738241344,3071
1698738241352,3235
1698738241360,3312
1698738241368,3205
1698738241376,2672
1698738241384,2410
1698738241392,1997
1698738241400,1805
1698738241408,1623
1698738241416,1342
1698738241424,1205
1698738241432,1087
1698738241440,890
1698738241448,799
1698738241456,656
1698738241464,592
1698738241472,474
1698738241480,419
1698738241488,371
1698738241496,292
1698738241504,254
1698738241512,191
1698738241520,164
1698738241528,133
1698738241536,93
1698738241544,71
1698738241552,39
1698738241560,222
1698738241568,528
1698738241576,1175
1698738241584,1495
1698738241592,2016
1698738241600,2259
1698738241608,2640
1698738241616,2823
1698738241624,2995
1698738241632,3295
1698738241640,3457
1698738241648,3625
1698738241656,3259
1698738241664,2931
1698738241672,2429
1698738241680,2193
1698738241688,1978
1698738241696,1646
1698738241704,1479
1698738241712,1218
1698738241720,1096
1698738241728,980
1698738241736,1165
1698738241744,1462
1698738241752,1987
1698738241760,2231
1698738241768,2435
1698738241776,2593
1698738241784,2551
1698738241792,2418
1698738241800,2321
1698738241808,2183
1698738241816,2159
1698738241824,2172
1698738241832,2285
1698738241840,2387
1698738241848,2483
1698738241856,2634
1698738241864,2679
1698738241872,2703
1698738241880,2688
1698738241888,2663
1698738241896,2592
1698738241904,2519
1698738241912,2351
1698738241920,2230
1698738241928,2109
1698738241936,1915
1698738241944,1847
1698738241952,1776
1698738241960,1776
1698738241968,1835
1698738241976,2151
1698738241984,2378
1698738241992,2765
1698738242000,2943
1698738242008,3245
1698738242016,3403
1698738242024,3568
1698738242032,3886
1698738242040,4039
1698738242048,4095
1698738242056,3510
1698738242064,3134
1698738242072,2590
1698738242080,2341
1698738242088,2115
1698738242096,1757
1698738242104,1587
1698738242112,1302
1698738242120,1178
1698738242128,1060
1698738242136,869
1698738242144,782
1698738242152,641
1698738242160,573
1698738242168,503
1698738242176,405
1698738242184,358
1698738242192,283
1698738242200,246
1698738242208,187
1698738242216,156
1698738242224,130
1698738242232,84
1698738242240,67
1698738242248,235
1698738242256,798
1698738242264,1159
1698738242272,1725
1698738242280,1994
1698738242288,2240
1698738242296,2639
1698738242304,2820
1698738242312,2931
1698738242320,2802
1698738242328,2542
1698738242336,2112
1698738242344,1900
1698738242352,1576
1698738242360,1409
1698738242368,1267
1698738242376,1047
1698738242384,933
1698738242392,767
1698738242400,781
1698738242408,1143
1698738242416,1458
1698738242424,1760
1698738242432,2237
1698738242440,2469
1698738242448,2673
1698738242456,2992
1698738242464,3165
1698738242472,3453
1698738242480,3564
1698738242488,3642
1698738242496,3636
1698738242504,3655
1698738242512,3760
1698738242520,3840
1698738242528,3923
1698738242536,4034
1698738242544,3933
1698738242552,3777
1698738242560,3593
1698738242568,3188
1698738242576,2979
1698738242584,2624
1698738242592,2433
1698738242600,2246
1698738242608,1941
1698738242616,1848
1698738242624,1822
1698738242632,1989
1698738242640,2187
1698738242648,2415
1698738242656,2781
1698738242664,2960
1698738242672,3277
1698738242680,3438
1698738242688,3611
1698738242696,3927
1698738242704,4095
1698738242712,4095
1698738242720,4095
1698738242728,4095
1698738242736,4095
1698738242744,4095
1698738242752,4095
1698738242760,3570
1698738242768,3153
1698738242776,2609
1698738242784,2359
1698738242792,1968
1698738242800,1778
1698738242808,1471
1698738242816,1328
1698738242824,1198
1698738242832,982
1698738242840,890
1698738242848,799
1698738242856,655
1698738242864,587
1698738242872,468
1698738242880,415
1698738242888,330
1698738242896,406
1698738242904,549
1698738242912,1023
1698738242920,1311
1698738242928,1607
1698738242936,2107
1698738242944,2335
1698738242952,2711
1698738242960,2892
1698738242968,3065
1698738242976,3359
1698738242984,3520
1698738242992,3839
1698738243000,3996
1698738243008,4095
1698738243016,4095
1698738243024,4095
1698738243032,4095
1698738243040,4095
1698738243048,3791
1698738243056,3017
1698738243064,2838
1698738243072,2886
1698738243080,3046
1698738243088,3217
1698738243096,3525
1698738243104,3712
1698738243112,4041
1698738243120,4095
1698738243128,4095
1698738243136,4095
1698738243144,4095
1698738243152,4095
1698738243160,4095
1698738243168,4095
1698738243176,4095
1698738243184,4095
1698738243192,4095
1698738243200,4063
1698738243208,4059
1698738243216,4095
1698738243224,4095
1698738243232,4095
1698738243240,4095
1698738243248,4095
1698738243256,3767
