time,value
1698738241000,2271
1698738241008,2256
1698738241016,2231
1698738241024,2224
1698738241032,2211
1698738241040,2202
1698738241048,2185
1698738241056,2182
1698738241064,2169
1698738241072,2166
1698738241080,2164
1698738241088,2165
1698738241096,2171
1698738241104,2181
1698738241112,2190
1698738241120,2192
1698738241128,2209
1698738241136,2231
1698738241144,2241
1698738241152,2268
1698738241160,2281
1698738241168,2290
1698738241176,2315
1698738241184,2324
1698738241192,2346
1698738241200,2354
1698738241208,2382
1698738241216,2384
1698738241224,2394
1698738241232,2398
1698738241240,2401
1698738241248,2400
1698738241256,2398
1698738241264,2386
1698738241272,2377
1698738241280,2368
1698738241288,2355
1698738241296,2349
1698738241304,2336
1698738241312,2309
1698738241320,2299
1698738241328,2282
1698738241336,2271
1698738241344,2251
1698738241352,2227
1698738241360,2222
1698738241368,2209
1698738241376,2204
1698738241384,2194
1698738241392,2194
1698738241400,2206
1698738241408,2207
1698738241416,2197
1698738241424,2197
1698738241432,2194
1698738241440,2192
1698738241448,2183
1698738241456,2178
1698738241464,2167
1698738241472,2161
1698738241480,2158
1698738241488,2157
1698738241496,2160
1698738241504,2171
1698738241512,2177
1698738241520,2176
1698738241528,2205
1698738241536,2213
1698738241544,2233
1698738241552,2249
1698738241560,2257
1698738241568,2279
1698738241576,2274
1698738241584,2286
1698738241592,2288
1698738241600,2303
1698738241608,2306
1698738241616,2303
1698738241624,2302
1698738241632,2304
1698738241640,2304
1698738241648,2306
1698738241656,2302
1698738241664,2301
1698738241672,2294
1698738241680,2289
1698738241688,2285
1698738241696,2279
1698738241704,2279
1698738241712,2258
1698738241720,2255
1698738241728,2241
1698738241736,2235
1698738241744,2224
1698738241752,2224
1698738241760,2223
1698738241768,2218
1698738241776,2215
1698738241784,2219
1698738241792,2224
1698738241800,2239
1698738241808,2245
1698738241816,2240
1698738241824,2254
1698738241832,2258
1698738241840,2262
1698738241848,2281
1698738241856,2285
1698738241864,2282
1698738241872,2285
1698738241880,2288
1698738241888,2288
1698738241896,2286
1698738241904,2288
1698738241912,2273
1698738241920,2267
1698738241928,2257
1698738241936,2256
1698738241944,2231
1698738241952,2218
1698738241960,2206
1698738241968,2194
1698738241976,2167
1698738241984,2157
1698738241992,2123
1698738242000,2113
1698738242008,2085
1698738242016,2071
1698738242024,2060
1698738242032,2034
1698738242040,2022
1698738242048,2014
1698738242056,2013
1698738242064,2011
1698738242072,2025
1698738242080,2029
1698738242088,2031
1698738242096,2021
1698738242104,2015
1698738242112,2005
1698738242120,2005
1698738242128,2001
1698738242136,1999
1698738242144,1981
1698738242152,1973
1698738242160,1974
1698738242168,1984
1698738242176,2006
1698738242184,2005
1698738242192,2017
1698738242200,2031
1698738242208,2064
1698738242216,2079
1698738242224,2113
1698738242232,2130
1698738242240,2143
