time,value
1698738241000,1546
1698738241008,1369
1698738241016,1279
1698738241024,1221
1698738241032,1213
1698738241040,1196
1698738241048,1263
1698738241056,1445
1698738241064,1561
1698738241072,1837
1698738241080,1963
1698738241088,2223
1698738241096,2448
1698738241104,2578
1698738241112,2806
1698738241120,2917
1698738241128,3050
1698738241136,3146
1698738241144,3200
1698738241152,3303
1698738241160,3323
1698738241168,3362
1698738241176,3346
1698738241184,3312
1698738241192,3255
1698738241200,3201
1698738241208,3085
1698738241216,2864
1698738241224,2711
1698738241232,2391
1698738241240,2224
1698738241248,1904
1698738241256,1687
1698738241264,1583
1698738241272,1418
1698738241280,1344
1698738241288,1201
1698738241296,1088
1698738241304,1073
1698738241312,998
1698738241320,953
1698738241328,878
1698738241336,829
1698738241344,833
1698738241352,959
1698738241360,1053
1698738241368,1370
1698738241376,1535
1698738241384,1832
1698738241392,2033
1698738241400,2106
1698738241408,2170
1698738241416,2113
1698738241424,1968
1698738241432,1711
1698738241440,1591
1698738241448,1444
1698738241456,1441
1698738241464,1501
1698738241472,1680
1698738241480,1774
1698738241488,2071
1698738241496,2199
1698738241504,2519
1698738241512,2815
1698738241520,2907
1698738241528,3090
1698738241536,3162
1698738241544,3181
1698738241552,3062
1698738241560,2943
1698738241568,2753
1698738241576,2663
1698738241584,2512
1698738241592,2421
1698738241600,2411
1698738241608,2342
1698738241616,2319
1698738241624,2230
1698738241632,2129
1698738241640,2047
1698738241648,1977
1698738241656,1945
1698738241664,1853
1698738241672,1750
1698738241680,1702
1698738241688,1648
1698738241696,1593
1698738241704,1509
1698738241712,1392
1698738241720,1325
1698738241728,1346
1698738241736,1401
1698738241744,1520
1698738241752,1701
1698738241760,1779
1698738241768,2011
1698738241776,2113
1698738241784,2338
1698738241792,2490
1698738241800,2519
1698738241808,2551
1698738241816,2571
1698738241824,2559
1698738241832,2531
1698738241840,2490
1698738241848,2461
1698738241856,2441
1698738241864,2347
1698738241872,2234
1698738241880,2167
1698738241888,2057
1698738241896,1958
1698738241904,1810
1698738241912,1607
1698738241920,1488
1698738241928,1341
1698738241936,1265
1698738241944,1113
1698738241952,957
1698738241960,887
1698738241968,784
1698738241976,683
1698738241984,651
1698738241992,553
1698738242000,530
1698738242008,561
1698738242016,615
1698738242024,816
1698738242032,1143
1698738242040,1297
1698738242048,1709
1698738242056,1886
1698738242064,2107
1698738242072,2160
1698738242080,2123
1698738242088,2033
1698738242096,1928
1698738242104,1753
1698738242112,1552
1698738242120,1434
1698738242128,1376
1698738242136,1425
1698738242144,1607
1698738242152,1871
1698738242160,2000
1698738242168,2350
1698738242176,2535
1698738242184,2843
1698738242192,3137
1698738242200,3273
1698738242208,3543
1698738242216,3622
1698738242224,3605
