time,value
1698739980000,1893
1698739980008,1877
1698739980016,1862
1698739980024,1860
1698739980032,1847
1698739980040,1835
1698739980048,1824
1698739980056,1825
1698739980064,1817
1698739980072,1822
1698739980080,1817
1698739980088,1808
1698739980096,1805
1698739980104,1793
1698739980112,1772
1698739980120,1759
1698739980128,1727
1698739980136,1712
1698739980144,1685
1698739980152,1641
1698739980160,1616
1698739980168,1591
1698739980176,1552
1698739980184,1523
1698739980192,1489
1698739980200,1475
1698739980208,1462
1698739980216,1447
1698739980224,1446
1698739980232,1437
1698739980240,1439
1698739980248,1445
1698739980256,1457
1698739980264,1472
1698739980272,1488
1698739980280,1498
1698739980288,1515
1698739980296,1533
1698739980304,1535
1698739980312,1520
1698739980320,1513
1698739980328,1491
1698739980336,1427
1698739980344,1390
1698739980352,1301
1698739980360,1258
1698739980368,1199
1698739980376,1088
1698739980384,1034
1698739980392,921
1698739980400,883
1698739980408,839
1698739980416,784
1698739980424,767
1698739980432,747
1698739980440,752
1698739980448,750
1698739980456,770
1698739980464,784
1698739980472,816
1698739980480,842
1698739980488,853
1698739980496,887
1698739980504,905
1698739980512,935
1698739980520,950
1698739980528,973
1698739980536,1007
1698739980544,1021
1698739980552,1068
1698739980560,1090
1698739980568,1139
1698739980576,1178
1698739980584,1214
1698739980592,1280
1698739980600,1319
1698739980608,1397
1698739980616,1443
1698739980624,1491
1698739980632,1579
1698739980640,1611
1698739980648,1680
1698739980656,1709
1698739980664,1731
1698739980672,1770
1698739980680,1778
1698739980688,1771
1698739980696,1763
1698739980704,1751
1698739980712,1715
1698739980720,1695
1698739980728,1658
1698739980736,1635
1698739980744,1609
1698739980752,1575
1698739980760,1553
1698739980768,1522
1698739980776,1518
1698739980784,1504
1698739980792,1482
1698739980800,1475
1698739980808,1453
1698739980816,1446
1698739980824,1438
1698739980832,1414
1698739980840,1395
1698739980848,1369
1698739980856,1357
1698739980864,1343
1698739980872,1321
1698739980880,1314
1698739980888,1295
1698739980896,1285
1698739980904,1276
1698739980912,1270
1698739980920,1271
1698739980928,1275
1698739980936,1277
1698739980944,1271
1698739980952,1274
1698739980960,1271
1698739980968,1263
1698739980976,1261
1698739980984,1234
1698739980992,1217
1698739981000,1203
1698739981008,1175
1698739981016,1165
1698739981024,1141
1698739981032,1129
1698739981040,1104
1698739981048,1095
1698739981056,1091
1698739981064,1081
1698739981072,1086
1698739981080,1088
1698739981088,1092
1698739981096,1102
1698739981104,1123
1698739981112,1138
1698739981120,1154
1698739981128,1197
1698739981136,1214
1698739981144,1243
1698739981152,1258
1698739981160,1269
1698739981168,1273
1698739981176,1265
1698739981184,1236
1698739981192,1209
1698739981200,1172
1698739981208,1102
1698739981216,1055
1698739981224,966
1698739981232,915
1698739981240,867
1698739981248,785
1698739981256,751
1698739981264,698
1698739981272,687
1698739981280,676
1698739981288,677
1698739981296,688
1698739981304,718
1698739981312,737
1698739981320,761
1698739981328,813
1698739981336,835
1698739981344,877
1698739981352,895
1698739981360,935
1698739981368,951
1698739981376,976
1698739981384,1007
1698739981392,1019
1698739981400,1040
1698739981408,1072
1698739981416,1087
1698739981424,1120
1698739981432,1147
1698739981440,1168
1698739981448,1213
1698739981456,1239
1698739981464,1287
1698739981472,1328
1698739981480,1359
1698739981488,1407
1698739981496,1430
1698739981504,1480
1698739981512,1499
1698739981520,1517
1698739981528,1535
1698739981536,1546
1698739981544,1520
1698739981552,1515
1698739981560,1503
1698739981568,1473
1698739981576,1461
1698739981584,1429
1698739981592,1414
1698739981600,1397
1698739981608,1392
1698739981616,1391
1698739981624,1393
1698739981632,1394
1698739981640,1395
1698739981648,1407
1698739981656,1413
1698739981664,1422
1698739981672,1431
1698739981680,1432
1698739981688,1430
1698739981696,1431
1698739981704,1435
1698739981712,1435
1698739981720,1435
1698739981728,1441
1698739981736,1439
1698739981744,1436
1698739981752,1437
1698739981760,1438
1698739981768,1444
1698739981776,1453
1698739981784,1456
1698739981792,1456
1698739981800,1459
1698739981808,1457
1698739981816,1457
1698739981824,1456
1698739981832,1446
1698739981840,1434
1698739981848,1411
1698739981856,1398
1698739981864,1370
1698739981872,1359
1698739981880,1344
1698739981888,1312
1698739981896,1299
1698739981904,1275
1698739981912,1266
1698739981920,1264
1698739981928,1264
1698739981936,1260
1698739981944,1265
1698739981952,1270
1698739981960,1281
1698739981968,1303
1698739981976,1319
1698739981984,1350
1698739981992,1358
1698739982000,1383
1698739982008,1392
1698739982016,1395
1698739982024,1401
1698739982032,1392
1698739982040,1373
1698739982048,1340
1698739982056,1313
1698739982064,1258
1698739982072,1227
1698739982080,1187
1698739982088,1121
1698739982096,1091
1698739982104,1043
1698739982112,1018
1698739982120,1008
1698739982128,1001
1698739982136,1010
1698739982144,1040
1698739982152,1065
1698739982160,1088
1698739982168,1138
1698739982176,1171
1698739982184,1220
1698739982192,1252
1698739982200,1276
1698739982208,1318
1698739982216,1341
1698739982224,1373
1698739982232,1391
1698739982240,1407
1698739982248,1434
1698739982256,1453
1698739982264,1482
1698739982272,1506
1698739982280,1524
1698739982288,1571
1698739982296,1616
1698739982304,1643
1698739982312,1668
1698739982320,1699
1698739982328,1749
1698739982336,1782
1698739982344,1827
1698739982352,1847
1698739982360,1872
1698739982368,1891
1698739982376,1897
1698739982384,1895
1698739982392,1885
1698739982400,1874
1698739982408,1842
1698739982416,1827
1698739982424,1797
1698739982432,1783
1698739982440,1774
1698739982448,1749
1698739982456,1744
1698739982464,1741
1698739982472,1748
1698739982480,1750
1698739982488,1758
1698739982496,1767
1698739982504,1786
1698739982512,1797
1698739982520,1813
1698739982528,1849
1698739982536,1868
1698739982544,1899
1698739982552,1923
1698739982560,1947
1698739982568,1991
1698739982576,2025
1698739982584,2081
1698739982592,2102
1698739982600,2157
1698739982608,2187
1698739982616,2217
1698739982624,2275
1698739982632,2300
1698739982640,2318
1698739982648,2354
1698739982656,2370
1698739982664,2387
