time,value
1698739980000,19
1698739980008,0
1698739980016,0
1698739980024,0
1698739980032,47
1698739980040,177
1698739980048,521
1698739980056,691
1698739980064,843
1698739980072,1039
1698739980080,1070
1698739980088,977
1698739980096,891
1698739980104,789
1698739980112,638
1698739980120,564
1698739980128,446
1698739980136,394
1698739980144,341
1698739980152,256
1698739980160,215
1698739980168,184
1698739980176,129
1698739980184,106
1698739980192,64
1698739980200,46
1698739980208,48
1698739980216,430
1698739980224,763
1698739980232,1349
1698739980240,1634
1698739980248,1895
1698739980256,2340
1698739980264,2544
1698739980272,2863
1698739980280,2928
1698739980288,2842
1698739980296,2448
1698739980304,2215
1698739980312,1824
1698739980320,1645
1698739980328,1483
1698739980336,1215
1698739980344,1089
1698739980352,887
1698739980360,799
1698739980368,714
1698739980376,579
1698739980384,510
1698739980392,403
1698739980400,355
1698739980408,315
1698739980416,240
1698739980424,209
1698739980432,155
1698739980440,128
1698739980448,102
1698739980456,64
1698739980464,45
1698739980472,193
1698739980480,437
1698739980488,725
1698739980496,1157
1698739980504,1349
1698739980512,1692
1698739980520,1887
1698739980528,2110
1698739980536,2491
1698739980544,2655
1698739980552,2980
1698739980560,3155
1698739980568,3441
1698739980576,3612
1698739980584,3770
1698739980592,4080
1698739980600,4095
1698739980608,4095
1698739980616,4095
1698739980624,4095
1698739980632,4095
1698739980640,4095
1698739980648,4095
1698739980656,4095
1698739980664,4095
1698739980672,4095
1698739980680,4095
1698739980688,3979
1698739980696,3427
1698739980704,3055
1698739980712,2539
1698739980720,2295
1698739980728,1915
1698739980736,1730
1698739980744,1559
1698739980752,1289
1698739980760,1168
1698739980768,951
1698739980776,862
1698739980784,775
1698739980792,631
1698739980800,563
1698739980808,451
1698739980816,401
1698739980824,357
1698739980832,277
1698739980840,241
1698739980848,179
1698739980856,176
1698739980864,208
1698739980872,399
1698739980880,517
1698739980888,793
1698739980896,967
1698739980904,1308
1698739980912,1493
1698739980920,1788
1698739980928,1906
1698739980936,1962
1698739980944,1872
1698739980952,1744
1698739980960,1586
1698739980968,1291
1698739980976,1169
1698739980984,951
1698739980992,848
1698739981000,754
1698739981008,614
1698739981016,545
1698739981024,433
1698739981032,435
1698739981040,639
1698739981048,848
1698739981056,1102
1698739981064,1588
1698739981072,1859
1698739981080,2111
