time,value
1698739981000,2227
1698739981008,2215
1698739981016,2198
1698739981024,2192
1698739981032,2181
1698739981040,2174
1698739981048,2145
1698739981056,2128
1698739981064,2118
1698739981072,2099
1698739981080,2101
1698739981088,2091
1698739981096,2067
1698739981104,2067
1698739981112,2064
1698739981120,2063
1698739981128,2065
1698739981136,2062
1698739981144,2047
1698739981152,2045
1698739981160,2046
1698739981168,2043
1698739981176,2062
1698739981184,2063
1698739981192,2047
1698739981200,2060
1698739981208,2064
1698739981216,2065
1698739981224,2068
1698739981232,2074
1698739981240,2074
1698739981248,2064
1698739981256,2059
1698739981264,2061
1698739981272,2047
1698739981280,2062
1698739981288,2047
1698739981296,2032
1698739981304,2031
1698739981312,2021
1698739981320,2019
1698739981328,2018
1698739981336,2013
1698739981344,2000
1698739981352,2000
1698739981360,2000
1698739981368,2000
1698739981376,2002
1698739981384,2006
1698739981392,2007
1698739981400,2013
1698739981408,2009
1698739981416,2007
1698739981424,2003
1698739981432,2005
1698739981440,2002
1698739981448,1987
1698739981456,1971
1698739981464,1979
1698739981472,1979
1698739981480,1980
1698739981488,1983
1698739981496,1995
1698739981504,2000
1698739981512,2012
1698739981520,2019
1698739981528,2032
1698739981536,2032
1698739981544,2023
1698739981552,2015
1698739981560,2013
1698739981568,2003
1698739981576,1995
1698739981584,1996
1698739981592,1991
1698739981600,1996
1698739981608,2001
1698739981616,2019
1698739981624,2029
1698739981632,2061
1698739981640,2065
1698739981648,2080
1698739981656,2098
1698739981664,2112
1698739981672,2128
1698739981680,2146
1698739981688,2163
1698739981696,2174
1698739981704,2192
1698739981712,2198
1698739981720,2209
1698739981728,2228
1698739981736,2240
1698739981744,2237
1698739981752,2246
1698739981760,2251
1698739981768,2256
1698739981776,2272
1698739981784,2273
1698739981792,2271
1698739981800,2274
1698739981808,2283
1698739981816,2287
1698739981824,2285
1698739981832,2287
1698739981840,2284
1698739981848,2263
1698739981856,2250
1698739981864,2233
1698739981872,2222
1698739981880,2211
1698739981888,2192
1698739981896,2166
1698739981904,2157
1698739981912,2133
1698739981920,2126
1698739981928,2113
1698739981936,2098
1698739981944,2087
1698739981952,2086
1698739981960,2077
1698739981968,2077
1698739981976,2081
1698739981984,2085
1698739981992,2096
1698739982000,2097
1698739982008,2103
1698739982016,2112
1698739982024,2117
1698739982032,2133
1698739982040,2139
1698739982048,2141
1698739982056,2149
1698739982064,2153
1698739982072,2163
1698739982080,2176
1698739982088,2181
1698739982096,2183
1698739982104,2186
1698739982112,2187
1698739982120,2187
1698739982128,2192
1698739982136,2187
1698739982144,2185
1698739982152,2186
1698739982160,2185
1698739982168,2192
1698739982176,2193
1698739982184,2191
1698739982192,2193
1698739982200,2199
1698739982208,2206
1698739982216,2208
1698739982224,2224
1698739982232,2225
1698739982240,2223
1698739982248,2219
1698739982256,2214
1698739982264,2209
1698739982272,2213
1698739982280,2209
1698739982288,2195
1698739982296,2201
1698739982304,2194
1698739982312,2195
1698739982320,2210
1698739982328,2214
1698739982336,2208
1698739982344,2211
1698739982352,2214
1698739982360,2214
1698739982368,2207
1698739982376,2207
1698739982384,2193
1698739982392,2183
1698739982400,2174
1698739982408,2165
1698739982416,2163
1698739982424,2165
1698739982432,2170
1698739982440,2167
1698739982448,2180
1698739982456,2189
1698739982464,2203
1698739982472,2218
1698739982480,2243
1698739982488,2255
1698739982496,2259
1698739982504,2281
1698739982512,2283
1698739982520,2293
1698739982528,2309
1698739982536,2317
1698739982544,2320
1698739982552,2325
1698739982560,2339
1698739982568,2349
1698739982576,2355
1698739982584,2374
1698739982592,2365
1698739982600,2373
1698739982608,2371
1698739982616,2375
1698739982624,2382
1698739982632,2381
1698739982640,2368
1698739982648,2368
1698739982656,2366
1698739982664,2364
1698739982672,2361
1698739982680,2359
1698739982688,2336
1698739982696,2329
1698739982704,2311
1698739982712,2300
1698739982720,2275
1698739982728,2258
1698739982736,2247
1698739982744,2217
1698739982752,2206
1698739982760,2187
1698739982768,2165
1698739982776,2151
1698739982784,2141
1698739982792,2134
1698739982800,2125
1698739982808,2127
1698739982816,2123
1698739982824,2128
1698739982832,2130
1698739982840,2128
1698739982848,2131
1698739982856,2133
1698739982864,2141
1698739982872,2138
1698739982880,2143
1698739982888,2149
1698739982896,2142
1698739982904,2141
1698739982912,2140
1698739982920,2145
1698739982928,2155
1698739982936,2157
1698739982944,2149
1698739982952,2150
1698739982960,2147
1698739982968,2146
1698739982976,2155
1698739982984,2141
1698739982992,2139
1698739983000,2133
1698739983008,2134
1698739983016,2133
1698739983024,2150
1698739983032,2150
1698739983040,2145
1698739983048,2147
1698739983056,2147
1698739983064,2147
1698739983072,2155
1698739983080,2145
1698739983088,2132
1698739983096,2123
1698739983104,2119
1698739983112,2112
1698739983120,2107
1698739983128,2105
1698739983136,2099
1698739983144,2097
1698739983152,2096
1698739983160,2096
1698739983168,2094
1698739983176,2097
1698739983184,2096
1698739983192,2078
1698739983200,2070
1698739983208,2067
1698739983216,2058
1698739983224,2045
1698739983232,2033
1698739983240,2026
1698739983248,2022
1698739983256,2018
1698739983264,2017
1698739983272,2031
1698739983280,2041
1698739983288,2043
1698739983296,2063
1698739983304,2073
1698739983312,2090
1698739983320,2111
1698739983328,2119
1698739983336,2128
1698739983344,2140
1698739983352,2147
1698739983360,2160
1698739983368,2163
1698739983376,2183
1698739983384,2190
1698739983392,2193
1698739983400,2208
1698739983408,2211
1698739983416,2222
1698739983424,2232
1698739983432,2234
1698739983440,2225
1698739983448,2223
1698739983456,2224
1698739983464,2224
1698739983472,2227
1698739983480,2226
1698739983488,2225
1698739983496,2214
1698739983504,2210
1698739983512,2199
1698739983520,2189
1698739983528,2183
1698739983536,2165
1698739983544,2159
1698739983552,2143
1698739983560,2128
1698739983568,2119
1698739983576,2114
1698739983584,2110
1698739983592,2091
1698739983600,2082
1698739983608,2078
1698739983616,2069
1698739983624,2066
1698739983632,2064
1698739983640,2065
1698739983648,2063
1698739983656,2064
1698739983664,2071
1698739983672,2082
1698739983680,2087
1698739983688,2087
1698739983696,2086
1698739983704,2083
1698739983712,2082
1698739983720,2085
1698739983728,2083
1698739983736,2079
1698739983744,2064
1698739983752,2064
1698739983760,2061
1698739983768,2059
1698739983776,2064
1698739983784,2064
1698739983792,2057
1698739983800,2047
1698739983808,2047
1698739983816,2042
1698739983824,2047
1698739983832,2042
1698739983840,2032
1698739983848,2034
1698739983856,2035
1698739983864,2039
1698739983872,2057
1698739983880,2062
1698739983888,2064
1698739983896,2058
1698739983904,2054
1698739983912,2042
1698739983920,2042
1698739983928,2032
1698739983936,2017
1698739983944,2003
1698739983952,1993
1698739983960,1982
1698739983968,1978
1698739983976,1979
1698739983984,1973
1698739983992,1959
1698739984000,1955
1698739984008,1949
1698739984016,1937
1698739984024,1941
1698739984032,1929
1698739984040,1906
1698739984048,1902
1698739984056,1888
1698739984064,1884
1698739984072,1899
1698739984080,1887
1698739984088,1888
1698739984096,1893
1698739984104,1898
1698739984112,1914
1698739984120,1937
1698739984128,1949
1698739984136,1968
1698739984144,1968
1698739984152,1994
1698739984160,2007
1698739984168,2015
1698739984176,2034
1698739984184,2043
1698739984192,2043
1698739984200,2062
1698739984208,2068
1698739984216,2075
1698739984224,2094
1698739984232,2101
1698739984240,2107
1698739984248,2112
1698739984256,2122
1698739984264,2128
1698739984272,2142
1698739984280,2154
1698739984288,2153
1698739984296,2151
1698739984304,2153
1698739984312,2160
1698739984320,2162
1698739984328,2162
1698739984336,2160
1698739984344,2150
1698739984352,2141
1698739984360,2128
1698739984368,2127
1698739984376,2119
1698739984384,2110
1698739984392,2082
1698739984400,2064
1698739984408,2058
1698739984416,2033
1698739984424,2022
1698739984432,2017
1698739984440,1999
1698739984448,1997
1698739984456,1989
1698739984464,1991
1698739984472,1998
1698739984480,1994
1698739984488,1995
1698739984496,1993
1698739984504,1990
1698739984512,1993
1698739984520,2001
1698739984528,2007
1698739984536,2014
1698739984544,2010
1698739984552,2015
1698739984560,2017
1698739984568,2017
1698739984576,2021
1698739984584,2020
1698739984592,2007
1698739984600,2006
1698739984608,2004
1698739984616,2001
1698739984624,2003
1698739984632,2011
1698739984640,2000
1698739984648,2001
1698739984656,1997
1698739984664,1997
1698739984672,1994
1698739984680,1985
1698739984688,1982
1698739984696,1969
1698739984704,1968
1698739984712,1967
1698739984720,1968
1698739984728,1970
1698739984736,1984
1698739984744,1977
1698739984752,1973
1698739984760,1968
1698739984768,1966
1698739984776,1961
1698739984784,1953
1698739984792,1933
1698739984800,1921
1698739984808,1919
1698739984816,1909
1698739984824,1919
1698739984832,1914
1698739984840,1915
1698739984848,1917
1698739984856,1919
1698739984864,1918
1698739984872,1921
1698739984880,1914
1698739984888,1901
1698739984896,1891
1698739984904,1885
1698739984912,1874
1698739984920,1872
1698739984928,1870
1698739984936,1869
1698739984944,1872
1698739984952,1880
1698739984960,1893
1698739984968,1907
1698739984976,1935
1698739984984,1946
1698739984992,1959
1698739985000,1969
1698739985008,1991
1698739985016,2013
1698739985024,2032
1698739985032,2043
1698739985040,2064
1698739985048,2069
1698739985056,2083
1698739985064,2095
1698739985072,2103
1698739985080,2112
1698739985088,2119
1698739985096,2128
1698739985104,2133
1698739985112,2135
1698739985120,2141
1698739985128,2154
1698739985136,2149
1698739985144,2145
1698739985152,2150
1698739985160,2154
1698739985168,2149
1698739985176,2146
1698739985184,2146
1698739985192,2137
1698739985200,2132
1698739985208,2118
1698739985216,2099
1698739985224,2099
1698739985232,2064
1698739985240,2055
1698739985248,2030
1698739985256,2019
1698739985264,2000
1698739985272,1982
1698739985280,1976
1698739985288,1968
1698739985296,1962
1698739985304,1953
1698739985312,1947
1698739985320,1947
1698739985328,1955
1698739985336,1953
1698739985344,1947
1698739985352,1954
1698739985360,1958
1698739985368,1962
1698739985376,1968
1698739985384,1968
1698739985392,1971
1698739985400,1971
1698739985408,1968
