time,value
1698739981000,1643
1698739981008,1487
1698739981016,1383
1698739981024,1360
1698739981032,1242
1698739981040,1183
1698739981048,1142
1698739981056,1168
1698739981064,1211
1698739981072,1293
1698739981080,1343
1698739981088,1487
1698739981096,1629
1698739981104,1712
1698739981112,1798
1698739981120,1839
1698739981128,1859
1698739981136,1862
1698739981144,1882
1698739981152,1944
1698739981160,1973
1698739981168,2063
1698739981176,2149
1698739981184,2190
1698739981192,2229
1698739981200,2259
1698739981208,2230
1698739981216,2130
1698739981224,2089
1698739981232,1997
1698739981240,1961
1698739981248,1918
1698739981256,1874
1698739981264,1871
1698739981272,1822
1698739981280,1790
1698739981288,1744
1698739981296,1699
1698739981304,1698
1698739981312,1671
1698739981320,1654
1698739981328,1711
1698739981336,1783
1698739981344,1837
1698739981352,1930
1698739981360,1990
1698739981368,2134
1698739981376,2223
1698739981384,2251
1698739981392,2183
1698739981400,2103
1698739981408,1952
1698739981416,1840
1698739981424,1809
1698739981432,1718
1698739981440,1682
1698739981448,1683
1698739981456,1773
1698739981464,1857
1698739981472,2064
1698739981480,2173
1698739981488,2403
1698739981496,2535
1698739981504,2587
1698739981512,2533
1698739981520,2475
1698739981528,2278
1698739981536,2001
1698739981544,1897
1698739981552,1699
1698739981560,1630
1698739981568,1625
1698739981576,1733
1698739981584,1853
1698739981592,2114
1698739981600,2274
1698739981608,2546
1698739981616,2718
1698739981624,2799
1698739981632,2876
1698739981640,2895
1698739981648,2961
1698739981656,2993
1698739981664,3021
1698739981672,2992
1698739981680,2960
1698739981688,2928
1698739981696,2919
1698739981704,2897
1698739981712,2861
1698739981720,2785
1698739981728,2685
1698739981736,2572
1698739981744,2535
1698739981752,2474
1698739981760,2430
1698739981768,2414
1698739981776,2389
1698739981784,2414
1698739981792,2390
1698739981800,2384
1698739981808,2297
1698739981816,2099
1698739981824,2014
1698739981832,1806
1698739981840,1693
1698739981848,1505
1698739981856,1324
1698739981864,1263
1698739981872,1126
1698739981880,1099
1698739981888,1055
1698739981896,998
1698739981904,1022
1698739981912,1054
1698739981920,1075
1698739981928,1232
1698739981936,1403
1698739981944,1527
1698739981952,1746
1698739981960,1838
1698739981968,2076
1698739981976,2266
1698739981984,2361
1698739981992,2417
1698739982000,2403
1698739982008,2425
1698739982016,2416
1698739982024,2448
1698739982032,2475
1698739982040,2452
1698739982048,2480
1698739982056,2458
1698739982064,2475
1698739982072,2448
1698739982080,2416
1698739982088,2295
1698739982096,2264
1698739982104,2164
1698739982112,2101
1698739982120,2064
1698739982128,2019
1698739982136,2032
1698739982144,2042
1698739982152,2031
1698739982160,2095
1698739982168,2160
1698739982176,2224
1698739982184,2271
1698739982192,2274
1698739982200,2364
1698739982208,2367
1698739982216,2381
1698739982224,2298
1698739982232,2197
1698739982240,2064
1698739982248,1936
1698739982256,1905
1698739982264,1850
1698739982272,1834
1698739982280,1833
1698739982288,1866
1698739982296,1947
1698739982304,2089
1698739982312,2127
1698739982320,2273
1698739982328,2303
1698739982336,2305
1698739982344,2192
1698739982352,2073
1698739982360,1867
1698739982368,1686
1698739982376,1659
1698739982384,1581
1698739982392,1552
1698739982400,1595
1698739982408,1679
1698739982416,1808
1698739982424,2064
1698739982432,2169
1698739982440,2449
1698739982448,2663
1698739982456,2779
1698739982464,2909
1698739982472,2960
1698739982480,2992
1698739982488,2874
1698739982496,2851
