time,value
1698737880000,2303
1698737880008,2319
1698737880016,2327
1698737880024,2356
1698737880032,2367
1698737880040,2375
1698737880048,2386
1698737880056,2394
1698737880064,2411
1698737880072,2418
1698737880080,2425
1698737880088,2431
1698737880096,2438
1698737880104,2457
1698737880112,2465
1698737880120,2482
1698737880128,2496
1698737880136,2518
1698737880144,2544
1698737880152,2573
1698737880160,2605
1698737880168,2623
1698737880176,2643
1698737880184,2653
1698737880192,2655
1698737880200,2656
1698737880208,2651
1698737880216,2641
1698737880224,2622
1698737880232,2610
1698737880240,2577
1698737880248,2555
1698737880256,2540
1698737880264,2507
1698737880272,2493
1698737880280,2448
1698737880288,2429
1698737880296,2409
1698737880304,2368
1698737880312,2349
1698737880320,2310
1698737880328,2288
1698737880336,2267
1698737880344,2224
1698737880352,2201
1698737880360,2141
1698737880368,2106
1698737880376,2066
1698737880384,1977
1698737880392,1936
1698737880400,1855
1698737880408,1815
1698737880416,1779
1698737880424,1719
1698737880432,1697
1698737880440,1663
1698737880448,1651
1698737880456,1642
1698737880464,1643
1698737880472,1647
1698737880480,1661
1698737880488,1671
1698737880496,1681
1698737880504,1712
1698737880512,1733
1698737880520,1766
1698737880528,1790
1698737880536,1808
1698737880544,1846
1698737880552,1861
1698737880560,1899
1698737880568,1913
1698737880576,1943
1698737880584,1957
1698737880592,1968
1698737880600,1999
1698737880608,2018
1698737880616,2032
1698737880624,2076
1698737880632,2095
1698737880640,2122
1698737880648,2135
1698737880656,2149
1698737880664,2171
1698737880672,2178
1698737880680,2178
1698737880688,2170
1698737880696,2163
1698737880704,2146
1698737880712,2133
1698737880720,2123
1698737880728,2112
1698737880736,2102
1698737880744,2083
1698737880752,2078
1698737880760,2065
1698737880768,2064
1698737880776,2066
1698737880784,2061
1698737880792,2064
1698737880800,2067
1698737880808,2080
1698737880816,2087
1698737880824,2121
1698737880832,2134
1698737880840,2170
1698737880848,2192
1698737880856,2215
1698737880864,2258
1698737880872,2275
1698737880880,2313
1698737880888,2314
1698737880896,2320
1698737880904,2325
1698737880912,2320
1698737880920,2320
1698737880928,2310
1698737880936,2301
1698737880944,2285
1698737880952,2275
1698737880960,2273
1698737880968,2265
1698737880976,2263
1698737880984,2256
1698737880992,2243
1698737881000,2226
1698737881008,2219
1698737881016,2211
1698737881024,2203
1698737881032,2196
1698737881040,2183
1698737881048,2176
1698737881056,2171
1698737881064,2148
1698737881072,2131
1698737881080,2091
