time,value
1698737880000,4095
1698737880008,4095
1698737880016,4095
1698737880024,4095
1698737880032,4095
1698737880040,4095
1698737880048,4095
1698737880056,4095
1698737880064,4095
1698737880072,4095
1698737880080,3930
1698737880088,3782
1698737880096,3716
1698737880104,3782
1698737880112,3901
1698737880120,4095
1698737880128,4095
1698737880136,4095
1698737880144,4095
1698737880152,4095
1698737880160,4095
1698737880168,4095
1698737880176,3671
1698737880184,3221
1698737880192,2896
1698737880200,2417
1698737880208,2193
1698737880216,1987
1698737880224,1661
1698737880232,1502
1698737880240,1248
1698737880248,1125
1698737880256,1011
1698737880264,834
1698737880272,752
1698737880280,617
1698737880288,553
1698737880296,489
1698737880304,391
1698737880312,346
1698737880320,272
1698737880328,238
1698737880336,206
1698737880344,148
1698737880352,128
1698737880360,85
1698737880368,64
1698737880376,48
1698737880384,16
1698737880392,1
1698737880400,0
1698737880408,0
1698737880416,0
1698737880424,0
1698737880432,0
1698737880440,0
1698737880448,0
1698737880456,0
1698737880464,0
1698737880472,47
1698737880480,561
1698737880488,927
1698737880496,1265
1698737880504,1809
1698737880512,2071
1698737880520,2479
1698737880528,2672
1698737880536,2880
1698737880544,3150
1698737880552,3218
1698737880560,3187
1698737880568,3161
1698737880576,3159
1698737880584,3191
1698737880592,3259
1698737880600,3419
1698737880608,3535
1698737880616,3655
1698737880624,3867
1698737880632,3920
1698737880640,3830
1698737880648,3631
1698737880656,3353
1698737880664,2825
1698737880672,2547
1698737880680,2130
1698737880688,1920
1698737880696,1734
1698737880704,1438
1698737880712,1297
1698737880720,1077
1698737880728,964
1698737880736,932
1698737880744,1047
1698737880752,1186
1698737880760,1425
1698737880768,1561
1698737880776,1695
1698737880784,1937
1698737880792,2102
1698737880800,2437
1698737880808,2639
1698737880816,2823
1698737880824,3146
1698737880832,3307
1698737880840,3600
1698737880848,3769
1698737880856,3936
1698737880864,4095
1698737880872,4095
1698737880880,3934
1698737880888,3440
1698737880896,3063
1698737880904,2538
1698737880912,2293
1698737880920,1917
1698737880928,1734
1698737880936,1569
1698737880944,1472
1698737880952,1587
1698737880960,1744
1698737880968,1698
1698737880976,1451
1698737880984,1310
1698737880992,1196
1698737881000,1107
1698737881008,1130
1698737881016,1198
1698737881024,1411
1698737881032,1520
1698737881040,1531
1698737881048,1434
1698737881056,1292
1698737881064,1055
1698737881072,947
1698737881080,781
1698737881088,693
1698737881096,623
1698737881104,501
1698737881112,446
1698737881120,358
1698737881128,313
1698737881136,272
1698737881144,207
1698737881152,365
1698737881160,925
1698737881168,1270
1698737881176,1585
1698737881184,2087
1698737881192,2313
1698737881200,2640
1698737881208,2761
1698737881216,2823
1698737881224,2976
1698737881232,3098
1698737881240,3351
1698737881248,3511
1698737881256,3648
1698737881264,3825
1698737881272,3879
1698737881280,4029
1698737881288,4095
1698737881296,4095
1698737881304,4095
1698737881312,4095
1698737881320,4095
1698737881328,4095
1698737881336,4095
1698737881344,4095
1698737881352,4095
1698737881360,4095
1698737881368,4095
1698737881376,4095
1698737881384,3526
1698737881392,3127
1698737881400,2591
1698737881408,2350
1698737881416,1958
1698737881424,1838
1698737881432,1758
1698737881440,1747
1698737881448,1738
1698737881456,1703
1698737881464,1599
1698737881472,1521
1698737881480,1408
1698737881488,1365
1698737881496,1360
1698737881504,1454
1698737881512,1565
1698737881520,1877
1698737881528,2096
1698737881536,2311
1698737881544,2687
1698737881552,2871
1698737881560,3186
1698737881568,3285
1698737881576,3287
1698737881584,2905
1698737881592,2635
1698737881600,2191
1698737881608,1978
1698737881616,1783
1698737881624,1478
1698737881632,1333
1698737881640,1101
1698737881648,1103
1698737881656,1213
1698737881664,1697
1698737881672,1918
1698737881680,1996
1698737881688,1872
1698737881696,1695
1698737881704,1394
1698737881712,1251
1698737881720,1031
1698737881728,919
1698737881736,957
1698737881744,1246
1698737881752,1392
1698737881760,1370
1698737881768,1245
1698737881776,1119
1698737881784,909
1698737881792,807
1698737881800,659
1698737881808,592
1698737881816,531
1698737881824,425
1698737881832,375
1698737881840,293
1698737881848,259
1698737881856,220
1698737881864,163
1698737881872,135
1698737881880,97
1698737881888,144
1698737881896,247
1698737881904,594
1698737881912,743
1698737881920,951
1698737881928,1075
1698737881936,1202
1698737881944,1482
1698737881952,1649
1698737881960,1911
1698737881968,2013
1698737881976,2128
1698737881984,2157
1698737881992,2193
1698737882000,2401
1698737882008,2574
1698737882016,2753
1698737882024,3083
1698737882032,3241
1698737882040,3526
1698737882048,3696
1698737882056,3856
1698737882064,4095
1698737882072,4095
1698737882080,4095
1698737882088,3917
1698737882096,3422
1698737882104,2797
1698737882112,2526
1698737882120,2102
1698737882128,1908
1698737882136,1725
1698737882144,1488
1698737882152,1440
1698737882160,1487
1698737882168,1488
1698737882176,1442
1698737882184,1394
1698737882192,1342
1698737882200,1296
1698737882208,1333
1698737882216,1395
1698737882224,1653
1698737882232,1856
1698737882240,2256
1698737882248,2469
1698737882256,2674
1698737882264,2912
1698737882272,2911
1698737882280,2657
1698737882288,2421
1698737882296,2188
1698737882304,1811
1698737882312,1637
1698737882320,1347
1698737882328,1216
1698737882336,1094
1698737882344,896
1698737882352,803
1698737882360,657
1698737882368,589
1698737882376,525
1698737882384,417
1698737882392,369
1698737882400,292
1698737882408,256
1698737882416,219
1698737882424,164
1698737882432,135
1698737882440,87
1698737882448,71
1698737882456,51
1698737882464,21
1698737882472,5
1698737882480,0
1698737882488,0
1698737882496,0
1698737882504,0
1698737882512,0
1698737882520,0
1698737882528,0
1698737882536,0
1698737882544,0
1698737882552,0
1698737882560,0
1698737882568,0
1698737882576,0
1698737882584,0
1698737882592,0
1698737882600,0
1698737882608,0
1698737882616,0
1698737882624,0
1698737882632,0
1698737882640,0
1698737882648,0
1698737882656,0
1698737882664,142
1698737882672,496
1698737882680,1159
1698737882688,1475
1698737882696,1767
1698737882704,2228
1698737882712,2442
1698737882720,2811
1698737882728,2978
1698737882736,3138
1698737882744,3428
1698737882752,3596
1698737882760,3898
1698737882768,4058
1698737882776,4095
1698737882784,4095
1698737882792,4095
1698737882800,4095
1698737882808,4095
1698737882816,4095
1698737882824,4095
1698737882832,4095
1698737882840,4095
1698737882848,4095
1698737882856,4095
1698737882864,4095
1698737882872,4095
1698737882880,4095
1698737882888,4095
1698737882896,4095
1698737882904,4095
1698737882912,4095
1698737882920,4095
1698737882928,4095
1698737882936,4095
1698737882944,4095
1698737882952,4095
1698737882960,4095
1698737882968,4095
1698737882976,4095
1698737882984,4095
1698737882992,4095
1698737883000,4095
1698737883008,4081
1698737883016,3501
1698737883024,2886
1698737883032,2677
1698737883040,2467
1698737883048,2464
1698737883056,2516
1698737883064,2625
1698737883072,2598
1698737883080,2494
1698737883088,2271
1698737883096,2182
1698737883104,2090
1698737883112,2044
1698737883120,2005
1698737883128,1959
1698737883136,1898
1698737883144,1667
1698737883152,1517
1698737883160,1369
1698737883168,1137
1698737883176,1029
1698737883184,846
1698737883192,754
1698737883200,677
1698737883208,560
1698737883216,487
1698737883224,398
1698737883232,351
1698737883240,307
1698737883248,240
1698737883256,206
1698737883264,170
1698737883272,343
1698737883280,624
1698737883288,1150
1698737883296,1370
1698737883304,1699
1698737883312,1872
1698737883320,2087
1698737883328,2474
1698737883336,2672
1698737883344,2992
1698737883352,3159
1698737883360,3317
1698737883368,3617
1698737883376,3781
1698737883384,4080
1698737883392,4095
1698737883400,4095
1698737883408,4095
1698737883416,4095
1698737883424,4095
1698737883432,4095
1698737883440,4095
1698737883448,4095
1698737883456,4095
1698737883464,4095
1698737883472,4095
1698737883480,3537
1698737883488,2870
1698737883496,2602
1698737883504,2173
1698737883512,1967
1698737883520,1779
1698737883528,1569
1698737883536,1546
1698737883544,1594
1698737883552,1661
1698737883560,1731
1698737883568,1899
1698737883576,2009
1698737883584,2244
1698737883592,2377
1698737883600,2530
1698737883608,2843
1698737883616,3012
1698737883624,3327
1698737883632,3489
1698737883640,3791
1698737883648,3964
1698737883656,4039
1698737883664,3673
1698737883672,3306
1698737883680,2979
1698737883688,2466
1698737883696,2233
1698737883704,1858
1698737883712,1680
1698737883720,1515
1698737883728,1398
1698737883736,1477
1698737883744,1729
1698737883752,1822
1698737883760,1840
1698737883768,1703
1698737883776,1619
1698737883784,1514
1698737883792,1474
1698737883800,1432
1698737883808,1311
1698737883816,1227
1698737883824,1050
1698737883832,944
1698737883840,771
1698737883848,692
1698737883856,622
1698737883864,497
1698737883872,447
1698737883880,396
1698737883888,311
1698737883896,272
1698737883904,208
1698737883912,176
1698737883920,128
1698737883928,108
1698737883936,82
1698737883944,48
1698737883952,31
1698737883960,16
1698737883968,0
1698737883976,0
1698737883984,0
1698737883992,0
1698737884000,0
1698737884008,418
1698737884016,788
1698737884024,1415
1698737884032,1712
1698737884040,1975
1698737884048,2403
1698737884056,2608
1698737884064,2938
1698737884072,3115
1698737884080,3277
1698737884088,3561
1698737884096,3728
1698737884104,4020
1698737884112,4095
1698737884120,4095
1698737884128,4095
1698737884136,4095
1698737884144,4095
1698737884152,4095
1698737884160,4095
1698737884168,3712
1698737884176,3264
1698737884184,2695
1698737884192,2431
1698737884200,2203
1698737884208,1836
1698737884216,1661
1698737884224,1378
1698737884232,1282
1698737884240,1239
1698737884248,1277
1698737884256,1305
1698737884264,1355
1698737884272,1386
1698737884280,1425
1698737884288,1582
1698737884296,1698
1698737884304,2027
1698737884312,2239
1698737884320,2451
1698737884328,2814
1698737884336,2996
1698737884344,3293
1698737884352,3393
1698737884360,3373
1698737884368,2966
1698737884376,2709
1698737884384,2254
1698737884392,2030
1698737884400,1834
1698737884408,1585
1698737884416,1586
1698737884424,1886
1698737884432,2119
1698737884440,2352
1698737884448,2736
1698737884456,2866
1698737884464,2831
1698737884472,2688
1698737884480,2455
1698737884488,2357
1698737884496,2291
1698737884504,2267
1698737884512,2304
1698737884520,2301
1698737884528,2185
1698737884536,2007
1698737884544,1659
1698737884552,1502
1698737884560,1241
1698737884568,1117
1698737884576,917
1698737884584,835
1698737884592,753
1698737884600,620
1698737884608,557
1698737884616,441
1698737884624,389
1698737884632,346
1698737884640,270
1698737884648,235
1698737884656,176
1698737884664,147
1698737884672,121
1698737884680,243
1698737884688,464
1698737884696,954
1698737884704,1226
1698737884712,1492
1698737884720,1981
1698737884728,2224
1698737884736,2611
1698737884744,2800
1698737884752,2972
1698737884760,3227
1698737884768,3351
1698737884776,3616
1698737884784,3754
1698737884792,4059
1698737884800,4095
1698737884808,4095
1698737884816,4095
1698737884824,4095
1698737884832,4095
1698737884840,4095
1698737884848,4095
1698737884856,3955
1698737884864,3419
1698737884872,2801
1698737884880,2531
1698737884888,2289
1698737884896,1907
1698737884904,1729
1698737884912,1443
1698737884920,1407
1698737884928,1442
1698737884936,1563
1698737884944,1602
1698737884952,1635
1698737884960,1645
1698737884968,1648
1698737884976,1680
1698737884984,1731
1698737884992,1912
1698737885000,2064
1698737885008,2413
1698737885016,2617
1698737885024,2816
1698737885032,3135
1698737885040,3284
1698737885048,3595
1698737885056,3763
1698737885064,3930
1698737885072,3861
1698737885080,3504
1698737885088,2865
1698737885096,2592
1698737885104,2341
1698737885112,1947
1698737885120,1761
1698737885128,1459
1698737885136,1317
1698737885144,1285
1698737885152,1531
1698737885160,1777
1698737885168,2060
1698737885176,2074
1698737885184,1984
1698737885192,1747
1698737885200,1648
1698737885208,1553
1698737885216,1571
1698737885224,1658
1698737885232,1912
1698737885240,2030
1698737885248,1990
1698737885256,1843
1698737885264,1662
1698737885272,1366
1698737885280,1229
1698737885288,1003
1698737885296,900
1698737885304,816
1698737885312,667
1698737885320,593
1698737885328,480
1698737885336,429
1698737885344,374
1698737885352,297
1698737885360,256
1698737885368,195
1698737885376,170
1698737885384,143
1698737885392,343
1698737885400,538
1698737885408,842
1698737885416,1007
1698737885424,1186
1698737885432,1531
1698737885440,1714
1698737885448,2022
1698737885456,2150
1698737885464,2283
1698737885472,2320
1698737885480,2350
1698737885488,2464
1698737885496,2606
1698737885504,2773
1698737885512,3090
1698737885520,3248
1698737885528,3548
1698737885536,3714
1698737885544,3879
1698737885552,4095
1698737885560,4095
1698737885568,4095
1698737885576,4095
1698737885584,4095
1698737885592,3408
1698737885600,3037
1698737885608,2514
1698737885616,2279
1698737885624,1913
1698737885632,1809
1698737885640,1773
1698737885648,1757
1698737885656,1743
1698737885664,1710
1698737885672,1617
1698737885680,1565
1698737885688,1485
1698737885696,1473
1698737885704,1493
1698737885712,1649
1698737885720,1791
1698737885728,2157
1698737885736,2371
1698737885744,2581
1698737885752,2923
1698737885760,3099
1698737885768,3395
1698737885776,3536
1698737885784,3507
1698737885792,3079
1698737885800,2786
1698737885808,2309
1698737885816,2096
1698737885824,1900
1698737885832,1569
1698737885840,1407
1698737885848,1163
1698737885856,1065
1698737885864,1127
1698737885872,1570
1698737885880,1855
1698737885888,2161
1698737885896,2146
1698737885904,2018
1698737885912,1686
1698737885920,1514
1698737885928,1245
1698737885936,1186
1698737885944,1233
1698737885952,1674
1698737885960,1947
1698737885968,2339
1698737885976,2393
1698737885984,2277
1698737885992,1895
1698737886000,1707
1698737886008,1405
1698737886016,1257
1698737886024,1136
1698737886032,923
1698737886040,831
1698737886048,679
1698737886056,610
1698737886064,543
1698737886072,438
1698737886080,387
1698737886088,304
1698737886096,370
1698737886104,487
1698737886112,753
1698737886120,815
1698737886128,816
1698737886136,791
1698737886144,768
1698737886152,741
1698737886160,721
1698737886168,641
1698737886176,577
1698737886184,506
1698737886192,395
1698737886200,347
1698737886208,267
1698737886216,230
1698737886224,202
1698737886232,145
1698737886240,117
1698737886248,379
1698737886256,682
1698737886264,967
1698737886272,1234
1698737886280,1222
1698737886288,1040
1698737886296,927
1698737886304,824
1698737886312,663
1698737886320,590
1698737886328,467
1698737886336,414
1698737886344,359
1698737886352,273
1698737886360,240
1698737886368,175
1698737886376,144
1698737886384,162
1698737886392,355
1698737886400,543
1698737886408,894
1698737886416,1082
1698737886424,1411
1698737886432,1594
1698737886440,1785
1698737886448,2174
1698737886456,2383
1698737886464,2745
1698737886472,2924
1698737886480,3091
1698737886488,3342
1698737886496,3360
1698737886504,3051
1698737886512,2813
1698737886520,2579
1698737886528,2211
1698737886536,2069
1698737886544,1915
1698737886552,1873
1698737886560,1872
1698737886568,1984
1698737886576,2141
1698737886584,2522
1698737886592,2720
1698737886600,2903
1698737886608,3218
1698737886616,3380
1698737886624,3550
1698737886632,3600
1698737886640,3691
1698737886648,3778
1698737886656,3898
1698737886664,4095
1698737886672,4080
1698737886680,3865
1698737886688,3216
1698737886696,2893
1698737886704,2400
1698737886712,2175
1698737886720,1967
1698737886728,1634
1698737886736,1472
1698737886744,1215
1698737886752,1099
1698737886760,982
1698737886768,810
1698737886776,725
1698737886784,592
1698737886792,721
1698737886800,963
1698737886808,1557
1698737886816,1840
1698737886824,2256
1698737886832,2427
1698737886840,2762
1698737886848,2937
1698737886856,3109
1698737886864,3405
1698737886872,3570
1698737886880,3877
1698737886888,4041
1698737886896,4095
1698737886904,4095
1698737886912,4095
1698737886920,4095
1698737886928,4095
1698737886936,4095
1698737886944,4095
1698737886952,4095
1698737886960,4095
1698737886968,4095
1698737886976,4095
1698737886984,4095
1698737886992,4095
1698737887000,4095
1698737887008,4095
1698737887016,4095
1698737887024,4095
1698737887032,4095
1698737887040,3719
1698737887048,3328
1698737887056,2917
1698737887064,2788
1698737887072,2695
1698737887080,2597
1698737887088,2551
1698737887096,2526
1698737887104,2525
1698737887112,2545
1698737887120,2590
1698737887128,2657
1698737887136,2816
1698737887144,2951
1698737887152,3242
1698737887160,3408
1698737887168,3581
1698737887176,3900
1698737887184,4077
1698737887192,4095
1698737887200,4095
1698737887208,4095
1698737887216,4095
1698737887224,3645
1698737887232,2952
1698737887240,2661
1698737887248,2406
1698737887256,2014
1698737887264,1871
1698737887272,1792
1698737887280,1856
1698737887288,1999
1698737887296,2338
1698737887304,2483
1698737887312,2559
1698737887320,2539
1698737887328,2512
1698737887336,2496
1698737887344,2510
1698737887352,2512
1698737887360,2512
1698737887368,2418
1698737887376,2285
1698737887384,2100
1698737887392,1738
1698737887400,1438
1698737887408,1303
1698737887416,1175
1698737887424,1066
1698737887432,875
1698737887440,783
1698737887448,643
1698737887456,577
1698737887464,511
1698737887472,414
1698737887480,365
1698737887488,287
1698737887496,247
1698737887504,218
1698737887512,577
1698737887520,907
1698737887528,1431
1698737887536,1649
1698737887544,1834
1698737887552,2147
1698737887560,2321
1698737887568,2659
1698737887576,2845
1698737887584,3002
1698737887592,3233
1698737887600,3315
1698737887608,3410
1698737887616,3443
1698737887624,3479
1698737887632,3557
1698737887640,3600
1698737887648,3681
1698737887656,3729
1698737887664,3771
1698737887672,3824
1698737887680,3783
1698737887688,3531
1698737887696,3307
1698737887704,3047
1698737887712,2554
1698737887720,2315
1698737887728,1927
1698737887736,1744
1698737887744,1439
1698737887752,1298
1698737887760,1169
1698737887768,998
1698737887776,962
1698737887784,959
1698737887792,951
1698737887800,957
1698737887808,949
1698737887816,946
1698737887824,946
1698737887832,962
1698737887840,989
1698737887848,1111
1698737887856,1219
1698737887864,1356
1698737887872,1662
1698737887880,1825
1698737887888,2058
1698737887896,2106
1698737887904,2080
1698737887912,1834
1698737887920,1655
1698737887928,1365
1698737887936,1223
1698737887944,1091
1698737887952,893
1698737887960,793
1698737887968,651
1698737887976,587
1698737887984,523
1698737887992,622
1698737888000,885
1698737888008,1428
1698737888016,1616
1698737888024,1715
1698737888032,1808
1698737888040,1856
1698737888048,1935
1698737888056,1959
1698737888064,2000
1698737888072,2007
1698737888080,1963
1698737888088,1706
1698737888096,1531
1698737888104,1376
1698737888112,1129
1698737888120,1008
1698737888128,823
1698737888136,737
1698737888144,656
1698737888152,528
1698737888160,464
1698737888168,368
1698737888176,325
