time,value
1698737880000,1883
1698737880008,1920
1698737880016,1952
1698737880024,2010
1698737880032,1998
1698737880040,1982
1698737880048,1845
1698737880056,1741
1698737880064,1584
1698737880072,1441
1698737880080,1402
1698737880088,1362
1698737880096,1358
1698737880104,1437
1698737880112,1627
1698737880120,1745
1698737880128,2037
1698737880136,2143
1698737880144,2349
1698737880152,2461
1698737880160,2506
1698737880168,2512
1698737880176,2459
1698737880184,2303
1698737880192,2063
1698737880200,1931
1698737880208,1664
1698737880216,1525
1698737880224,1294
1698737880232,1084
1698737880240,990
1698737880248,896
1698737880256,895
1698737880264,1046
1698737880272,1231
1698737880280,1326
1698737880288,1453
1698737880296,1503
1698737880304,1584
1698737880312,1597
1698737880320,1601
1698737880328,1523
1698737880336,1472
1698737880344,1407
1698737880352,1330
1698737880360,1286
1698737880368,1152
1698737880376,1073
1698737880384,749
1698737880392,683
1698737880400,562
1698737880408,506
1698737880416,414
1698737880424,432
1698737880432,548
1698737880440,789
1698737880448,939
1698737880456,1271
1698737880464,1424
1698737880472,1724
1698737880480,1958
1698737880488,2039
1698737880496,2164
1698737880504,2191
1698737880512,2192
1698737880520,2131
1698737880528,2105
1698737880536,2073
1698737880544,2054
1698737880552,2070
1698737880560,2093
1698737880568,2087
1698737880576,2067
1698737880584,2038
1698737880592,2065
1698737880600,2113
1698737880608,2160
1698737880616,2218
1698737880624,2212
1698737880632,2174
1698737880640,2095
1698737880648,2027
1698737880656,1921
1698737880664,1841
1698737880672,1730
1698737880680,1601
1698737880688,1550
1698737880696,1457
1698737880704,1418
1698737880712,1319
1698737880720,1239
1698737880728,1223
1698737880736,1234
1698737880744,1245
1698737880752,1301
1698737880760,1362
1698737880768,1383
1698737880776,1467
1698737880784,1518
1698737880792,1674
1698737880800,1814
1698737880808,1883
1698737880816,2022
1698737880824,2085
1698737880832,2255
1698737880840,2393
1698737880848,2432
1698737880856,2476
1698737880864,2443
1698737880872,2324
1698737880880,2135
1698737880888,2000
1698737880896,1742
1698737880904,1596
1698737880912,1333
1698737880920,1115
1698737880928,1011
1698737880936,923
1698737880944,933
1698737880952,1010
1698737880960,1081
1698737880968,1113
1698737880976,1200
1698737880984,1234
1698737880992,1313
1698737881000,1365
1698737881008,1376
1698737881016,1398
1698737881024,1390
1698737881032,1343
1698737881040,1214
1698737881048,1132
1698737881056,960
1698737881064,874
1698737881072,727
1698737881080,595
