time,value
1698741901000,2096
1698741901008,2099
1698741901016,2087
1698741901024,2071
1698741901032,2064
1698741901040,2055
1698741901048,2047
1698741901056,2047
1698741901064,2039
1698741901072,2029
1698741901080,2021
1698741901088,2032
1698741901096,2013
1698741901104,2011
1698741901112,2005
1698741901120,1991
1698741901128,1985
1698741901136,1982
1698741901144,1969
1698741901152,1968
1698741901160,1967
1698741901168,1963
1698741901176,1953
1698741901184,1951
1698741901192,1954
1698741901200,1955
1698741901208,1957
1698741901216,1962
1698741901224,1965
1698741901232,1967
1698741901240,1969
1698741901248,1970
1698741901256,1970
1698741901264,1983
1698741901272,1980
1698741901280,1973
1698741901288,1971
1698741901296,1970
1698741901304,1971
1698741901312,1965
1698741901320,1957
1698741901328,1955
1698741901336,1946
1698741901344,1947
1698741901352,1943
1698741901360,1943
1698741901368,1941
1698741901376,1928
1698741901384,1924
1698741901392,1925
1698741901400,1922
1698741901408,1931
1698741901416,1935
1698741901424,1933
1698741901432,1938
1698741901440,1951
1698741901448,1955
1698741901456,1970
1698741901464,1969
1698741901472,1967
1698741901480,1962
1698741901488,1966
1698741901496,1955
1698741901504,1951
1698741901512,1947
1698741901520,1937
1698741901528,1936
1698741901536,1927
1698741901544,1927
1698741901552,1926
1698741901560,1936
1698741901568,1936
1698741901576,1931
1698741901584,1933
1698741901592,1936
1698741901600,1936
1698741901608,1936
1698741901616,1936
1698741901624,1936
1698741901632,1936
1698741901640,1939
1698741901648,1943
1698741901656,1947
1698741901664,1947
1698741901672,1938
1698741901680,1939
1698741901688,1933
1698741901696,1936
1698741901704,1936
1698741901712,1933
1698741901720,1926
1698741901728,1926
1698741901736,1919
1698741901744,1919
1698741901752,1915
1698741901760,1915
1698741901768,1909
1698741901776,1891
1698741901784,1888
1698741901792,1874
1698741901800,1863
1698741901808,1865
1698741901816,1853
1698741901824,1839
1698741901832,1822
1698741901840,1811
1698741901848,1808
1698741901856,1803
1698741901864,1799
1698741901872,1782
1698741901880,1771
1698741901888,1767
1698741901896,1755
1698741901904,1754
1698741901912,1754
1698741901920,1745
1698741901928,1739
1698741901936,1755
1698741901944,1759
1698741901952,1762
1698741901960,1783
1698741901968,1794
1698741901976,1802
1698741901984,1813
1698741901992,1829
1698741902000,1840
1698741902008,1855
1698741902016,1858
1698741902024,1854
1698741902032,1860
1698741902040,1861
1698741902048,1866
1698741902056,1872
1698741902064,1873
1698741902072,1871
1698741902080,1872
1698741902088,1872
1698741902096,1874
1698741902104,1882
1698741902112,1893
1698741902120,1893
1698741902128,1899
1698741902136,1904
1698741902144,1907
1698741902152,1915
1698741902160,1934
1698741902168,1936
1698741902176,1933
1698741902184,1934
1698741902192,1936
1698741902200,1936
1698741902208,1942
1698741902216,1937
1698741902224,1933
1698741902232,1935
1698741902240,1936
1698741902248,1939
1698741902256,1952
1698741902264,1957
1698741902272,1954
1698741902280,1965
1698741902288,1965
1698741902296,1968
1698741902304,1969
1698741902312,1978
1698741902320,1971
1698741902328,1969
1698741902336,1978
1698741902344,1974
1698741902352,1983
1698741902360,2000
1698741902368,2000
1698741902376,2002
1698741902384,2007
1698741902392,2019
1698741902400,2030
1698741902408,2045
1698741902416,2055
1698741902424,2047
1698741902432,2059
1698741902440,2063
1698741902448,2063
1698741902456,2078
1698741902464,2079
1698741902472,2079
1698741902480,2082
1698741902488,2085
1698741902496,2096
1698741902504,2096
1698741902512,2098
1698741902520,2098
1698741902528,2097
1698741902536,2096
1698741902544,2096
1698741902552,2096
1698741902560,2107
1698741902568,2102
1698741902576,2096
1698741902584,2094
1698741902592,2093
1698741902600,2093
1698741902608,2093
1698741902616,2099
1698741902624,2095
1698741902632,2096
1698741902640,2096
1698741902648,2099
1698741902656,2112
1698741902664,2118
1698741902672,2115
1698741902680,2121
1698741902688,2128
1698741902696,2132
1698741902704,2134
1698741902712,2150
1698741902720,2146
1698741902728,2149
1698741902736,2154
1698741902744,2156
1698741902752,2151
1698741902760,2160
1698741902768,2160
1698741902776,2151
1698741902784,2154
1698741902792,2155
1698741902800,2160
1698741902808,2160
1698741902816,2171
1698741902824,2165
1698741902832,2166
1698741902840,2162
1698741902848,2162
1698741902856,2170
1698741902864,2167
1698741902872,2160
1698741902880,2161
1698741902888,2169
1698741902896,2173
1698741902904,2176
1698741902912,2185
1698741902920,2191
1698741902928,2192
1698741902936,2191
1698741902944,2192
1698741902952,2193
1698741902960,2194
1698741902968,2192
1698741902976,2180
1698741902984,2176
1698741902992,2177
1698741903000,2175
1698741903008,2181
1698741903016,2174
1698741903024,2175
1698741903032,2175
1698741903040,2177
1698741903048,2175
1698741903056,2183
1698741903064,2187
1698741903072,2183
1698741903080,2181
1698741903088,2179
1698741903096,2182
1698741903104,2190
1698741903112,2195
1698741903120,2191
1698741903128,2193
1698741903136,2194
1698741903144,2189
1698741903152,2203
1698741903160,2211
1698741903168,2214
1698741903176,2208
1698741903184,2214
1698741903192,2218
1698741903200,2214
1698741903208,2227
1698741903216,2214
1698741903224,2215
1698741903232,2212
1698741903240,2208
1698741903248,2201
1698741903256,2203
1698741903264,2198
1698741903272,2192
1698741903280,2191
1698741903288,2189
1698741903296,2187
1698741903304,2190
1698741903312,2195
1698741903320,2196
1698741903328,2190
1698741903336,2185
1698741903344,2186
1698741903352,2176
1698741903360,2179
1698741903368,2166
1698741903376,2162
1698741903384,2163
1698741903392,2162
1698741903400,2153
1698741903408,2171
1698741903416,2177
1698741903424,2170
1698741903432,2177
1698741903440,2181
1698741903448,2192
1698741903456,2195
1698741903464,2193
1698741903472,2192
1698741903480,2194
1698741903488,2194
1698741903496,2189
1698741903504,2185
1698741903512,2188
1698741903520,2187
1698741903528,2177
1698741903536,2187
1698741903544,2189
1698741903552,2199
1698741903560,2218
1698741903568,2230
1698741903576,2239
1698741903584,2243
1698741903592,2251
1698741903600,2255
1698741903608,2258
1698741903616,2257
1698741903624,2245
1698741903632,2242
1698741903640,2238
1698741903648,2236
1698741903656,2228
1698741903664,2229
1698741903672,2229
1698741903680,2229
1698741903688,2235
1698741903696,2227
1698741903704,2237
1698741903712,2247
1698741903720,2247
1698741903728,2242
1698741903736,2242
1698741903744,2241
1698741903752,2236
1698741903760,2230
1698741903768,2224
1698741903776,2218
1698741903784,2209
1698741903792,2199
1698741903800,2193
1698741903808,2194
1698741903816,2187
1698741903824,2179
1698741903832,2175
1698741903840,2178
1698741903848,2175
1698741903856,2170
1698741903864,2173
1698741903872,2165
1698741903880,2160
1698741903888,2153
1698741903896,2150
1698741903904,2147
1698741903912,2141
1698741903920,2123
1698741903928,2123
1698741903936,2115
1698741903944,2103
1698741903952,2103
1698741903960,2097
1698741903968,2091
1698741903976,2091
1698741903984,2079
1698741903992,2065
1698741904000,2062
1698741904008,2055
1698741904016,2047
1698741904024,2026
1698741904032,2023
1698741904040,2019
1698741904048,2016
1698741904056,2015
1698741904064,2011
1698741904072,1998
1698741904080,1995
1698741904088,1987
1698741904096,1983
1698741904104,1974
1698741904112,1969
1698741904120,1954
1698741904128,1948
1698741904136,1943
1698741904144,1936
1698741904152,1930
1698741904160,1935
1698741904168,1935
1698741904176,1925
1698741904184,1926
1698741904192,1934
1698741904200,1936
1698741904208,1947
1698741904216,1949
1698741904224,1943
1698741904232,1942
1698741904240,1940
1698741904248,1926
1698741904256,1920
1698741904264,1910
1698741904272,1903
1698741904280,1902
1698741904288,1894
1698741904296,1894
1698741904304,1897
1698741904312,1891
1698741904320,1889
1698741904328,1881
1698741904336,1894
1698741904344,1899
1698741904352,1904
1698741904360,1906
1698741904368,1904
1698741904376,1907
1698741904384,1907
1698741904392,1915
1698741904400,1923
1698741904408,1923
1698741904416,1917
1698741904424,1917
1698741904432,1904
1698741904440,1905
1698741904448,1906
1698741904456,1906
1698741904464,1894
1698741904472,1887
1698741904480,1888
1698741904488,1891
1698741904496,1889
1698741904504,1897
1698741904512,1887
1698741904520,1882
1698741904528,1881
1698741904536,1879
1698741904544,1875
1698741904552,1885
1698741904560,1883
1698741904568,1872
1698741904576,1872
1698741904584,1870
1698741904592,1872
1698741904600,1877
1698741904608,1872
1698741904616,1866
1698741904624,1861
1698741904632,1850
1698741904640,1843
1698741904648,1840
1698741904656,1837
1698741904664,1813
1698741904672,1805
1698741904680,1796
1698741904688,1791
1698741904696,1786
1698741904704,1787
1698741904712,1777
1698741904720,1777
1698741904728,1774
1698741904736,1776
1698741904744,1774
1698741904752,1777
1698741904760,1777
1698741904768,1774
1698741904776,1767
1698741904784,1771
1698741904792,1766
1698741904800,1776
1698741904808,1766
1698741904816,1767
1698741904824,1771
1698741904832,1776
1698741904840,1776
1698741904848,1776
1698741904856,1791
1698741904864,1785
1698741904872,1790
1698741904880,1795
1698741904888,1798
1698741904896,1803
1698741904904,1820
1698741904912,1821
1698741904920,1827
1698741904928,1840
1698741904936,1849
1698741904944,1859
1698741904952,1872
1698741904960,1889
1698741904968,1895
1698741904976,1895
1698741904984,1904
1698741904992,1906
1698741905000,1912
1698741905008,1918
1698741905016,1911
1698741905024,1915
1698741905032,1915
1698741905040,1913
1698741905048,1926
1698741905056,1929
1698741905064,1925
1698741905072,1935
1698741905080,1936
1698741905088,1949
1698741905096,1947
1698741905104,1971
1698741905112,1979
1698741905120,1986
1698741905128,1997
1698741905136,2003
1698741905144,2005
1698741905152,2019
1698741905160,2007
1698741905168,2006
1698741905176,2005
1698741905184,2009
1698741905192,2006
1698741905200,2005
1698741905208,2014
1698741905216,2015
1698741905224,2022
1698741905232,2029
1698741905240,2033
1698741905248,2058
1698741905256,2064
1698741905264,2062
1698741905272,2068
1698741905280,2069
1698741905288,2076
1698741905296,2080
1698741905304,2085
1698741905312,2091
1698741905320,2096
1698741905328,2107
1698741905336,2114
1698741905344,2128
1698741905352,2143
1698741905360,2131
1698741905368,2155
1698741905376,2153
1698741905384,2161
1698741905392,2163
1698741905400,2166
1698741905408,2171
1698741905416,2174
1698741905424,2175
1698741905432,2176
1698741905440,2178
1698741905448,2183
1698741905456,2179
1698741905464,2173
1698741905472,2170
1698741905480,2173
1698741905488,2170
1698741905496,2172
1698741905504,2175
1698741905512,2170
1698741905520,2160
1698741905528,2159
1698741905536,2156
1698741905544,2158
1698741905552,2160
1698741905560,2159
1698741905568,2149
1698741905576,2143
1698741905584,2143
1698741905592,2139
1698741905600,2147
1698741905608,2148
1698741905616,2137
1698741905624,2144
1698741905632,2143
1698741905640,2145
1698741905648,2158
1698741905656,2160
1698741905664,2157
1698741905672,2158
1698741905680,2159
1698741905688,2157
1698741905696,2158
1698741905704,2161
1698741905712,2160
1698741905720,2151
1698741905728,2149
1698741905736,2153
1698741905744,2151
1698741905752,2160
1698741905760,2160
1698741905768,2165
1698741905776,2166
1698741905784,2167
1698741905792,2174
1698741905800,2176
1698741905808,2172
1698741905816,2160
1698741905824,2154
1698741905832,2149
1698741905840,2143
1698741905848,2147
1698741905856,2151
1698741905864,2145
1698741905872,2146
1698741905880,2155
1698741905888,2160
1698741905896,2163
1698741905904,2171
1698741905912,2170
1698741905920,2171
1698741905928,2175
1698741905936,2171
1698741905944,2166
1698741905952,2175
1698741905960,2165
1698741905968,2155
1698741905976,2145
1698741905984,2144
1698741905992,2145
1698741906000,2145
1698741906008,2145
1698741906016,2150
1698741906024,2159
1698741906032,2161
1698741906040,2172
1698741906048,2191
1698741906056,2194
1698741906064,2197
1698741906072,2202
1698741906080,2209
1698741906088,2221
1698741906096,2220
1698741906104,2225
1698741906112,2227
1698741906120,2238
1698741906128,2245
1698741906136,2247
1698741906144,2258
1698741906152,2272
1698741906160,2283
1698741906168,2279
1698741906176,2286
1698741906184,2287
1698741906192,2287
1698741906200,2288
1698741906208,2283
1698741906216,2275
1698741906224,2269
1698741906232,2265
1698741906240,2259
1698741906248,2268
1698741906256,2263
1698741906264,2253
1698741906272,2253
1698741906280,2254
1698741906288,2247
1698741906296,2242
1698741906304,2242
1698741906312,2239
1698741906320,2223
1698741906328,2221
1698741906336,2211
1698741906344,2206
1698741906352,2208
1698741906360,2205
1698741906368,2193
1698741906376,2193
1698741906384,2194
1698741906392,2194
1698741906400,2202
1698741906408,2198
1698741906416,2192
1698741906424,2185
1698741906432,2182
1698741906440,2170
1698741906448,2166
1698741906456,2160
1698741906464,2135
1698741906472,2128
1698741906480,2119
1698741906488,2103
1698741906496,2106
1698741906504,2099
1698741906512,2096
1698741906520,2083
1698741906528,2074
1698741906536,2070
1698741906544,2064
1698741906552,2069
1698741906560,2064
1698741906568,2064
1698741906576,2054
1698741906584,2047
1698741906592,2047
1698741906600,2061
1698741906608,2062
1698741906616,2047
1698741906624,2045
1698741906632,2047
1698741906640,2042
1698741906648,2043
1698741906656,2038
1698741906664,2030
1698741906672,2027
1698741906680,2018
1698741906688,2009
1698741906696,2010
1698741906704,2007
1698741906712,2004
1698741906720,1995
1698741906728,1985
1698741906736,1985
1698741906744,1983
1698741906752,1985
1698741906760,1984
1698741906768,1980
1698741906776,1984
1698741906784,1995
1698741906792,1991
1698741906800,2000
1698741906808,2010
1698741906816,2000
1698741906824,2005
1698741906832,2001
1698741906840,2000
1698741906848,2000
1698741906856,1998
1698741906864,1981
1698741906872,1979
1698741906880,1977
1698741906888,1970
1698741906896,1974
1698741906904,1980
1698741906912,1982
1698741906920,1973
1698741906928,1973
1698741906936,1977
1698741906944,1968
1698741906952,1977
1698741906960,1963
1698741906968,1953
1698741906976,1949
1698741906984,1939
1698741906992,1935
1698741907000,1926
1698741907008,1925
1698741907016,1914
1698741907024,1906
1698741907032,1905
1698741907040,1903
1698741907048,1904
1698741907056,1902
1698741907064,1887
1698741907072,1883
1698741907080,1879
1698741907088,1876
1698741907096,1873
1698741907104,1871
1698741907112,1874
1698741907120,1867
1698741907128,1865
1698741907136,1855
1698741907144,1860
1698741907152,1859
1698741907160,1850
1698741907168,1840
1698741907176,1835
1698741907184,1827
1698741907192,1821
1698741907200,1817
1698741907208,1806
1698741907216,1791
1698741907224,1781
1698741907232,1774
1698741907240,1761
1698741907248,1761
1698741907256,1757
1698741907264,1744
1698741907272,1749
1698741907280,1753
1698741907288,1758
1698741907296,1781
1698741907304,1789
1698741907312,1792
1698741907320,1808
1698741907328,1818
1698741907336,1823
1698741907344,1834
1698741907352,1830
1698741907360,1828
1698741907368,1813
1698741907376,1808
1698741907384,1802
1698741907392,1799
1698741907400,1797
1698741907408,1799
1698741907416,1789
1698741907424,1794
1698741907432,1803
1698741907440,1806
1698741907448,1806
1698741907456,1808
1698741907464,1818
1698741907472,1815
1698741907480,1824
1698741907488,1825
1698741907496,1826
1698741907504,1840
1698741907512,1838
1698741907520,1845
1698741907528,1847
1698741907536,1860
1698741907544,1872
1698741907552,1877
1698741907560,1887
1698741907568,1891
1698741907576,1904
1698741907584,1906
1698741907592,1922
1698741907600,1943
1698741907608,1947
1698741907616,1953
1698741907624,1962
1698741907632,1968
1698741907640,1975
1698741907648,1983
1698741907656,1987
1698741907664,1985
1698741907672,1986
1698741907680,1991
1698741907688,1990
1698741907696,2002
1698741907704,2015
1698741907712,2015
1698741907720,2014
1698741907728,2017
1698741907736,2023
1698741907744,2027
1698741907752,2027
1698741907760,2027
1698741907768,2031
1698741907776,2027
1698741907784,2031
1698741907792,2032
1698741907800,2046
1698741907808,2058
1698741907816,2059
1698741907824,2077
1698741907832,2089
1698741907840,2101
1698741907848,2114
1698741907856,2119
1698741907864,2128
1698741907872,2128
1698741907880,2129
1698741907888,2129
1698741907896,2127
1698741907904,2128
1698741907912,2128
1698741907920,2121
1698741907928,2122
1698741907936,2124
1698741907944,2130
1698741907952,2131
1698741907960,2138
1698741907968,2144
1698741907976,2137
1698741907984,2149
1698741907992,2150
