time,value
1698719820000,1387
1698719820008,1408
1698719820016,1415
1698719820024,1425
1698719820032,1455
1698719820040,1467
1698719820048,1497
1698719820056,1514
1698719820064,1527
1698719820072,1559
1698719820080,1578
1698719820088,1611
1698719820096,1631
1698719820104,1658
1698719820112,1703
1698719820120,1727
1698719820128,1785
1698719820136,1817
1698719820144,1881
1698719820152,1923
1698719820160,1966
1698719820168,2032
1698719820176,2076
1698719820184,2116
1698719820192,2195
1698719820200,2247
1698719820208,2323
1698719820216,2362
1698719820224,2406
1698719820232,2480
1698719820240,2524
1698719820248,2602
1698719820256,2642
1698719820264,2677
1698719820272,2726
1698719820280,2756
1698719820288,2800
1698719820296,2831
1698719820304,2846
1698719820312,2874
1698719820320,2893
1698719820328,2907
1698719820336,2912
1698719820344,2917
1698719820352,2928
1698719820360,2926
1698719820368,2913
1698719820376,2909
1698719820384,2903
1698719820392,2897
1698719820400,2892
1698719820408,2889
1698719820416,2887
1698719820424,2885
1698719820432,2880
1698719820440,2881
1698719820448,2887
1698719820456,2896
1698719820464,2896
1698719820472,2902
1698719820480,2911
1698719820488,2925
1698719820496,2931
1698719820504,2943
1698719820512,2962
1698719820520,2978
1698719820528,3005
1698719820536,3024
1698719820544,3041
1698719820552,3082
1698719820560,3097
1698719820568,3131
1698719820576,3149
1698719820584,3162
1698719820592,3184
1698719820600,3185
1698719820608,3196
1698719820616,3183
1698719820624,3170
1698719820632,3136
1698719820640,3109
1698719820648,3050
1698719820656,3006
1698719820664,2956
1698719820672,2864
1698719820680,2807
1698719820688,2710
1698719820696,2655
1698719820704,2602
1698719820712,2502
1698719820720,2445
1698719820728,2351
1698719820736,2303
1698719820744,2256
1698719820752,2182
1698719820760,2139
1698719820768,2064
1698719820776,2021
1698719820784,1986
1698719820792,1932
1698719820800,1885
1698719820808,1872
1698719820816,1843
1698719820824,1823
1698719820832,1816
1698719820840,1811
1698719820848,1823
1698719820856,1828
1698719820864,1839
1698719820872,1858
1698719820880,1881
1698719820888,1927
1698719820896,1956
1698719820904,1994
1698719820912,2057
1698719820920,2085
1698719820928,2145
1698719820936,2177
1698719820944,2213
1698719820952,2277
1698719820960,2306
1698719820968,2359
1698719820976,2385
1698719820984,2416
1698719820992,2459
1698719821000,2509
1698719821008,2522
1698719821016,2543
1698719821024,2567
1698719821032,2591
1698719821040,2609
1698719821048,2642
1698719821056,2657
1698719821064,2672
1698719821072,2694
1698719821080,2707
1698719821088,2736
1698719821096,2750
1698719821104,2773
1698719821112,2794
1698719821120,2805
1698719821128,2832
1698719821136,2849
1698719821144,2861
1698719821152,2896
1698719821160,2913
1698719821168,2937
1698719821176,2955
1698719821184,2971
1698719821192,3011
1698719821200,3058
1698719821208,3091
1698719821216,3108
1698719821224,3140
1698719821232,3184
1698719821240,3211
1698719821248,3259
1698719821256,3281
1698719821264,3312
1698719821272,3345
1698719821280,3363
1698719821288,3391
1698719821296,3403
1698719821304,3408
1698719821312,3421
1698719821320,3423
1698719821328,3417
1698719821336,3408
1698719821344,3395
1698719821352,3385
1698719821360,3380
1698719821368,3359
1698719821376,3344
1698719821384,3331
1698719821392,3311
1698719821400,3293
1698719821408,3280
1698719821416,3255
1698719821424,3231
1698719821432,3218
1698719821440,3207
1698719821448,3180
1698719821456,3166
1698719821464,3162
1698719821472,3130
1698719821480,3119
1698719821488,3099
1698719821496,3088
1698719821504,3066
1698719821512,3063
1698719821520,3031
1698719821528,3029
1698719821536,3019
1698719821544,2999
1698719821552,2992
1698719821560,2989
1698719821568,2971
1698719821576,2957
1698719821584,2945
1698719821592,2943
1698719821600,2945
1698719821608,2948
1698719821616,2947
1698719821624,2944
1698719821632,2942
1698719821640,2942
1698719821648,2939
1698719821656,2938
1698719821664,2944
1698719821672,2942
1698719821680,2931
1698719821688,2923
1698719821696,2913
1698719821704,2899
1698719821712,2883
1698719821720,2882
1698719821728,2847
1698719821736,2844
1698719821744,2819
1698719821752,2809
1698719821760,2799
1698719821768,2784
1698719821776,2770
1698719821784,2764
1698719821792,2751
1698719821800,2747
1698719821808,2751
1698719821816,2751
1698719821824,2752
1698719821832,2751
1698719821840,2753
1698719821848,2759
1698719821856,2761
1698719821864,2768
1698719821872,2763
1698719821880,2764
1698719821888,2765
1698719821896,2766
1698719821904,2775
1698719821912,2789
1698719821920,2799
1698719821928,2815
1698719821936,2889
1698719821944,2902
1698719821952,2931
1698719821960,2944
1698719821968,2967
1698719821976,2981
1698719821984,2995
1698719821992,3010
1698719822000,3005
