time,value
1698737041000,2100
1698737041008,2093
1698737041016,2089
1698737041024,2083
1698737041032,2083
1698737041040,2082
1698737041048,2074
1698737041056,2096
1698737041064,2078
1698737041072,2070
1698737041080,2073
1698737041088,2073
1698737041096,2077
1698737041104,2078
1698737041112,2077
1698737041120,2080
1698737041128,2082
1698737041136,2085
1698737041144,2092
1698737041152,2092
1698737041160,2101
1698737041168,2098
1698737041176,2102
1698737041184,2111
1698737041192,2112
1698737041200,2112
1698737041208,2112
1698737041216,2115
1698737041224,2112
1698737041232,2112
1698737041240,2111
1698737041248,2110
1698737041256,2107
1698737041264,2109
1698737041272,2098
1698737041280,2096
1698737041288,2092
1698737041296,2091
1698737041304,2085
1698737041312,2085
1698737041320,2079
1698737041328,2075
1698737041336,2074
1698737041344,2069
1698737041352,2064
1698737041360,2061
1698737041368,2047
1698737041376,2039
1698737041384,2029
1698737041392,2017
1698737041400,2009
1698737041408,1991
1698737041416,1984
1698737041424,1969
1698737041432,1963
1698737041440,1957
1698737041448,1943
1698737041456,1941
1698737041464,1936
1698737041472,1934
1698737041480,1931
1698737041488,1933
1698737041496,1931
1698737041504,1930
1698737041512,1938
1698737041520,1941
1698737041528,1937
1698737041536,1943
1698737041544,1947
1698737041552,1949
1698737041560,1958
1698737041568,1959
1698737041576,1964
1698737041584,1969
1698737041592,1972
1698737041600,1975
1698737041608,1982
1698737041616,1986
1698737041624,1981
1698737041632,1983
1698737041640,1983
1698737041648,1979
1698737041656,1974
1698737041664,1971
1698737041672,1961
1698737041680,1957
1698737041688,1947
1698737041696,1939
1698737041704,1938
1698737041712,1929
1698737041720,1935
1698737041728,1923
1698737041736,1923
1698737041744,1925
1698737041752,1929
1698737041760,1936
1698737041768,1936
1698737041776,1940
1698737041784,1953
1698737041792,1956
1698737041800,1965
1698737041808,1979
1698737041816,1979
1698737041824,1990
1698737041832,1993
1698737041840,1998
1698737041848,2000
1698737041856,2001
1698737041864,2006
1698737041872,2000
1698737041880,2000
1698737041888,2000
1698737041896,1995
1698737041904,2000
1698737041912,1999
1698737041920,1985
1698737041928,1983
1698737041936,1978
1698737041944,1971
1698737041952,1968
1698737041960,1968
1698737041968,1951
1698737041976,1947
1698737041984,1937
1698737041992,1935
1698737042000,1930
1698737042008,1923
1698737042016,1920
1698737042024,1905
1698737042032,1903
1698737042040,1898
1698737042048,1889
1698737042056,1887
1698737042064,1886
1698737042072,1876
1698737042080,1877
1698737042088,1870
1698737042096,1870
1698737042104,1872
1698737042112,1872
1698737042120,1863
1698737042128,1865
1698737042136,1867
1698737042144,1869
1698737042152,1870
1698737042160,1874
1698737042168,1869
1698737042176,1872
1698737042184,1871
1698737042192,1872
1698737042200,1871
1698737042208,1872
1698737042216,1872
1698737042224,1869
1698737042232,1869
1698737042240,1867
1698737042248,1862
1698737042256,1859
1698737042264,1863
1698737042272,1854
1698737042280,1851
1698737042288,1851
1698737042296,1847
1698737042304,1849
1698737042312,1843
1698737042320,1840
1698737042328,1834
1698737042336,1826
1698737042344,1809
1698737042352,1804
1698737042360,1802
1698737042368,1776
1698737042376,1764
1698737042384,1746
1698737042392,1741
1698737042400,1732
1698737042408,1722
1698737042416,1713
1698737042424,1697
1698737042432,1695
1698737042440,1687
1698737042448,1684
1698737042456,1687
1698737042464,1686
1698737042472,1681
1698737042480,1680
1698737042488,1685
1698737042496,1681
1698737042504,1699
1698737042512,1702
1698737042520,1712
1698737042528,1712
1698737042536,1726
1698737042544,1731
1698737042552,1739
1698737042560,1748
1698737042568,1753
1698737042576,1760
1698737042584,1769
1698737042592,1773
1698737042600,1783
1698737042608,1784
1698737042616,1782
1698737042624,1776
1698737042632,1774
1698737042640,1769
1698737042648,1761
1698737042656,1751
1698737042664,1747
1698737042672,1741
1698737042680,1739
1698737042688,1729
1698737042696,1728
1698737042704,1731
1698737042712,1730
1698737042720,1732
1698737042728,1733
1698737042736,1737
1698737042744,1744
1698737042752,1759
1698737042760,1762
1698737042768,1770
1698737042776,1774
1698737042784,1781
1698737042792,1789
1698737042800,1792
1698737042808,1808
1698737042816,1809
1698737042824,1808
1698737042832,1808
1698737042840,1810
1698737042848,1807
1698737042856,1812
1698737042864,1810
1698737042872,1806
1698737042880,1803
1698737042888,1795
1698737042896,1791
1698737042904,1791
1698737042912,1789
1698737042920,1785
1698737042928,1776
1698737042936,1775
1698737042944,1771
1698737042952,1767
1698737042960,1773
1698737042968,1763
1698737042976,1764
1698737042984,1762
1698737042992,1759
1698737043000,1760
1698737043008,1767
1698737043016,1765
1698737043024,1759
1698737043032,1761
1698737043040,1761
1698737043048,1762
1698737043056,1766
1698737043064,1770
1698737043072,1763
1698737043080,1765
1698737043088,1766
1698737043096,1769
1698737043104,1775
1698737043112,1776
1698737043120,1776
1698737043128,1775
1698737043136,1775
1698737043144,1775
1698737043152,1775
1698737043160,1778
1698737043168,1776
1698737043176,1777
1698737043184,1777
1698737043192,1776
1698737043200,1779
1698737043208,1785
1698737043216,1785
1698737043224,1777
1698737043232,1777
1698737043240,1776
1698737043248,1774
1698737043256,1764
1698737043264,1767
1698737043272,1754
1698737043280,1747
1698737043288,1737
1698737043296,1728
1698737043304,1712
1698737043312,1702
1698737043320,1690
1698737043328,1664
1698737043336,1651
1698737043344,1633
1698737043352,1619
1698737043360,1611
1698737043368,1600
1698737043376,1595
1698737043384,1586
1698737043392,1584
1698737043400,1575
1698737043408,1576
1698737043416,1582
1698737043424,1574
1698737043432,1581
1698737043440,1584
1698737043448,1584
1698737043456,1593
1698737043464,1601
1698737043472,1605
1698737043480,1617
1698737043488,1622
1698737043496,1630
1698737043504,1646
1698737043512,1648
1698737043520,1659
1698737043528,1662
1698737043536,1665
1698737043544,1669
1698737043552,1673
1698737043560,1669
1698737043568,1671
1698737043576,1666
1698737043584,1661
1698737043592,1658
1698737043600,1650
1698737043608,1647
1698737043616,1638
1698737043624,1637
1698737043632,1632
1698737043640,1629
1698737043648,1629
1698737043656,1631
1698737043664,1627
1698737043672,1633
1698737043680,1637
1698737043688,1642
1698737043696,1649
1698737043704,1650
1698737043712,1659
1698737043720,1666
1698737043728,1678
1698737043736,1685
1698737043744,1694
1698737043752,1698
1698737043760,1711
1698737043768,1717
1698737043776,1722
1698737043784,1727
1698737043792,1731
1698737043800,1734
1698737043808,1744
1698737043816,1750
1698737043824,1746
1698737043832,1750
1698737043840,1752
1698737043848,1753
1698737043856,1760
1698737043864,1757
1698737043872,1759
