time,value
1698737041000,1338
1698737041008,1366
1698737041016,1413
1698737041024,1498
1698737041032,1555
1698737041040,1615
1698737041048,1712
1698737041056,1773
1698737041064,1872
1698737041072,1920
1698737041080,1975
1698737041088,2069
1698737041096,2141
1698737041104,2178
1698737041112,2212
1698737041120,2247
1698737041128,2326
1698737041136,2379
1698737041144,2497
1698737041152,2558
1698737041160,2615
1698737041168,2627
1698737041176,2599
1698737041184,2483
1698737041192,2416
1698737041200,2341
1698737041208,2163
1698737041216,2075
1698737041224,1920
1698737041232,1853
1698737041240,1787
1698737041248,1679
1698737041256,1617
1698737041264,1535
1698737041272,1501
1698737041280,1488
1698737041288,1485
1698737041296,1497
1698737041304,1515
1698737041312,1515
1698737041320,1523
1698737041328,1513
1698737041336,1490
1698737041344,1407
1698737041352,1323
1698737041360,1221
1698737041368,1008
1698737041376,903
1698737041384,738
1698737041392,665
1698737041400,592
1698737041408,478
1698737041416,425
1698737041424,378
1698737041432,430
1698737041440,566
1698737041448,879
1698737041456,1056
1698737041464,1335
1698737041472,1473
1698737041480,1613
1698737041488,1830
1698737041496,1933
1698737041504,2096
1698737041512,2167
1698737041520,2235
1698737041528,2354
1698737041536,2480
1698737041544,2539
1698737041552,2590
1698737041560,2629
1698737041568,2650
1698737041576,2646
1698737041584,2601
1698737041592,2546
1698737041600,2496
1698737041608,2382
1698737041616,2297
1698737041624,2092
1698737041632,1942
1698737041640,1797
1698737041648,1501
1698737041656,1351
1698737041664,1115
1698737041672,999
1698737041680,931
1698737041688,917
1698737041696,993
1698737041704,1237
1698737041712,1376
1698737041720,1519
1698737041728,1776
1698737041736,1923
1698737041744,2221
1698737041752,2378
1698737041760,2536
1698737041768,2768
1698737041776,2870
1698737041784,3000
1698737041792,3039
1698737041800,3053
1698737041808,3019
1698737041816,2959
1698737041824,2830
1698737041832,2735
1698737041840,2634
1698737041848,2427
1698737041856,2311
1698737041864,2114
1698737041872,2000
1698737041880,1905
1698737041888,1751
1698737041896,1677
1698737041904,1559
1698737041912,1491
1698737041920,1437
1698737041928,1351
1698737041936,1298
1698737041944,1213
1698737041952,1171
1698737041960,1123
1698737041968,1047
1698737041976,1002
1698737041984,960
1698737041992,953
1698737042000,958
1698737042008,977
1698737042016,1007
1698737042024,1069
1698737042032,1106
1698737042040,1154
1698737042048,1250
1698737042056,1303
1698737042064,1393
1698737042072,1426
1698737042080,1475
1698737042088,1555
1698737042096,1611
1698737042104,1729
1698737042112,1805
1698737042120,1941
1698737042128,2013
1698737042136,2065
1698737042144,2107
1698737042152,2098
1698737042160,2073
1698737042168,2033
1698737042176,2000
1698737042184,1954
1698737042192,1935
1698737042200,1930
1698737042208,1904
1698737042216,1872
1698737042224,1802
1698737042232,1760
1698737042240,1714
1698737042248,1665
1698737042256,1649
1698737042264,1627
1698737042272,1603
1698737042280,1583
1698737042288,1568
1698737042296,1550
1698737042304,1486
1698737042312,1424
1698737042320,1333
1698737042328,1122
1698737042336,1003
1698737042344,818
1698737042352,733
1698737042360,659
1698737042368,531
1698737042376,468
1698737042384,377
1698737042392,334
1698737042400,279
1698737042408,267
1698737042416,336
1698737042424,654
1698737042432,819
1698737042440,978
1698737042448,1265
1698737042456,1417
1698737042464,1680
1698737042472,1813
1698737042480,1949
1698737042488,2191
1698737042496,2320
1698737042504,2581
1698737042512,2704
1698737042520,2822
1698737042528,2993
1698737042536,3108
1698737042544,3136
1698737042552,3136
1698737042560,3121
1698737042568,3013
1698737042576,2943
1698737042584,2759
1698737042592,2624
1698737042600,2320
1698737042608,2125
1698737042616,1920
1698737042624,1587
1698737042632,1424
1698737042640,1285
1698737042648,1075
1698737042656,1008
1698737042664,1029
1698737042672,1097
1698737042680,1200
1698737042688,1451
1698737042696,1604
1698737042704,1905
1698737042712,2067
1698737042720,2226
1698737042728,2502
1698737042736,2642
1698737042744,2864
1698737042752,2945
1698737042760,3025
1698737042768,3094
1698737042776,3089
1698737042784,3011
1698737042792,2931
1698737042800,2842
1698737042808,2644
1698737042816,2515
1698737042824,2293
1698737042832,2182
1698737042840,2075
1698737042848,1891
1698737042856,1799
1698737042864,1653
1698737042872,1588
1698737042880,1530
1698737042888,1459
1698737042896,1437
1698737042904,1409
1698737042912,1414
1698737042920,1428
1698737042928,1478
1698737042936,1514
1698737042944,1585
1698737042952,1616
1698737042960,1659
1698737042968,1709
1698737042976,1742
1698737042984,1814
1698737042992,1854
1698737043000,1893
1698737043008,1959
1698737043016,1983
1698737043024,2009
1698737043032,2015
1698737043040,2022
1698737043048,2031
1698737043056,2039
1698737043064,2081
1698737043072,2098
1698737043080,2128
1698737043088,2151
1698737043096,2151
1698737043104,2144
1698737043112,2129
1698737043120,2123
1698737043128,2096
1698737043136,2078
1698737043144,2083
1698737043152,2096
1698737043160,2112
1698737043168,2119
1698737043176,2109
1698737043184,2068
1698737043192,2033
1698737043200,2009
1698737043208,1961
1698737043216,1920
1698737043224,1815
1698737043232,1744
1698737043240,1660
1698737043248,1473
1698737043256,1365
1698737043264,1154
1698737043272,1039
1698737043280,927
1698737043288,759
1698737043296,682
1698737043304,559
1698737043312,492
1698737043320,434
1698737043328,343
1698737043336,304
1698737043344,235
1698737043352,201
1698737043360,171
1698737043368,123
1698737043376,207
1698737043384,510
1698737043392,721
1698737043400,1127
1698737043408,1343
1698737043416,1558
1698737043424,1901
1698737043432,2075
1698737043440,2367
1698737043448,2511
1698737043456,2651
1698737043464,2858
1698737043472,2928
1698737043480,2995
1698737043488,3021
1698737043496,3034
1698737043504,3038
1698737043512,3006
1698737043520,2841
1698737043528,2716
1698737043536,2559
1698737043544,2256
1698737043552,2086
1698737043560,1795
1698737043568,1648
1698737043576,1415
1698737043584,1317
1698737043592,1253
1698737043600,1200
1698737043608,1203
1698737043616,1277
1698737043624,1350
1698737043632,1453
1698737043640,1670
1698737043648,1803
1698737043656,2032
1698737043664,2160
1698737043672,2288
1698737043680,2501
1698737043688,2619
1698737043696,2803
1698737043704,2881
1698737043712,2959
1698737043720,3051
1698737043728,3083
1698737043736,3095
1698737043744,3086
1698737043752,3062
1698737043760,3005
1698737043768,2971
1698737043776,2864
1698737043784,2805
1698737043792,2749
1698737043800,2641
1698737043808,2591
1698737043816,2494
1698737043824,2433
1698737043832,2388
1698737043840,2295
1698737043848,2255
1698737043856,2192
1698737043864,2150
1698737043872,2113
1698737043880,2036
1698737043888,2002
1698737043896,1970
1698737043904,1971
1698737043912,1981
1698737043920,2029
1698737043928,2065
1698737043936,2101
1698737043944,2096
1698737043952,2096
1698737043960,2128
1698737043968,2148
1698737043976,2191
1698737043984,2205
1698737043992,2219
1698737044000,2229
1698737044008,2228
1698737044016,2221
1698737044024,2194
1698737044032,2191
1698737044040,2177
1698737044048,2178
1698737044056,2201
1698737044064,2219
1698737044072,2254
1698737044080,2335
1698737044088,2371
1698737044096,2395
1698737044104,2381
1698737044112,2343
1698737044120,2233
1698737044128,2166
1698737044136,2006
1698737044144,1900
1698737044152,1785
1698737044160,1535
1698737044168,1391
1698737044176,1148
1698737044184,1037
1698737044192,923
1698737044200,759
1698737044208,685
1698737044216,560
1698737044224,491
1698737044232,432
1698737044240,345
1698737044248,303
1698737044256,238
1698737044264,205
1698737044272,176
1698737044280,123
1698737044288,98
1698737044296,91
1698737044304,214
1698737044312,445
1698737044320,933
1698737044328,1189
1698737044336,1606
1698737044344,1803
1698737044352,1983
1698737044360,2294
1698737044368,2448
1698737044376,2703
1698737044384,2815
1698737044392,2911
1698737044400,3044
1698737044408,3092
1698737044416,3088
1698737044424,3035
1698737044432,2896
1698737044440,2798
1698737044448,2674
1698737044456,2428
1698737044464,2273
1698737044472,2114
1698737044480,1835
1698737044488,1701
1698737044496,1507
1698737044504,1444
1698737044512,1411
1698737044520,1419
1698737044528,1477
1698737044536,1668
1698737044544,1806
1698737044552,1971
1698737044560,2290
1698737044568,2480
1698737044576,2799
1698737044584,3102
1698737044592,3249
1698737044600,3394
1698737044608,3536
1698737044616,3751
1698737044624,3831
1698737044632,3895
1698737044640,3897
1698737044648,3830
1698737044656,3635
1698737044664,3494
1698737044672,3357
1698737044680,3105
1698737044688,2962
1698737044696,2730
1698737044704,2610
1698737044712,2494
1698737044720,2304
1698737044728,2213
1698737044736,2074
1698737044744,2001
1698737044752,1955
1698737044760,1891
1698737044768,1866
1698737044776,1853
1698737044784,1860
1698737044792,1887
1698737044800,1924
1698737044808,1973
1698737044816,2078
1698737044824,2142
1698737044832,2230
1698737044840,2387
1698737044848,2480
1698737044856,2640
1698737044864,2710
1698737044872,2768
1698737044880,2857
1698737044888,2890
1698737044896,2940
1698737044904,2961
1698737044912,2979
1698737044920,2966
1698737044928,2939
1698737044936,2831
1698737044944,2729
1698737044952,2626
1698737044960,2460
1698737044968,2384
1698737044976,2261
1698737044984,2208
1698737044992,2178
1698737045000,2118
1698737045008,2087
1698737045016,1995
1698737045024,1930
1698737045032,1872
1698737045040,1776
1698737045048,1739
1698737045056,1680
1698737045064,1646
1698737045072,1609
1698737045080,1526
1698737045088,1472
1698737045096,1363
1698737045104,1299
1698737045112,1217
1698737045120,1039
1698737045128,931
1698737045136,767
1698737045144,688
1698737045152,618
1698737045160,498
1698737045168,445
1698737045176,352
1698737045184,311
1698737045192,432
1698737045200,579
1698737045208,733
1698737045216,898
1698737045224,1204
1698737045232,1365
1698737045240,1663
1698737045248,1791
1698737045256,1917
1698737045264,2125
1698737045272,2205
1698737045280,2289
1698737045288,2434
1698737045296,2576
1698737045304,2640
1698737045312,2691
1698737045320,2734
1698737045328,2788
1698737045336,2801
1698737045344,2789
1698737045352,2755
1698737045360,2683
1698737045368,2599
1698737045376,2501
1698737045384,2288
1698737045392,2155
1698737045400,1994
1698737045408,1715
1698737045416,1567
1698737045424,1351
1698737045432,1278
1698737045440,1245
1698737045448,1264
1698737045456,1318
1698737045464,1520
1698737045472,1658
1698737045480,1818
1698737045488,2118
1698737045496,2271
1698737045504,2515
1698737045512,2653
1698737045520,2762
1698737045528,2913
1698737045536,2973
1698737045544,3041
1698737045552,3053
1698737045560,3047
1698737045568,2963
1698737045576,2902
1698737045584,2756
1698737045592,2665
1698737045600,2559
1698737045608,2379
1698737045616,2268
1698737045624,2083
1698737045632,1981
1698737045640,1904
1698737045648,1790
1698737045656,1753
1698737045664,1712
1698737045672,1709
1698737045680,1714
1698737045688,1754
1698737045696,1783
1698737045704,1839
1698737045712,1879
1698737045720,1920
1698737045728,1993
1698737045736,2038
1698737045744,2117
1698737045752,2163
1698737045760,2207
1698737045768,2255
1698737045776,2282
1698737045784,2320
1698737045792,2327
1698737045800,2325
1698737045808,2302
1698737045816,2273
1698737045824,2223
1698737045832,2190
1698737045840,2162
1698737045848,2129
1698737045856,2128
1698737045864,2131
1698737045872,2123
1698737045880,2112
1698737045888,2075
1698737045896,2032
1698737045904,1954
1698737045912,1894
1698737045920,1840
1698737045928,1718
1698737045936,1662
1698737045944,1568
1698737045952,1520
1698737045960,1483
1698737045968,1422
1698737045976,1399
1698737045984,1389
1698737045992,1387
1698737046000,1397
1698737046008,1437
1698737046016,1456
1698737046024,1507
1698737046032,1535
1698737046040,1565
1698737046048,1573
1698737046056,1543
1698737046064,1408
1698737046072,1294
1698737046080,1171
1698737046088,965
1698737046096,865
1698737046104,711
1698737046112,637
1698737046120,566
1698737046128,451
1698737046136,400
1698737046144,467
1698737046152,592
1698737046160,848
1698737046168,981
1698737046176,1116
1698737046184,1338
1698737046192,1457
1698737046200,1581
1698737046208,1808
1698737046216,1913
1698737046224,2107
1698737046232,2202
1698737046240,2384
1698737046248,2466
1698737046256,2542
1698737046264,2635
1698737046272,2666
1698737046280,2675
1698737046288,2671
1698737046296,2638
1698737046304,2553
1698737046312,2491
1698737046320,2346
1698737046328,2255
1698737046336,2033
1698737046344,1893
1698737046352,1614
1698737046360,1456
1698737046368,1310
1698737046376,1181
1698737046384,1005
1698737046392,951
1698737046400,944
1698737046408,994
1698737046416,1072
1698737046424,1278
1698737046432,1411
1698737046440,1701
1698737046448,1863
1698737046456,2027
1698737046464,2310
1698737046472,2445
1698737046480,2683
1698737046488,2797
1698737046496,2890
1698737046504,2997
1698737046512,3043
1698737046520,3050
1698737046528,3023
1698737046536,2976
1698737046544,2847
1698737046552,2762
1698737046560,2579
1698737046568,2469
1698737046576,2362
1698737046584,2176
1698737046592,2074
1698737046600,1899
1698737046608,1823
1698737046616,1745
1698737046624,1633
1698737046632,1565
1698737046640,1525
1698737046648,1507
1698737046656,1495
1698737046664,1498
1698737046672,1501
1698737046680,1525
1698737046688,1550
1698737046696,1564
1698737046704,1593
1698737046712,1616
1698737046720,1646
1698737046728,1664
1698737046736,1701
1698737046744,1713
1698737046752,1728
1698737046760,1747
1698737046768,1747
1698737046776,1744
1698737046784,1723
1698737046792,1726
1698737046800,1755
1698737046808,1795
1698737046816,1831
1698737046824,1892
1698737046832,1915
1698737046840,1929
1698737046848,1925
1698737046856,1920
1698737046864,1881
1698737046872,1840
1698737046880,1786
1698737046888,1767
1698737046896,1743
1698737046904,1706
1698737046912,1680
1698737046920,1628
1698737046928,1609
1698737046936,1597
1698737046944,1606
1698737046952,1615
1698737046960,1639
1698737046968,1651
1698737046976,1657
1698737046984,1686
1698737046992,1684
1698737047000,1633
1698737047008,1557
1698737047016,1451
1698737047024,1210
1698737047032,1090
1698737047040,890
1698737047048,800
1698737047056,717
1698737047064,585
1698737047072,525
1698737047080,414
1698737047088,368
1698737047096,370
1698737047104,565
1698737047112,745
1698737047120,1052
1698737047128,1200
1698737047136,1329
1698737047144,1584
1698737047152,1712
1698737047160,1840
1698737047168,2054
1698737047176,2162
1698737047184,2363
1698737047192,2469
1698737047200,2576
1698737047208,2736
1698737047216,2803
1698737047224,2882
1698737047232,2906
1698737047240,2901
1698737047248,2874
1698737047256,2832
1698737047264,2720
1698737047272,2640
1698737047280,2535
1698737047288,2288
1698737047296,2128
1698737047304,1793
1698737047312,1618
1698737047320,1453
1698737047328,1196
1698737047336,1075
1698737047344,879
1698737047352,833
1698737047360,848
1698737047368,1005
1698737047376,1135
1698737047384,1422
1698737047392,1591
1698737047400,1776
1698737047408,2090
1698737047416,2255
1698737047424,2545
1698737047432,2697
1698737047440,2832
1698737047448,3020
1698737047456,3097
1698737047464,3152
1698737047472,3150
1698737047480,3115
1698737047488,2974
1698737047496,2875
1698737047504,2665
1698737047512,2544
1698737047520,2416
1698737047528,2189
1698737047536,2067
1698737047544,1857
1698737047552,1745
1698737047560,1663
1698737047568,1495
1698737047576,1431
1698737047584,1329
1698737047592,1289
1698737047600,1248
1698737047608,1195
1698737047616,1175
1698737047624,1161
1698737047632,1167
1698737047640,1174
1698737047648,1196
1698737047656,1227
1698737047664,1239
1698737047672,1250
1698737047680,1264
1698737047688,1290
1698737047696,1296
1698737047704,1320
1698737047712,1351
1698737047720,1367
1698737047728,1399
1698737047736,1422
1698737047744,1465
1698737047752,1493
1698737047760,1523
1698737047768,1552
1698737047776,1552
1698737047784,1558
1698737047792,1565
1698737047800,1578
1698737047808,1591
1698737047816,1597
1698737047824,1653
1698737047832,1694
1698737047840,1742
1698737047848,1806
1698737047856,1841
1698737047864,1904
1698737047872,1933
1698737047880,2003
1698737047888,2027
