time,value
1698737041000,2406
1698737041008,2408
1698737041016,2391
1698737041024,2391
1698737041032,2383
1698737041040,2383
1698737041048,2373
1698737041056,2375
1698737041064,2374
1698737041072,2356
1698737041080,2355
1698737041088,2352
1698737041096,2355
1698737041104,2353
1698737041112,2350
1698737041120,2335
1698737041128,2337
1698737041136,2337
1698737041144,2337
1698737041152,2347
1698737041160,2347
1698737041168,2339
1698737041176,2345
1698737041184,2348
1698737041192,2352
1698737041200,2355
1698737041208,2360
1698737041216,2354
1698737041224,2355
1698737041232,2353
1698737041240,2353
1698737041248,2353
1698737041256,2351
1698737041264,2350
1698737041272,2351
1698737041280,2352
1698737041288,2361
1698737041296,2355
1698737041304,2367
1698737041312,2368
1698737041320,2362
1698737041328,2369
1698737041336,2374
1698737041344,2384
1698737041352,2397
1698737041360,2405
1698737041368,2415
1698737041376,2416
1698737041384,2432
1698737041392,2447
1698737041400,2454
1698737041408,2474
1698737041416,2479
1698737041424,2479
1698737041432,2480
1698737041440,2486
1698737041448,2489
1698737041456,2490
1698737041464,2494
1698737041472,2491
1698737041480,2482
1698737041488,2475
1698737041496,2467
1698737041504,2464
1698737041512,2454
1698737041520,2433
1698737041528,2420
1698737041536,2416
1698737041544,2406
1698737041552,2402
1698737041560,2399
1698737041568,2391
1698737041576,2392
1698737041584,2393
1698737041592,2387
1698737041600,2390
1698737041608,2406
1698737041616,2405
1698737041624,2403
1698737041632,2399
1698737041640,2406
1698737041648,2411
1698737041656,2416
1698737041664,2418
1698737041672,2414
1698737041680,2414
1698737041688,2415
1698737041696,2415
1698737041704,2424
1698737041712,2421
1698737041720,2416
1698737041728,2413
1698737041736,2411
1698737041744,2411
1698737041752,2403
1698737041760,2411
1698737041768,2400
1698737041776,2394
1698737041784,2384
1698737041792,2386
1698737041800,2379
1698737041808,2381
1698737041816,2375
1698737041824,2359
1698737041832,2353
1698737041840,2351
1698737041848,2341
1698737041856,2351
1698737041864,2343
1698737041872,2335
1698737041880,2333
1698737041888,2331
1698737041896,2331
1698737041904,2339
1698737041912,2336
1698737041920,2330
1698737041928,2339
1698737041936,2327
1698737041944,2332
1698737041952,2331
1698737041960,2346
1698737041968,2340
1698737041976,2346
1698737041984,2352
1698737041992,2352
1698737042000,2353
1698737042008,2365
1698737042016,2365
1698737042024,2355
1698737042032,2354
1698737042040,2358
1698737042048,2354
1698737042056,2352
1698737042064,2359
1698737042072,2352
1698737042080,2347
1698737042088,2345
1698737042096,2346
1698737042104,2350
1698737042112,2347
1698737042120,2340
1698737042128,2339
1698737042136,2337
1698737042144,2339
1698737042152,2343
1698737042160,2355
1698737042168,2359
1698737042176,2362
1698737042184,2370
1698737042192,2368
1698737042200,2377
1698737042208,2386
1698737042216,2384
1698737042224,2375
1698737042232,2375
1698737042240,2373
1698737042248,2371
1698737042256,2367
1698737042264,2374
1698737042272,2366
1698737042280,2363
1698737042288,2363
1698737042296,2362
1698737042304,2371
1698737042312,2371
1698737042320,2368
1698737042328,2368
1698737042336,2368
1698737042344,2374
1698737042352,2379
1698737042360,2390
1698737042368,2393
1698737042376,2390
1698737042384,2397
1698737042392,2399
1698737042400,2399
1698737042408,2411
1698737042416,2402
1698737042424,2409
1698737042432,2410
1698737042440,2411
1698737042448,2412
1698737042456,2405
