time,value
1698737041000,1878
1698737041008,1774
1698737041016,1680
1698737041024,1680
1698737041032,1677
1698737041040,1648
1698737041048,1683
1698737041056,1714
1698737041064,1743
1698737041072,1718
1698737041080,1669
1698737041088,1677
1698737041096,1751
1698737041104,1838
1698737041112,1926
1698737041120,1974
1698737041128,1955
1698737041136,2010
1698737041144,2064
1698737041152,2139
1698737041160,2133
1698737041168,2195
1698737041176,2288
1698737041184,2336
1698737041192,2346
1698737041200,2281
1698737041208,2192
1698737041216,2103
1698737041224,2096
1698737041232,2033
1698737041240,1966
1698737041248,1935
1698737041256,1968
1698737041264,2023
1698737041272,2081
1698737041280,2074
1698737041288,2135
1698737041296,2224
1698737041304,2305
1698737041312,2385
1698737041320,2371
1698737041328,2479
1698737041336,2573
1698737041344,2666
1698737041352,2767
1698737041360,2751
1698737041368,2832
1698737041376,2883
1698737041384,2877
1698737041392,2831
1698737041400,2736
1698737041408,2675
1698737041416,2640
1698737041424,2558
1698737041432,2506
1698737041440,2406
1698737041448,2288
1698737041456,2214
1698737041464,2032
1698737041472,1916
1698737041480,1699
1698737041488,1479
1698737041496,1402
1698737041504,1295
1698737041512,1245
1698737041520,1247
1698737041528,1362
1698737041536,1445
1698737041544,1586
1698737041552,1645
1698737041560,1762
1698737041568,1891
1698737041576,1961
1698737041584,2064
1698737041592,2098
1698737041600,2156
1698737041608,2231
1698737041616,2266
1698737041624,2288
1698737041632,2276
1698737041640,2239
1698737041648,2210
1698737041656,2208
1698737041664,2177
1698737041672,2155
1698737041680,2128
1698737041688,2129
1698737041696,2128
1698737041704,2112
1698737041712,2079
1698737041720,2013
1698737041728,1979
1698737041736,1962
1698737041744,1902
1698737041752,1861
1698737041760,1795
1698737041768,1757
1698737041776,1749
1698737041784,1712
1698737041792,1673
1698737041800,1619
1698737041808,1621
1698737041816,1630
1698737041824,1637
1698737041832,1632
1698737041840,1648
1698737041848,1703
1698737041856,1753
1698737041864,1839
1698737041872,1859
1698737041880,1938
1698737041888,2011
1698737041896,2042
1698737041904,2071
1698737041912,2054
1698737041920,2032
1698737041928,2071
1698737041936,2105
1698737041944,2192
1698737041952,2249
1698737041960,2338
1698737041968,2393
1698737041976,2407
1698737041984,2362
1698737041992,2303
1698737042000,2178
1698737042008,2086
1698737042016,2066
1698737042024,2076
1698737042032,2085
1698737042040,2092
1698737042048,2042
1698737042056,1980
1698737042064,1882
1698737042072,1840
1698737042080,1840
1698737042088,1842
1698737042096,1887
1698737042104,1933
1698737042112,1951
1698737042120,2013
1698737042128,2047
1698737042136,2155
1698737042144,2271
1698737042152,2330
1698737042160,2454
1698737042168,2482
1698737042176,2512
1698737042184,2476
1698737042192,2416
1698737042200,2313
1698737042208,2237
1698737042216,2094
1698737042224,1975
1698737042232,1937
1698737042240,1910
1698737042248,1888
1698737042256,1894
1698737042264,1933
1698737042272,1957
1698737042280,2032
1698737042288,2086
1698737042296,2099
1698737042304,2138
1698737042312,2155
1698737042320,2209
1698737042328,2220
1698737042336,2266
1698737042344,2317
1698737042352,2342
1698737042360,2397
1698737042368,2389
1698737042376,2359
1698737042384,2308
1698737042392,2282
1698737042400,2256
1698737042408,2234
1698737042416,2215
1698737042424,2193
1698737042432,2174
1698737042440,2090
1698737042448,1999
1698737042456,1808
1698737042464,1609
1698737042472,1482
1698737042480,1296
1698737042488,1232
