time,value
1698719401000,1840
1698719401008,1901
1698719401016,1929
1698719401024,1987
1698719401032,2020
1698719401040,2046
1698719401048,2101
1698719401056,2128
1698719401064,2168
1698719401072,2188
1698719401080,2213
1698719401088,2224
1698719401096,2230
1698719401104,2224
1698719401112,2209
1698719401120,2193
1698719401128,2149
1698719401136,2118
1698719401144,2046
1698719401152,2007
1698719401160,1967
1698719401168,1886
1698719401176,1852
1698719401184,1774
1698719401192,1733
1698719401200,1699
1698719401208,1648
1698719401216,1631
1698719401224,1611
1698719401232,1608
1698719401240,1615
1698719401248,1648
1698719401256,1673
1698719401264,1732
1698719401272,1774
1698719401280,1821
1698719401288,1904
1698719401296,1945
1698719401304,2031
1698719401312,2075
1698719401320,2116
1698719401328,2185
1698719401336,2207
1698719401344,2234
1698719401352,2245
1698719401360,2241
1698719401368,2224
1698719401376,2213
1698719401384,2157
1698719401392,2113
1698719401400,2073
1698719401408,1979
1698719401416,1920
1698719401424,1820
1698719401432,1756
1698719401440,1694
1698719401448,1587
1698719401456,1528
1698719401464,1435
1698719401472,1392
1698719401480,1355
1698719401488,1287
1698719401496,1264
1698719401504,1225
1698719401512,1210
1698719401520,1200
1698719401528,1205
1698719401536,1207
1698719401544,1216
1698719401552,1229
1698719401560,1242
1698719401568,1270
1698719401576,1295
1698719401584,1321
1698719401592,1331
1698719401600,1351
1698719401608,1371
1698719401616,1392
1698719401624,1423
1698719401632,1435
1698719401640,1450
1698719401648,1470
1698719401656,1483
1698719401664,1508
1698719401672,1520
1698719401680,1546
1698719401688,1570
1698719401696,1579
1698719401704,1596
1698719401712,1612
1698719401720,1618
1698719401728,1641
1698719401736,1650
1698719401744,1664
1698719401752,1671
1698719401760,1678
1698719401768,1682
1698719401776,1689
1698719401784,1686
1698719401792,1678
1698719401800,1678
1698719401808,1673
1698719401816,1667
1698719401824,1668
1698719401832,1664
1698719401840,1657
1698719401848,1638
1698719401856,1630
1698719401864,1616
1698719401872,1615
1698719401880,1617
1698719401888,1636
1698719401896,1641
1698719401904,1683
1698719401912,1710
1698719401920,1738
1698719401928,1795
1698719401936,1819
1698719401944,1858
1698719401952,1881
1698719401960,1903
1698719401968,1931
1698719401976,1946
1698719401984,1956
1698719401992,1947
1698719402000,1931
1698719402008,1894
1698719402016,1862
1698719402024,1791
1698719402032,1742
1698719402040,1684
1698719402048,1572
1698719402056,1510
1698719402064,1395
1698719402072,1341
1698719402080,1289
1698719402088,1200
1698719402096,1151
1698719402104,1085
1698719402112,1057
1698719402120,1038
1698719402128,1018
1698719402136,1023
1698719402144,1056
1698719402152,1082
1698719402160,1120
1698719402168,1210
1698719402176,1326
1698719402184,1392
1698719402192,1455
1698719402200,1523
1698719402208,1666
1698719402216,1742
1698719402224,1874
1698719402232,1936
1698719402240,1999
1698719402248,2096
1698719402256,2139
1698719402264,2199
1698719402272,2223
1698719402280,2244
1698719402288,2255
1698719402296,2243
1698719402304,2219
1698719402312,2193
1698719402320,2163
1698719402328,2109
1698719402336,2065
1698719402344,1975
1698719402352,1934
1698719402360,1894
1698719402368,1805
1698719402376,1766
1698719402384,1694
1698719402392,1650
1698719402400,1621
1698719402408,1571
1698719402416,1529
1698719402424,1518
1698719402432,1501
1698719402440,1488
1698719402448,1471
1698719402456,1461
1698719402464,1452
1698719402472,1447
1698719402480,1445
1698719402488,1433
1698719402496,1422
1698719402504,1405
1698719402512,1401
1698719402520,1392
1698719402528,1387
1698719402536,1383
1698719402544,1371
1698719402552,1365
1698719402560,1363
1698719402568,1366
1698719402576,1373
1698719402584,1380
1698719402592,1381
1698719402600,1392
1698719402608,1402
1698719402616,1413
1698719402624,1430
1698719402632,1435
1698719402640,1439
1698719402648,1440
1698719402656,1439
1698719402664,1435
1698719402672,1431
1698719402680,1426
1698719402688,1409
1698719402696,1392
1698719402704,1349
1698719402712,1328
1698719402720,1297
1698719402728,1259
1698719402736,1232
1698719402744,1201
1698719402752,1200
1698719402760,1216
1698719402768,1233
1698719402776,1292
1698719402784,1326
1698719402792,1359
1698719402800,1401
1698719402808,1488
1698719402816,1549
1698719402824,1646
1698719402832,1696
1698719402840,1745
1698719402848,1821
1698719402856,1851
1698719402864,1899
1698719402872,1905
1698719402880,1917
1698719402888,1887
1698719402896,1859
