time,value
1699424461000,1402
1699424461008,1374
1699424461016,1364
1699424461024,1347
1699424461032,1328
1699424461040,1327
1699424461048,1303
1699424461056,1280
1699424461064,1262
1699424461072,1230
1699424461080,1212
1699424461088,1184
1699424461096,1167
1699424461104,1132
1699424461112,1099
1699424461120,1087
1699424461128,1067
1699424461136,1049
1699424461144,1038
1699424461152,1017
1699424461160,1011
1699424461168,1013
1699424461176,1016
1699424461184,1039
1699424461192,1065
1699424461200,1081
1699424461208,1109
1699424461216,1135
1699424461224,1168
1699424461232,1215
1699424461240,1243
1699424461248,1294
1699424461256,1314
1699424461264,1368
1699424461272,1424
1699424461280,1450
1699424461288,1497
1699424461296,1511
1699424461304,1517
1699424461312,1508
1699424461320,1496
1699424461328,1454
1699424461336,1426
1699424461344,1360
1699424461352,1279
1699424461360,1239
1699424461368,1163
1699424461376,1127
1699424461384,1066
1699424461392,1017
1699424461400,1005
1699424461408,999
1699424461416,1003
1699424461424,1038
1699424461432,1085
1699424461440,1115
1699424461448,1178
1699424461456,1206
1699424461464,1274
1699424461472,1329
1699424461480,1351
1699424461488,1389
1699424461496,1402
1699424461504,1414
1699424461512,1419
1699424461520,1414
1699424461528,1407
1699424461536,1397
1699424461544,1392
1699424461552,1387
1699424461560,1367
1699424461568,1360
1699424461576,1360
1699424461584,1371
1699424461592,1388
1699424461600,1393
1699424461608,1425
1699424461616,1447
1699424461624,1498
1699424461632,1558
1699424461640,1584
1699424461648,1655
1699424461656,1694
1699424461664,1773
1699424461672,1854
1699424461680,1888
1699424461688,1939
1699424461696,1967
1699424461704,2000
1699424461712,2018
1699424461720,2017
1699424461728,2006
1699424461736,1991
1699424461744,1939
1699424461752,1886
1699424461760,1854
1699424461768,1787
1699424461776,1765
1699424461784,1706
1699424461792,1647
1699424461800,1623
1699424461808,1590
1699424461816,1578
1699424461824,1567
1699424461832,1567
1699424461840,1563
1699424461848,1581
1699424461856,1600
1699424461864,1614
1699424461872,1634
1699424461880,1643
1699424461888,1653
1699424461896,1662
1699424461904,1681
1699424461912,1702
1699424461920,1712
1699424461928,1743
1699424461936,1747
1699424461944,1750
1699424461952,1745
1699424461960,1741
1699424461968,1718
1699424461976,1696
1699424461984,1644
1699424461992,1574
1699424462000,1535
1699424462008,1470
1699424462016,1407
1699424462024,1391
1699424462032,1355
1699424462040,1334
1699424462048,1331
1699424462056,1340
1699424462064,1370
1699424462072,1435
1699424462080,1472
1699424462088,1551
1699424462096,1597
1699424462104,1680
1699424462112,1761
1699424462120,1794
1699424462128,1856
1699424462136,1873
1699424462144,1897
1699424462152,1904
1699424462160,1901
1699424462168,1889
1699424462176,1887
1699424462184,1869
1699424462192,1842
1699424462200,1839
1699424462208,1827
1699424462216,1829
1699424462224,1840
1699424462232,1850
1699424462240,1851
1699424462248,1867
1699424462256,1875
1699424462264,1891
1699424462272,1920
1699424462280,1925
1699424462288,1936
1699424462296,1939
1699424462304,1958
1699424462312,1979
1699424462320,1989
1699424462328,2016
1699424462336,2019
1699424462344,2042
1699424462352,2066
1699424462360,2077
1699424462368,2096
1699424462376,2101
1699424462384,2127
1699424462392,2126
1699424462400,2130
1699424462408,2129
1699424462416,2129
1699424462424,2131
1699424462432,2114
1699424462440,2111
1699424462448,2099
1699424462456,2091
1699424462464,2074
1699424462472,2062
1699424462480,2064
1699424462488,2042
1699424462496,2045
1699424462504,2055
1699424462512,2065
1699424462520,2074
1699424462528,2106
1699424462536,2115
1699424462544,2137
1699424462552,2167
1699424462560,2189
1699424462568,2229
1699424462576,2253
1699424462584,2307
1699424462592,2345
1699424462600,2367
1699424462608,2401
1699424462616,2414
1699424462624,2432
1699424462632,2418
1699424462640,2400
1699424462648,2352
1699424462656,2323
1699424462664,2256
1699424462672,2194
1699424462680,2153
1699424462688,2095
1699424462696,2046
1699424462704,2032
1699424462712,2032
1699424462720,2037
1699424462728,2091
1699424462736,2118
1699424462744,2179
1699424462752,2258
1699424462760,2303
1699424462768,2383
1699424462776,2423
1699424462784,2480
1699424462792,2499
1699424462800,2529
1699424462808,2534
1699424462816,2530
1699424462824,2513
1699424462832,2499
1699424462840,2455
1699424462848,2416
1699424462856,2400
1699424462864,2363
1699424462872,2339
1699424462880,2327
