time,value
1699424461000,79
1699424461008,47
1699424461016,33
1699424461024,6
1699424461032,0
1699424461040,0
1699424461048,0
1699424461056,0
1699424461064,0
1699424461072,0
1699424461080,0
1699424461088,0
1699424461096,0
1699424461104,0
1699424461112,0
1699424461120,0
1699424461128,63
1699424461136,190
1699424461144,613
1699424461152,970
1699424461160,1200
1699424461168,1650
1699424461176,1850
1699424461184,2259
1699424461192,2629
1699424461200,2790
1699424461208,3081
1699424461216,3214
1699424461224,3477
1699424461232,3751
1699424461240,3887
1699424461248,4095
1699424461256,4095
1699424461264,4095
1699424461272,4095
1699424461280,4095
1699424461288,4095
1699424461296,3931
1699424461304,3198
1699424461312,2692
1699424461320,2478
1699424461328,2103
1699424461336,1933
1699424461344,1648
1699424461352,1378
1699424461360,1267
1699424461368,1070
1699424461376,971
1699424461384,816
1699424461392,681
1699424461400,619
1699424461408,508
1699424461416,624
1699424461424,960
1699424461432,1509
1699424461440,1773
1699424461448,2212
1699424461456,2395
1699424461464,2773
1699424461472,3079
1699424461480,3216
1699424461488,3267
1699424461496,3139
1699424461504,2675
1699424461512,2461
1699424461520,2087
1699424461528,1759
1699424461536,1617
1699424461544,1400
1699424461552,1374
1699424461560,1415
1699424461568,1667
1699424461576,2186
1699424461584,2459
1699424461592,2786
1699424461600,2940
1699424461608,3233
1699424461616,3362
1699424461624,3641
1699424461632,3908
1699424461640,4041
1699424461648,4095
1699424461656,4095
1699424461664,4095
1699424461672,4095
1699424461680,4095
1699424461688,4095
1699424461696,4095
1699424461704,4095
1699424461712,4095
1699424461720,3757
1699424461728,3098
1699424461736,2837
1699424461744,2399
1699424461752,2033
1699424461760,1874
1699424461768,1586
1699424461776,1462
1699424461784,1234
1699424461792,1037
1699424461800,944
1699424461808,789
1699424461816,721
1699424461824,605
1699424461832,727
1699424461840,925
1699424461848,1471
1699424461856,1882
1699424461864,1979
1699424461872,2064
1699424461880,2037
1699424461888,2147
1699424461896,2271
1699424461904,2457
1699424461912,2661
1699424461920,2645
1699424461928,2548
1699424461936,2445
1699424461944,2095
1699424461952,1763
1699424461960,1617
1699424461968,1365
1699424461976,1251
1699424461984,1046
1699424461992,869
1699424462000,789
1699424462008,657
1699424462016,543
1699424462024,494
1699424462032,403
1699424462040,363
1699424462048,566
1699424462056,819
1699424462064,1393
1699424462072,1895
1699424462080,2119
1699424462088,2496
1699424462096,2670
1699424462104,2977
1699424462112,3264
1699424462120,3398
1699424462128,3664
1699424462136,3795
1699424462144,4071
1699424462152,3762
1699424462160,3437
1699424462168,2879
1699424462176,2657
1699424462184,2250
1699424462192,2094
1699424462200,2119
1699424462208,2350
1699424462216,2508
1699424462224,2751
1699424462232,3002
1699424462240,3043
1699424462248,3120
1699424462256,3146
1699424462264,3056
1699424462272,3046
1699424462280,2998
1699424462288,2970
1699424462296,3007
1699424462304,2981
1699424462312,3067
1699424462320,3061
1699424462328,3130
1699424462336,3170
1699424462344,3143
1699424462352,3158
1699424462360,3090
1699424462368,2960
1699424462376,2899
1699424462384,2666
1699424462392,2480
1699424462400,2342
1699424462408,2115
1699424462416,2013
1699424462424,1781
1699424462432,1655
1699424462440,1565
1699424462448,1439
1699424462456,1414
1699424462464,1343
1699424462472,1463
1699424462480,1535
1699424462488,1835
1699424462496,2213
