time,value
1699423801000,2960
1699423801008,2959
1699423801016,2946
1699423801024,2944
1699423801032,2935
1699423801040,2939
1699423801048,2939
1699423801056,2930
1699423801064,2931
1699423801072,2941
1699423801080,2951
1699423801088,2969
1699423801096,2981
1699423801104,2982
1699423801112,3003
1699423801120,3019
1699423801128,3022
1699423801136,3042
1699423801144,3051
1699423801152,3041
1699423801160,3041
1699423801168,3040
1699423801176,3030
1699423801184,3026
1699423801192,3023
1699423801200,2993
1699423801208,2990
1699423801216,2969
1699423801224,2960
1699423801232,2943
1699423801240,2928
1699423801248,2929
1699423801256,2913
1699423801264,2907
1699423801272,2906
1699423801280,2906
1699423801288,2906
1699423801296,2923
1699423801304,2918
1699423801312,2928
1699423801320,2942
1699423801328,2951
1699423801336,2971
1699423801344,2977
1699423801352,2990
1699423801360,3015
1699423801368,3026
1699423801376,3058
1699423801384,3078
1699423801392,3097
1699423801400,3098
1699423801408,3095
1699423801416,3067
1699423801424,3045
1699423801432,2990
1699423801440,2915
1699423801448,2869
1699423801456,2771
1699423801464,2719
1699423801472,2613
1699423801480,2497
1699423801488,2394
1699423801496,2349
1699423801504,2305
1699423801512,2237
1699423801520,2186
1699423801528,2173
1699423801536,2162
1699423801544,2165
1699423801552,2191
1699423801560,2234
1699423801568,2259
1699423801576,2320
1699423801584,2352
1699423801592,2415
1699423801600,2463
1699423801608,2486
1699423801616,2512
1699423801624,2515
1699423801632,2511
1699423801640,2481
1699423801648,2457
1699423801656,2411
1699423801664,2378
1699423801672,2320
1699423801680,2265
1699423801688,2245
1699423801696,2191
1699423801704,2176
1699423801712,2145
1699423801720,2129
1699423801728,2127
1699423801736,2128
1699423801744,2128
1699423801752,2123
1699423801760,2121
1699423801768,2117
1699423801776,2102
1699423801784,2087
1699423801792,2061
1699423801800,1998
1699423801808,1968
1699423801816,1905
1699423801824,1873
1699423801832,1808
1699423801840,1750
1699423801848,1723
1699423801856,1665
1699423801864,1637
1699423801872,1610
1699423801880,1583
1699423801888,1579
1699423801896,1551
1699423801904,1535
1699423801912,1525
1699423801920,1513
1699423801928,1506
1699423801936,1488
1699423801944,1477
1699423801952,1441
1699423801960,1407
1699423801968,1387
1699423801976,1343
1699423801984,1296
1699423801992,1279
1699423802000,1223
1699423802008,1201
1699423802016,1157
1699423802024,1133
1699423802032,1090
1699423802040,1055
1699423802048,1040
1699423802056,994
1699423802064,977
1699423802072,954
1699423802080,930
1699423802088,919
1699423802096,899
1699423802104,883
1699423802112,867
1699423802120,848
1699423802128,844
1699423802136,832
1699423802144,823
1699423802152,807
1699423802160,802
1699423802168,800
1699423802176,799
1699423802184,799
1699423802192,814
1699423802200,816
1699423802208,823
1699423802216,839
1699423802224,848
1699423802232,863
1699423802240,882
1699423802248,891
1699423802256,899
1699423802264,912
1699423802272,922
1699423802280,935
1699423802288,946
1699423802296,959
1699423802304,959
1699423802312,976
1699423802320,977
1699423802328,987
1699423802336,1007
1699423802344,1012
1699423802352,1019
1699423802360,1040
1699423802368,1040
1699423802376,1053
1699423802384,1057
1699423802392,1075
1699423802400,1090
1699423802408,1104
1699423802416,1135
1699423802424,1150
1699423802432,1178
1699423802440,1203
1699423802448,1215
1699423802456,1216
1699423802464,1215
1699423802472,1201
1699423802480,1171
1699423802488,1159
1699423802496,1111
1699423802504,1078
1699423802512,1015
1699423802520,960
1699423802528,929
1699423802536,881
1699423802544,858
1699423802552,817
1699423802560,795
1699423802568,789
1699423802576,794
1699423802584,803
1699423802592,837
1699423802600,881
1699423802608,912
1699423802616,983
1699423802624,1030
1699423802632,1113
1699423802640,1201
1699423802648,1243
1699423802656,1317
1699423802664,1355
1699423802672,1415
1699423802680,1465
1699423802688,1489
1699423802696,1522
1699423802704,1531
1699423802712,1558
1699423802720,1584
1699423802728,1592
1699423802736,1621
1699423802744,1635
1699423802752,1662
1699423802760,1701
1699423802768,1726
1699423802776,1770
1699423802784,1807
1699423802792,1847
1699423802800,1881
1699423802808,1903
1699423802816,1933
1699423802824,1947
1699423802832,1966
1699423802840,1985
1699423802848,1988
1699423802856,1990
1699423802864,1995
1699423802872,2002
1699423802880,2021
1699423802888,2037
1699423802896,2070
1699423802904,2078
1699423802912,2115
1699423802920,2160
1699423802928,2203
1699423802936,2235
1699423802944,2255
1699423802952,2288
1699423802960,2320
1699423802968,2337
1699423802976,2359
1699423802984,2368
1699423802992,2385
1699423803000,2383
1699423803008,2383
1699423803016,2375
1699423803024,2368
1699423803032,2359
1699423803040,2354
1699423803048,2349
1699423803056,2320
1699423803064,2313
1699423803072,2294
1699423803080,2276
1699423803088,2278
1699423803096,2261
1699423803104,2246
1699423803112,2240
1699423803120,2225
1699423803128,2224
1699423803136,2215
1699423803144,2211
1699423803152,2198
1699423803160,2190
1699423803168,2180
1699423803176,2164
1699423803184,2158
1699423803192,2146
1699423803200,2114
1699423803208,2106
1699423803216,2082
1699423803224,2070
1699423803232,2043
1699423803240,2023
1699423803248,2010
1699423803256,1991
1699423803264,1984
1699423803272,1967
1699423803280,1950
1699423803288,1941
1699423803296,1938
1699423803304,1927
1699423803312,1919
1699423803320,1910
1699423803328,1907
1699423803336,1903
1699423803344,1903
1699423803352,1895
1699423803360,1886
1699423803368,1878
1699423803376,1871
1699423803384,1867
1699423803392,1860
1699423803400,1855
1699423803408,1855
1699423803416,1854
1699423803424,1856
1699423803432,1861
1699423803440,1873
1699423803448,1891
1699423803456,1904
1699423803464,1911
1699423803472,1936
1699423803480,1966
1699423803488,1986
1699423803496,2015
1699423803504,2039
1699423803512,2083
1699423803520,2122
1699423803528,2138
1699423803536,2174
1699423803544,2176
1699423803552,2160
1699423803560,2143
1699423803568,2098
1699423803576,2066
1699423803584,1995
1699423803592,1911
1699423803600,1872
1699423803608,1786
1699423803616,1747
1699423803624,1680
1699423803632,1623
1699423803640,1604
1699423803648,1582
1699423803656,1575
1699423803664,1579
1699423803672,1607
1699423803680,1629
1699423803688,1684
1699423803696,1719
1699423803704,1793
1699423803712,1874
1699423803720,1917
1699423803728,2000
1699423803736,2031
1699423803744,2101
1699423803752,2151
1699423803760,2173
1699423803768,2201
1699423803776,2212
1699423803784,2225
1699423803792,2221
1699423803800,2219
1699423803808,2219
1699423803816,2222
1699423803824,2224
1699423803832,2239
1699423803840,2248
1699423803848,2273
1699423803856,2287
1699423803864,2320
1699423803872,2351
1699423803880,2373
1699423803888,2397
1699423803896,2398
1699423803904,2411
1699423803912,2409
1699423803920,2402
1699423803928,2394
1699423803936,2383
1699423803944,2349
1699423803952,2321
1699423803960,2311
1699423803968,2289
1699423803976,2284
1699423803984,2285
1699423803992,2278
1699423804000,2286
1699423804008,2305
1699423804016,2318
1699423804024,2349
1699423804032,2385
1699423804040,2397
1699423804048,2429
1699423804056,2443
1699423804064,2467
1699423804072,2486
1699423804080,2501
1699423804088,2512
1699423804096,2507
1699423804104,2505
1699423804112,2498
1699423804120,2493
1699423804128,2490
1699423804136,2482
1699423804144,2461
1699423804152,2448
1699423804160,2445
1699423804168,2430
1699423804176,2426
1699423804184,2426
1699423804192,2413
1699423804200,2411
1699423804208,2406
1699423804216,2410
1699423804224,2410
1699423804232,2418
1699423804240,2421
1699423804248,2415
1699423804256,2427
1699423804264,2441
1699423804272,2453
1699423804280,2471
1699423804288,2490
1699423804296,2491
1699423804304,2507
1699423804312,2525
1699423804320,2535
1699423804328,2557
1699423804336,2570
1699423804344,2574
1699423804352,2582
1699423804360,2585
1699423804368,2593
1699423804376,2599
1699423804384,2611
1699423804392,2613
1699423804400,2622
1699423804408,2634
1699423804416,2641
1699423804424,2662
1699423804432,2687
1699423804440,2691
1699423804448,2701
1699423804456,2710
1699423804464,2717
1699423804472,2723
1699423804480,2737
1699423804488,2743
1699423804496,2736
1699423804504,2742
1699423804512,2743
1699423804520,2745
1699423804528,2755
1699423804536,2757
1699423804544,2749
1699423804552,2751
1699423804560,2759
1699423804568,2767
1699423804576,2770
1699423804584,2800
1699423804592,2823
1699423804600,2838
1699423804608,2880
1699423804616,2902
1699423804624,2951
1699423804632,2992
1699423804640,3006
1699423804648,3014
1699423804656,3017
1699423804664,3002
1699423804672,2962
1699423804680,2949
1699423804688,2882
1699423804696,2833
1699423804704,2752
1699423804712,2669
1699423804720,2625
1699423804728,2551
1699423804736,2517
1699423804744,2454
1699423804752,2423
1699423804760,2415
1699423804768,2416
1699423804776,2423
1699423804784,2475
1699423804792,2526
1699423804800,2575
1699423804808,2655
1699423804816,2699
1699423804824,2791
1699423804832,2889
1699423804840,2927
1699423804848,2983
1699423804856,3007
1699423804864,3043
1699423804872,3062
1699423804880,3069
1699423804888,3055
1699423804896,3030
1699423804904,3002
1699423804912,2969
1699423804920,2953
1699423804928,2934
1699423804936,2925
1699423804944,2899
1699423804952,2897
1699423804960,2902
1699423804968,2914
1699423804976,2942
1699423804984,2949
1699423804992,2960
1699423805000,2967
1699423805008,2979
1699423805016,2983
1699423805024,2973
1699423805032,2962
1699423805040,2947
1699423805048,2903
1699423805056,2882
1699423805064,2831
1699423805072,2797
1699423805080,2775
1699423805088,2737
1699423805096,2723
1699423805104,2701
1699423805112,2686
1699423805120,2682
1699423805128,2689
1699423805136,2690
1699423805144,2690
1699423805152,2706
1699423805160,2713
1699423805168,2726
1699423805176,2730
1699423805184,2739
1699423805192,2749
1699423805200,2747
1699423805208,2743
1699423805216,2739
1699423805224,2726
1699423805232,2715
1699423805240,2703
1699423805248,2667
1699423805256,2655
1699423805264,2621
1699423805272,2589
1699423805280,2573
1699423805288,2534
1699423805296,2512
1699423805304,2480
1699423805312,2443
1699423805320,2423
1699423805328,2391
1699423805336,2381
1699423805344,2337
1699423805352,2302
1699423805360,2283
1699423805368,2247
1699423805376,2227
1699423805384,2187
1699423805392,2141
1699423805400,2119
1699423805408,2069
1699423805416,2043
1699423805424,1996
1699423805432,1950
1699423805440,1923
1699423805448,1863
1699423805456,1838
1699423805464,1783
1699423805472,1728
1699423805480,1682
1699423805488,1655
1699423805496,1622
1699423805504,1569
1699423805512,1509
1699423805520,1479
1699423805528,1429
1699423805536,1404
1699423805544,1341
1699423805552,1283
1699423805560,1259
1699423805568,1203
1699423805576,1152
1699423805584,1136
1699423805592,1088
1699423805600,1070
1699423805608,1030
1699423805616,1008
1699423805624,979
1699423805632,965
1699423805640,958
1699423805648,947
1699423805656,944
1699423805664,933
1699423805672,913
1699423805680,901
1699423805688,864
1699423805696,832
1699423805704,772
1699423805712,693
1699423805720,645
1699423805728,566
1699423805736,518
1699423805744,417
1699423805752,337
1699423805760,303
1699423805768,238
1699423805776,208
1699423805784,151
1699423805792,135
1699423805800,93
1699423805808,80
1699423805816,80
1699423805824,99
1699423805832,125
1699423805840,178
1699423805848,246
1699423805856,290
1699423805864,372
1699423805872,415
1699423805880,502
1699423805888,582
1699423805896,610
1699423805904,673
1699423805912,687
1699423805920,720
1699423805928,747
1699423805936,754
1699423805944,767
1699423805952,774
1699423805960,794
1699423805968,821
1699423805976,840
1699423805984,880
1699423805992,929
1699423806000,954
1699423806008,1015
1699423806016,1053
1699423806024,1115
1699423806032,1151
1699423806040,1206
1699423806048,1249
1699423806056,1267
1699423806064,1303
1699423806072,1322
1699423806080,1350
1699423806088,1363
1699423806096,1374
1699423806104,1395
1699423806112,1408
1699423806120,1439
1699423806128,1482
1699423806136,1505
1699423806144,1551
1699423806152,1577
1699423806160,1629
1699423806168,1683
1699423806176,1705
1699423806184,1773
1699423806192,1811
1699423806200,1835
1699423806208,1872
1699423806216,1887
1699423806224,1909
1699423806232,1927
1699423806240,1937
1699423806248,1936
1699423806256,1936
1699423806264,1930
1699423806272,1929
1699423806280,1926
1699423806288,1915
1699423806296,1904
1699423806304,1895
1699423806312,1890
1699423806320,1879
1699423806328,1877
1699423806336,1873
