time,value
1699423801000,2105
1699423801008,2128
1699423801016,2157
1699423801024,2154
1699423801032,2258
1699423801040,2313
1699423801048,2387
1699423801056,2505
1699423801064,2544
1699423801072,2722
1699423801080,2803
1699423801088,2894
1699423801096,2974
1699423801104,2961
1699423801112,2999
1699423801120,2887
1699423801128,2863
1699423801136,2757
1699423801144,2675
1699423801152,2587
1699423801160,2411
1699423801168,2365
1699423801176,2220
1699423801184,2128
1699423801192,2054
1699423801200,1918
1699423801208,1915
1699423801216,1887
1699423801224,1872
1699423801232,1955
1699423801240,1987
1699423801248,2073
1699423801256,2166
1699423801264,2203
1699423801272,2354
1699423801280,2435
1699423801288,2527
1699423801296,2658
1699423801304,2685
1699423801312,2789
1699423801320,2768
1699423801328,2813
1699423801336,2877
1699423801344,2918
1699423801352,3123
1699423801360,3275
1699423801368,3364
1699423801376,3342
1699423801384,3243
1699423801392,2967
1699423801400,2556
1699423801408,2352
1699423801416,1988
1699423801424,1829
1699423801432,1551
1699423801440,1302
1699423801448,1199
1699423801456,1005
1699423801464,913
1699423801472,767
1699423801480,640
1699423801488,532
1699423801496,475
1699423801504,432
1699423801512,351
1699423801520,284
1699423801528,253
1699423801536,386
1699423801544,581
1699423801552,1165
1699423801560,1694
1699423801568,1927
1699423801576,2341
1699423801584,2517
1699423801592,2847
1699423801600,3143
1699423801608,3122
1699423801616,2865
1699423801624,2643
1699423801632,2239
1699423801640,1891
1699423801648,1739
1699423801656,1460
1699423801664,1345
1699423801672,1126
1699423801680,944
1699423801688,865
1699423801696,720
1699423801704,656
1699423801712,694
1699423801720,957
1699423801728,1182
1699423801736,1459
1699423801744,1558
1699423801752,1669
1699423801760,1549
1699423801768,1461
1699423801776,1239
1699423801784,1135
1699423801792,944
1699423801800,782
1699423801808,709
1699423801816,589
1699423801824,530
1699423801832,432
1699423801840,354
1699423801848,318
1699423801856,249
1699423801864,221
1699423801872,247
1699423801880,400
1699423801888,591
1699423801896,789
1699423801904,976
1699423801912,1002
1699423801920,957
1699423801928,945
1699423801936,818
1699423801944,750
1699423801952,612
1699423801960,496
1699423801968,448
1699423801976,359
1699423801984,285
1699423801992,257
1699423802000,194
1699423802008,170
1699423802016,123
1699423802024,103
1699423802032,95
1699423802040,139
1699423802048,255
1699423802056,368
1699423802064,449
1699423802072,601
1699423802080,659
1699423802088,745
1699423802096,757
1699423802104,787
1699423802112,866
1699423802120,875
1699423802128,933
1699423802136,947
1699423802144,997
1699423802152,1135
1699423802160,1247
1699423802168,1357
1699423802176,1462
1699423802184,1552
1699423802192,1735
1699423802200,1839
1699423802208,1926
1699423802216,1954
1699423802224,1983
1699423802232,2033
1699423802240,2015
1699423802248,2047
1699423802256,1983
1699423802264,1983
1699423802272,1984
1699423802280,1931
1699423802288,1966
1699423802296,1904
1699423802304,1906
1699423802312,1946
1699423802320,1947
1699423802328,2011
1699423802336,2011
1699423802344,2029
1699423802352,2003
1699423802360,1914
1699423802368,1936
1699423802376,1906
1699423802384,1973
1699423802392,2179
1699423802400,2358
1699423802408,2490
1699423802416,2551
1699423802424,2576
1699423802432,2518
1699423802440,2310
1699423802448,2207
1699423802456,1877
1699423802464,1730
1699423802472,1454
1699423802480,1219
1699423802488,1122
1699423802496,933
1699423802504,848
1699423802512,705
1699423802520,585
1699423802528,530
1699423802536,433
1699423802544,390
1699423802552,313
1699423802560,368
1699423802568,502
1699423802576,1043
1699423802584,1328
1699423802592,1840
1699423802600,2260
1699423802608,2447
1699423802616,2783
1699423802624,2935
1699423802632,3217
1699423802640,3486
1699423802648,3619
1699423802656,3885
1699423802664,4020
1699423802672,4095
1699423802680,3856
1699423802688,3645
1699423802696,3166
1699423802704,3027
1699423802712,2853
1699423802720,2780
1699423802728,2831
1699423802736,2897
1699423802744,2999
1699423802752,3210
1699423802760,3428
1699423802768,3538
1699423802776,3627
1699423802784,3671
1699423802792,3631
1699423802800,3418
1699423802808,3341
1699423802816,2993
1699423802824,2873
1699423802832,2618
1699423802840,2419
1699423802848,2389
1699423802856,2290
1699423802864,2343
1699423802872,2485
1699423802880,2689
1699423802888,2822
1699423802896,3047
1699423802904,3197
1699423802912,3435
1699423802920,3617
1699423802928,3701
1699423802936,3647
1699423802944,3632
1699423802952,3480
1699423802960,3253
1699423802968,3163
1699423802976,2838
1699423802984,2733
1699423802992,2497
1699423803000,2272
1699423803008,2212
1699423803016,1995
1699423803024,1905
1699423803032,1822
1699423803040,1726
1699423803048,1717
1699423803056,1611
1699423803064,1616
1699423803072,1613
1699423803080,1627
1699423803088,1685
1699423803096,1695
1699423803104,1744
1699423803112,1805
1699423803120,1827
1699423803128,1859
1699423803136,1797
1699423803144,1806
1699423803152,1755
1699423803160,1680
1699423803168,1666
1699423803176,1531
1699423803184,1510
1699423803192,1439
1699423803200,1379
1699423803208,1389
1699423803216,1313
1699423803224,1328
1699423803232,1328
1699423803240,1342
1699423803248,1383
1699423803256,1371
1699423803264,1415
1699423803272,1465
1699423803280,1534
1699423803288,1599
1699423803296,1634
1699423803304,1690
1699423803312,1747
1699423803320,1781
1699423803328,1807
1699423803336,1743
1699423803344,1758
1699423803352,1715
1699423803360,1694
1699423803368,1710
1699423803376,1665
1699423803384,1696
1699423803392,1733
1699423803400,1812
1699423803408,1885
1699423803416,1971
1699423803424,2191
1699423803432,2253
1699423803440,2417
1699423803448,2508
1699423803456,2557
1699423803464,2636
1699423803472,2752
1699423803480,2951
1699423803488,3069
1699423803496,3278
1699423803504,3392
1699423803512,3437
1699423803520,3280
1699423803528,3153
1699423803536,2576
1699423803544,2191
1699423803552,1851
1699423803560,1701
1699423803568,1428
1699423803576,1311
1699423803584,1104
1699423803592,923
1699423803600,846
1699423803608,703
1699423803616,641
1699423803624,533
1699423803632,432
1699423803640,391
1699423803648,318
1699423803656,476
1699423803664,959
1699423803672,1517
1699423803680,1767
1699423803688,2207
1699423803696,2398
1699423803704,2741
1699423803712,3041
1699423803720,3184
1699423803728,3456
1699423803736,3577
1699423803744,3852
1699423803752,4095
1699423803760,3979
1699423803768,3408
1699423803776,3146
1699423803784,2722
1699423803792,2486
1699423803800,2438
1699423803808,2391
1699423803816,2458
1699423803824,2611
1699423803832,2855
1699423803840,2962
1699423803848,3169
1699423803856,3290
1699423803864,3361
1699423803872,3328
1699423803880,3268
1699423803888,2980
1699423803896,2847
1699423803904,2486
1699423803912,2154
1699423803920,1982
1699423803928,1685
1699423803936,1563
1699423803944,1392
1699423803952,1397
1699423803960,1446
1699423803968,1605
1699423803976,1761
1699423803984,2063
1699423803992,2402
1699423804000,2557
1699423804008,2832
1699423804016,2987
1699423804024,3152
1699423804032,3279
1699423804040,3285
1699423804048,3206
1699423804056,3180
1699423804064,2992
1699423804072,2820
1699423804080,2730
1699423804088,2475
1699423804096,2393
1699423804104,2181
1699423804112,2032
1699423804120,1967
1699423804128,1840
1699423804136,1839
1699423804144,1788
1699423804152,1840
1699423804160,1857
1699423804168,1875
1699423804176,1931
1699423804184,1972
1699423804192,2073
1699423804200,2111
1699423804208,2154
1699423804216,2210
1699423804224,2243
1699423804232,2352
1699423804240,2394
1699423804248,2463
1699423804256,2544
1699423804264,2619
1699423804272,2746
1699423804280,2791
1699423804288,2822
1699423804296,2855
1699423804304,2829
1699423804312,2816
1699423804320,2787
1699423804328,2714
1699423804336,2704
1699423804344,2608
1699423804352,2583
1699423804360,2551
1699423804368,2521
1699423804376,2554
1699423804384,2581
1699423804392,2672
1699423804400,2711
1699423804408,2790
1699423804416,2858
1699423804424,2873
1699423804432,2901
1699423804440,2873
1699423804448,2766
1699423804456,2704
1699423804464,2648
1699423804472,2625
1699423804480,2608
1699423804488,2540
1699423804496,2533
1699423804504,2448
1699423804512,2430
1699423804520,2407
1699423804528,2402
1699423804536,2438
1699423804544,2437
1699423804552,2526
1699423804560,2557
1699423804568,2690
1699423804576,2817
1699423804584,3071
1699423804592,3341
1699423804600,3472
1699423804608,3747
1699423804616,3884
1699423804624,3953
1699423804632,3659
1699423804640,3391
1699423804648,2896
1699423804656,2672
1699423804664,2267
1699423804672,1919
1699423804680,1774
1699423804688,1491
1699423804696,1365
1699423804704,1150
1699423804712,959
1699423804720,880
1699423804728,742
1699423804736,677
1699423804744,560
1699423804752,607
1699423804760,688
1699423804768,1221
1699423804776,1488
1699423804784,1979
1699423804792,2382
1699423804800,2559
1699423804808,2885
1699423804816,3030
1699423804824,3311
1699423804832,3575
1699423804840,3712
1699423804848,3980
1699423804856,4095
1699423804864,4095
1699423804872,3993
1699423804880,3609
1699423804888,3002
1699423804896,2752
1699423804904,2331
1699423804912,2066
1699423804920,1995
1699423804928,2091
1699423804936,2198
1699423804944,2411
1699423804952,2729
1699423804960,2847
1699423804968,3059
1699423804976,3206
1699423804984,3194
1699423804992,3152
1699423805000,3042
1699423805008,2768
1699423805016,2609
1699423805024,2225
1699423805032,1894
1699423805040,1744
1699423805048,1467
1699423805056,1346
1699423805064,1127
1699423805072,1057
1699423805080,1064
1699423805088,1244
1699423805096,1391
1699423805104,1631
1699423805112,1970
1699423805120,2096
1699423805128,2341
1699423805136,2465
1699423805144,2589
1699423805152,2734
1699423805160,2736
1699423805168,2729
1699423805176,2718
1699423805184,2570
1699423805192,2454
1699423805200,2347
1699423805208,2157
1699423805216,2074
1699423805224,1822
1699423805232,1671
1699423805240,1567
1699423805248,1419
1699423805256,1378
1699423805264,1232
1699423805272,1195
1699423805280,1143
1699423805288,1104
1699423805296,1103
1699423805304,1035
1699423805312,1056
1699423805320,1021
1699423805328,1013
1699423805336,1038
1699423805344,970
1699423805352,981
1699423805360,933
1699423805368,866
1699423805376,830
1699423805384,715
1699423805392,625
1699423805400,576
1699423805408,491
1699423805416,449
1699423805424,373
1699423805432,319
1699423805440,283
1699423805448,231
1699423805456,208
1699423805464,165
1699423805472,144
1699423805480,109
1699423805488,110
1699423805496,94
1699423805504,63
1699423805512,38
1699423805520,26
1699423805528,3
1699423805536,0
1699423805544,0
1699423805552,0
1699423805560,0
1699423805568,0
1699423805576,16
1699423805584,51
1699423805592,195
1699423805600,235
1699423805608,406
1699423805616,528
1699423805624,736
1699423805632,1056
1699423805640,1139
1699423805648,1283
1699423805656,1291
1699423805664,1134
1699423805672,951
1699423805680,865
1699423805688,720
1699423805696,651
1699423805704,532
1699423805712,432
1699423805720,394
1699423805728,312
1699423805736,275
1699423805744,209
1699423805752,160
1699423805760,139
1699423805768,96
1699423805776,73
1699423805784,43
1699423805792,32
1699423805800,2
1699423805808,0
1699423805816,0
1699423805824,317
1699423805832,624
1699423805840,1227
1699423805848,1742
1699423805856,1968
1699423805864,2370
1699423805872,2544
1699423805880,2880
1699423805888,3170
1699423805896,3179
1699423805904,2965
1699423805912,2768
1699423805920,2391
1699423805928,2112
1699423805936,2063
1699423805944,1983
1699423805952,2036
1699423805960,2231
1699423805968,2480
1699423805976,2650
1699423805984,2928
1699423805992,3221
1699423806000,3354
1699423806008,3622
1699423806016,3737
1699423806024,3755
1699423806032,3707
1699423806040,3490
1699423806048,3183
1699423806056,3057
1699423806064,2741
1699423806072,2642
1699423806080,2503
1699423806088,2427
1699423806096,2469
1699423806104,2535
1699423806112,2634
1699423806120,2851
1699423806128,3120
1699423806136,3248
1699423806144,3488
1699423806152,3629
1699423806160,3834
1699423806168,3867
1699423806176,3888
1699423806184,3686
1699423806192,3515
1699423806200,3386
1699423806208,3104
1699423806216,2985
1699423806224,2678
1699423806232,2555
1699423806240,2320
1699423806248,2094
1699423806256,2018
1699423806264,1833
1699423806272,1793
1699423806280,1742
1699423806288,1710
1699423806296,1726
1699423806304,1686
1699423806312,1701
1699423806320,1699
1699423806328,1696
1699423806336,1722
1699423806344,1667
1699423806352,1677
1699423806360,1630
1699423806368,1549
1699423806376,1520
1699423806384,1382
1699423806392,1358
1699423806400,1283
1699423806408,1214
1699423806416,1206
1699423806424,1126
1699423806432,1143
1699423806440,1168
1699423806448,1218
1699423806456,1275
1699423806464,1310
1699423806472,1375
1699423806480,1474
1699423806488,1583
1699423806496,1649
1699423806504,1710
1699423806512,1774
1699423806520,1857
1699423806528,1940
1699423806536,2000
1699423806544,2013
1699423806552,2064
1699423806560,2102
1699423806568,2155
1699423806576,2221
1699423806584,2256
1699423806592,2309
1699423806600,2343
1699423806608,2358
1699423806616,2399
1699423806624,2453
1699423806632,2576
1699423806640,2799
1699423806648,3059
1699423806656,3191
1699423806664,3269
1699423806672,3294
1699423806680,3167
1699423806688,2911
1699423806696,2750
1699423806704,2352
1699423806712,2166
1699423806720,1829
1699423806728,1551
1699423806736,1421
1699423806744,1191
1699423806752,1090
1699423806760,912
1699423806768,761
1699423806776,691
1699423806784,582
1699423806792,528
1699423806800,483
1699423806808,819
1699423806816,1099
1699423806824,1639
1699423806832,1881
1699423806840,2305
1699423806848,2656
1699423806856,2816
1699423806864,3117
1699423806872,3385
1699423806880,3518
1699423806888,3786
1699423806896,3919
1699423806904,4095
1699423806912,4095
1699423806920,4095
1699423806928,4095
1699423806936,3714
1699423806944,3105
1699423806952,2923
1699423806960,2639
1699423806968,2538
1699423806976,2557
1699423806984,2640
1699423806992,2771
1699423807000,3004
1699423807008,3280
1699423807016,3514
1699423807024,3610
1699423807032,3703
1699423807040,3733
1699423807048,3622
1699423807056,3509
1699423807064,3167
1699423807072,2878
1699423807080,2694
1699423807088,2412
1699423807096,2295
1699423807104,2079
1699423807112,2039
1699423807120,2011
1699423807128,2123
1699423807136,2209
1699423807144,2359
1699423807152,2495
1699423807160,2706
1699423807168,2914
1699423807176,3058
1699423807184,3099
1699423807192,3162
1699423807200,3154
1699423807208,3120
1699423807216,3086
1699423807224,2925
1699423807232,2899
1699423807240,2768
1699423807248,2672
1699423807256,2576
1699423807264,2529
1699423807272,2540
1699423807280,2512
1699423807288,2544
1699423807296,2557
1699423807304,2534
1699423807312,2559
1699423807320,2517
1699423807328,2494
1699423807336,2486
1699423807344,2418
1699423807352,2416
1699423807360,2431
1699423807368,2416
1699423807376,2510
1699423807384,2570
1699423807392,2630
1699423807400,2746
1699423807408,2780
1699423807416,2930
1699423807424,3014
1699423807432,3091
1699423807440,3217
1699423807448,3245
1699423807456,3376
1699423807464,3399
1699423807472,3440
1699423807480,3498
1699423807488,3470
1699423807496,3486
1699423807504,3367
1699423807512,3328
1699423807520,3210
1699423807528,3023
1699423807536,2937
1699423807544,2733
1699423807552,2666
1699423807560,2526
1699423807568,2450
1699423807576,2417
1699423807584,2365
1699423807592,2380
1699423807600,2418
1699423807608,2426
1699423807616,2558
1699423807624,2658
1699423807632,2755
1699423807640,2925
1699423807648,2963
1699423807656,3095
1699423807664,3105
1699423807672,3152
1699423807680,3255
1699423807688,3423
1699423807696,3539
1699423807704,3724
1699423807712,3795
1699423807720,3776
1699423807728,3435
1699423807736,3265
1699423807744,2800
1699423807752,2593
1699423807760,2197
1699423807768,2021
1699423807776,1717
1699423807784,1584
1699423807792,1305
1699423807800,1200
1699423807808,1005
1699423807816,843
1699423807824,769
1699423807832,646
1699423807840,591
1699423807848,478
1699423807856,511
1699423807864,625
1699423807872,1154
1699423807880,1433
1699423807888,1924
1699423807896,2333
1699423807904,2512
1699423807912,2845
1699423807920,2994
1699423807928,3278
1699423807936,3541
1699423807944,3677
1699423807952,3949
1699423807960,4084
1699423807968,3689
1699423807976,3093
1699423807984,2835
1699423807992,2393
1699423808000,2206
1699423808008,1865
1699423808016,1582
1699423808024,1445
1699423808032,1221
1699423808040,1114
1699423808048,1088
1699423808056,1247
1699423808064,1395
1699423808072,1543
1699423808080,1643
1699423808088,1735
1699423808096,1681
1699423808104,1653
1699423808112,1435
1699423808120,1325
1699423808128,1114
1699423808136,919
1699423808144,843
1699423808152,703
1699423808160,640
1699423808168,529
1699423808176,432
1699423808184,464
1699423808192,558
1699423808200,728
1699423808208,1079
1699423808216,1394
1699423808224,1580
1699423808232,1777
1699423808240,2001
1699423808248,2038
1699423808256,2064
1699423808264,2081
1699423808272,1934
1699423808280,1890
1699423808288,1739
1699423808296,1552
1699423808304,1488
1699423808312,1291
1699423808320,1222
1699423808328,1103
1699423808336,987
1699423808344,972
1699423808352,866
1699423808360,858
1699423808368,839
1699423808376,819
1699423808384,853
1699423808392,817
1699423808400,812
1699423808408,810
1699423808416,757
1699423808424,735
1699423808432,675
1699423808440,665
1699423808448,694
1699423808456,665
1699423808464,704
1699423808472,683
1699423808480,688
1699423808488,722
1699423808496,686
1699423808504,693
1699423808512,625
1699423808520,587
1699423808528,526
1699423808536,478
1699423808544,416
1699423808552,347
1699423808560,315
1699423808568,307
1699423808576,283
1699423808584,386
1699423808592,464
1699423808600,528
1699423808608,671
1699423808616,688
1699423808624,848
1699423808632,982
1699423808640,1097
1699423808648,1369
1699423808656,1450
1699423808664,1648
1699423808672,1600
1699423808680,1526
1699423808688,1304
1699423808696,1190
1699423808704,987
1699423808712,821
1699423808720,746
1699423808728,620
1699423808736,562
1699423808744,453
1699423808752,366
1699423808760,326
1699423808768,258
1699423808776,227
1699423808784,176
1699423808792,128
1699423808800,109
1699423808808,76
1699423808816,48
1699423808824,29
1699423808832,9
1699423808840,52
1699423808848,449
1699423808856,757
1699423808864,1344
1699423808872,1845
1699423808880,2078
1699423808888,2461
1699423808896,2526
1699423808904,2638
1699423808912,2423
1699423808920,2314
1699423808928,2112
1699423808936,1966
1699423808944,1833
1699423808952,1717
1699423808960,1733
1699423808968,1872
1699423808976,1933
1699423808984,2235
1699423808992,2483
1699423809000,2658
1699423809008,2935
1699423809016,3014
1699423809024,3238
1699423809032,3250
1699423809040,3248
1699423809048,3162
1699423809056,3024
1699423809064,2703
1699423809072,2535
1699423809080,2443
1699423809088,2284
1699423809096,2179
1699423809104,2182
1699423809112,2187
1699423809120,2263
1699423809128,2482
1699423809136,2568
1699423809144,2841
1699423809152,3085
1699423809160,3350
1699423809168,3459
1699423809176,3507
1699423809184,3714
1699423809192,3697
1699423809200,3714
1699423809208,3661
1699423809216,3530
1699423809224,3396
1699423809232,3117
1699423809240,3008
1699423809248,2802
1699423809256,2671
1699423809264,2550
1699423809272,2370
1699423809280,2336
1699423809288,2260
1699423809296,2190
1699423809304,2177
1699423809312,2075
1699423809320,2071
1699423809328,2087
1699423809336,2043
1699423809344,2096
1699423809352,2044
1699423809360,2064
1699423809368,2079
1699423809376,2032
1699423809384,2079
1699423809392,2015
1699423809400,2022
1699423809408,2032
1699423809416,1987
1699423809424,2016
1699423809432,1931
1699423809440,1918
1699423809448,1862
1699423809456,1790
1699423809464,1761
1699423809472,1625
1699423809480,1611
1699423809488,1563
1699423809496,1488
1699423809504,1519
1699423809512,1453
1699423809520,1473
1699423809528,1527
1699423809536,1517
1699423809544,1639
1699423809552,1690
1699423809560,1776
1699423809568,1957
1699423809576,2122
1699423809584,2223
1699423809592,2251
1699423809600,2299
1699423809608,2366
1699423809616,2374
1699423809624,2543
1699423809632,2645
1699423809640,2727
1699423809648,2800
1699423809656,2750
1699423809664,2667
1699423809672,2375
1699423809680,2192
1699423809688,1863
1699423809696,1707
1699423809704,1435
1699423809712,1315
1699423809720,1103
1699423809728,928
1699423809736,849
1699423809744,704
1699423809752,642
1699423809760,536
1699423809768,432
1699423809776,388
1699423809784,320
1699423809792,287
1699423809800,547
1699423809808,1105
1699423809816,1382
1699423809824,1883
1699423809832,2112
1699423809840,2495
1699423809848,2819
1699423809856,2969
1699423809864,3253
1699423809872,3381
1699423809880,3649
1699423809888,3918
1699423809896,4055
1699423809904,4095
1699423809912,4095
1699423809920,4095
1699423809928,3649
1699423809936,3338
1699423809944,3019
1699423809952,2911
1699423809960,2778
1699423809968,2864
1699423809976,2903
1699423809984,3139
1699423809992,3260
1699423810000,3511
1699423810008,3786
1699423810016,3824
1699423810024,3902
1699423810032,3828
1699423810040,3526
1699423810048,3248
1699423810056,3034
1699423810064,2725
1699423810072,2557
1699423810080,2233
1699423810088,2075
1699423810096,1969
1699423810104,1986
1699423810112,2009
1699423810120,2101
1699423810128,2323
1699423810136,2399
1699423810144,2654
1699423810152,2766
1699423810160,2928
1699423810168,3109
1699423810176,3120
1699423810184,3216
1699423810192,3217
1699423810200,3131
1699423810208,3085
1699423810216,2979
1699423810224,2911
1699423810232,2848
1699423810240,2689
1699423810248,2603
1699423810256,2510
1699423810264,2457
1699423810272,2414
1699423810280,2336
1699423810288,2329
1699423810296,2286
1699423810304,2320
1699423810312,2320
1699423810320,2315
1699423810328,2412
1699423810336,2409
1699423810344,2542
1699423810352,2602
1699423810360,2718
1699423810368,2928
1699423810376,2989
1699423810384,3237
1699423810392,3329
1699423810400,3456
1699423810408,3573
1699423810416,3529
1699423810424,3572
1699423810432,3538
1699423810440,3447
1699423810448,3414
1699423810456,3342
1699423810464,3344
1699423810472,3312
1699423810480,3264
1699423810488,3278
1699423810496,3231
1699423810504,3279
1699423810512,3253
1699423810520,3169
1699423810528,3119
1699423810536,3019
1699423810544,2943
1699423810552,2867
1699423810560,2726
1699423810568,2650
1699423810576,2569
1699423810584,2551
1699423810592,2512
1699423810600,2450
1699423810608,2490
1699423810616,2481
1699423810624,2629
1699423810632,2671
1699423810640,2736
1699423810648,2832
1699423810656,2851
1699423810664,3024
1699423810672,3119
1699423810680,3345
1699423810688,3600
1699423810696,3728
1699423810704,4015
1699423810712,4095
1699423810720,4012
1699423810728,3510
1699423810736,3247
1699423810744,2735
1699423810752,2512
1699423810760,2133
1699423810768,1806
1699423810776,1663
1699423810784,1408
1699423810792,1295
1699423810800,1087
1699423810808,903
1699423810816,830
1699423810824,690
1699423810832,635
1699423810840,528
1699423810848,430
1699423810856,570
1699423810864,995
1699423810872,1285
1699423810880,1806
1699423810888,2240
1699423810896,2419
1699423810904,2767
1699423810912,2919
1699423810920,3207
1699423810928,3475
1699423810936,3613
1699423810944,3881
1699423810952,4016
1699423810960,3947
1699423810968,3417
1699423810976,3131
1699423810984,2643
1699423810992,2431
1699423811000,2057
1699423811008,1791
1699423811016,1701
1699423811024,1783
1699423811032,1840
1699423811040,2015
1699423811048,2223
1699423811056,2279
1699423811064,2465
1699423811072,2467
1699423811080,2439
1699423811088,2305
1699423811096,2176
1699423811104,1927
1699423811112,1627
1699423811120,1494
1699423811128,1267
1699423811136,1163
1699423811144,970
1699423811152,886
1699423811160,784
1699423811168,866
1699423811176,944
1699423811184,1290
1699423811192,1430
1699423811200,1773
1699423811208,2097
1699423811216,2207
1699423811224,2497
1699423811232,2581
1699423811240,2695
1699423811248,2731
1699423811256,2672
1699423811264,2614
1699423811272,2510
1699423811280,2317
1699423811288,2114
1699423811296,1982
1699423811304,1811
1699423811312,1322
1699423811320,1239
1699423811328,1185
1699423811336,1120
1699423811344,1069
1699423811352,1014
1699423811360,976
1699423811368,1007
1699423811376,971
1699423811384,939
1699423811392,887
1699423811400,851
1699423811408,830
1699423811416,720
1699423811424,674
1699423811432,529
1699423811440,481
1699423811448,423
1699423811456,374
1699423811464,310
1699423811472,278
1699423811480,253
1699423811488,215
1699423811496,193
1699423811504,147
1699423811512,110
1699423811520,87
1699423811528,54
1699423811536,39
1699423811544,16
1699423811552,0
1699423811560,0
1699423811568,0
1699423811576,0
1699423811584,0
1699423811592,0
1699423811600,123
1699423811608,279
1699423811616,426
1699423811624,698
1699423811632,1074
1699423811640,1203
1699423811648,1507
1699423811656,1622
1699423811664,1647
1699423811672,1517
1699423811680,1399
1699423811688,1168
1699423811696,971
1699423811704,883
1699423811712,734
1699423811720,667
1699423811728,552
1699423811736,497
1699423811744,399
1699423811752,320
1699423811760,289
1699423811768,223
1699423811776,198
1699423811784,146
1699423811792,102
1699423811800,83
1699423811808,51
1699423811816,38
1699423811824,13
1699423811832,227
1699423811840,491
1699423811848,1104
1699423811856,1379
1699423811864,1883
1699423811872,2294
1699423811880,2478
1699423811888,2806
1699423811896,2852
1699423811904,2681
1699423811912,2293
1699423811920,2102
1699423811928,1774
1699423811936,1491
1699423811944,1362
1699423811952,1154
1699423811960,1057
1699423811968,944
1699423811976,976
1699423811984,1257
1699423811992,1694
1699423812000,1870
1699423812008,2275
1699423812016,2448
1699423812024,2672
1699423812032,2829
1699423812040,2803
1699423812048,2736
1699423812056,2640
1699423812064,2320
1699423812072,2197
1699423812080,1917
1699423812088,1682
1699423812096,1620
1699423812104,1514
1699423812112,1634
1699423812120,1709
1699423812128,1969
1699423812136,2155
1699423812144,2481
1699423812152,2659
1699423812160,2983
1699423812168,3255
1699423812176,3386
1699423812184,3654
1699423812192,3789
1699423812200,4061
1699423812208,4095
1699423812216,4095
1699423812224,3909
1699423812232,3775
1699423812240,3430
1699423812248,3125
1699423812256,3002
1699423812264,2686
1699423812272,2574
1699423812280,2335
1699423812288,2139
1699423812296,2073
1699423812304,1899
1699423812312,1853
1699423812320,1796
1699423812328,1797
1699423812336,1823
1699423812344,1824
1699423812352,1879
1699423812360,1959
1699423812368,2023
1699423812376,2083
1699423812384,2071
1699423812392,2109
1699423812400,2103
1699423812408,2112
1699423812416,2118
1699423812424,2037
1699423812432,2031
1699423812440,1936
1699423812448,1829
1699423812456,1792
1699423812464,1617
1699423812472,1570
1699423812480,1419
1699423812488,1282
1699423812496,1233
1699423812504,1098
1699423812512,1085
1699423812520,1042
1699423812528,1067
1699423812536,1111
1699423812544,1178
1699423812552,1287
1699423812560,1491
1699423812568,1747
1699423812576,1893
