time,value
1699423800000,1959
1699423800008,1969
1699423800016,1975
1699423800024,1985
1699423800032,2003
1699423800040,2009
1699423800048,2007
1699423800056,2018
1699423800064,2027
1699423800072,2036
1699423800080,2055
1699423800088,2061
1699423800096,2064
1699423800104,2070
1699423800112,2081
1699423800120,2086
1699423800128,2094
1699423800136,2109
1699423800144,2106
1699423800152,2113
1699423800160,2122
1699423800168,2121
1699423800176,2141
1699423800184,2146
1699423800192,2150
1699423800200,2155
1699423800208,2160
1699423800216,2163
1699423800224,2170
1699423800232,2178
1699423800240,2180
1699423800248,2175
1699423800256,2175
1699423800264,2173
1699423800272,2171
1699423800280,2176
1699423800288,2170
1699423800296,2179
1699423800304,2169
1699423800312,2176
1699423800320,2175
1699423800328,2179
1699423800336,2185
1699423800344,2187
1699423800352,2195
1699423800360,2204
1699423800368,2218
1699423800376,2224
1699423800384,2229
1699423800392,2243
1699423800400,2251
1699423800408,2265
1699423800416,2271
1699423800424,2278
1699423800432,2288
1699423800440,2291
1699423800448,2297
1699423800456,2297
1699423800464,2299
1699423800472,2294
1699423800480,2289
1699423800488,2282
1699423800496,2273
1699423800504,2262
1699423800512,2240
1699423800520,2227
1699423800528,2197
1699423800536,2189
1699423800544,2155
1699423800552,2133
1699423800560,2114
1699423800568,2079
1699423800576,2031
1699423800584,2010
1699423800592,1984
1699423800600,1959
1699423800608,1941
1699423800616,1923
1699423800624,1910
1699423800632,1893
1699423800640,1871
1699423800648,1851
1699423800656,1839
1699423800664,1833
1699423800672,1815
1699423800680,1808
1699423800688,1802
1699423800696,1791
1699423800704,1787
1699423800712,1782
1699423800720,1776
1699423800728,1778
1699423800736,1772
1699423800744,1774
1699423800752,1776
1699423800760,1776
1699423800768,1778
1699423800776,1787
1699423800784,1797
1699423800792,1803
1699423800800,1811
1699423800808,1827
1699423800816,1838
1699423800824,1846
1699423800832,1870
1699423800840,1872
1699423800848,1885
1699423800856,1893
1699423800864,1904
1699423800872,1918
1699423800880,1926
1699423800888,1936
1699423800896,1935
1699423800904,1939
1699423800912,1950
1699423800920,1958
1699423800928,1972
1699423800936,1979
1699423800944,1978
1699423800952,1993
1699423800960,2000
1699423800968,2015
1699423800976,2026
1699423800984,2041
1699423800992,2062
1699423801000,2074
1699423801008,2101
1699423801016,2113
1699423801024,2129
1699423801032,2160
1699423801040,2176
1699423801048,2196
1699423801056,2213
1699423801064,2227
1699423801072,2253
1699423801080,2278
1699423801088,2291
1699423801096,2300
1699423801104,2308
1699423801112,2329
1699423801120,2338
1699423801128,2356
1699423801136,2366
1699423801144,2370
1699423801152,2378
1699423801160,2384
1699423801168,2391
1699423801176,2395
1699423801184,2409
1699423801192,2411
1699423801200,2416
1699423801208,2419
1699423801216,2431
1699423801224,2434
1699423801232,2446
1699423801240,2448
1699423801248,2448
1699423801256,2454
1699423801264,2451
1699423801272,2462
1699423801280,2462
1699423801288,2478
1699423801296,2471
1699423801304,2477
1699423801312,2480
1699423801320,2480
1699423801328,2491
1699423801336,2491
1699423801344,2492
1699423801352,2481
1699423801360,2485
1699423801368,2484
1699423801376,2487
1699423801384,2496
1699423801392,2495
1699423801400,2497
1699423801408,2509
1699423801416,2513
1699423801424,2521
1699423801432,2544
1699423801440,2553
1699423801448,2559
1699423801456,2577
1699423801464,2590
1699423801472,2609
1699423801480,2621
1699423801488,2646
1699423801496,2658
1699423801504,2663
1699423801512,2679
1699423801520,2690
1699423801528,2705
