time,value
1699423800000,2512
1699423800008,2505
1699423800016,2505
1699423800024,2495
1699423800032,2487
1699423800040,2480
1699423800048,2465
1699423800056,2459
1699423800064,2455
1699423800072,2439
1699423800080,2447
1699423800088,2448
1699423800096,2438
1699423800104,2431
1699423800112,2417
1699423800120,2409
1699423800128,2405
1699423800136,2405
1699423800144,2390
1699423800152,2390
1699423800160,2415
1699423800168,2431
1699423800176,2477
1699423800184,2477
1699423800192,2433
1699423800200,2390
1699423800208,2349
1699423800216,2271
1699423800224,2225
1699423800232,2156
1699423800240,2112
1699423800248,2058
1699423800256,1980
1699423800264,1936
1699423800272,1932
1699423800280,1945
1699423800288,1967
1699423800296,2039
1699423800304,2096
1699423800312,2181
1699423800320,2230
1699423800328,2303
1699423800336,2338
1699423800344,2371
1699423800352,2435
1699423800360,2479
1699423800368,2539
1699423800376,2559
1699423800384,2578
1699423800392,2594
1699423800400,2589
1699423800408,2555
1699423800416,2526
1699423800424,2479
1699423800432,2375
1699423800440,2314
1699423800448,2182
1699423800456,2109
1699423800464,2023
1699423800472,1845
1699423800480,1737
1699423800488,1527
1699423800496,1420
1699423800504,1302
1699423800512,1107
1699423800520,1011
1699423800528,851
1699423800536,796
1699423800544,671
1699423800552,615
1699423800560,568
1699423800568,496
1699423800576,510
1699423800584,543
1699423800592,585
1699423800600,688
1699423800608,749
1699423800616,815
1699423800624,880
1699423800632,997
1699423800640,1075
1699423800648,1200
1699423800656,1264
1699423800664,1325
1699423800672,1424
1699423800680,1471
1699423800688,1553
1699423800696,1600
1699423800704,1639
1699423800712,1719
1699423800720,1759
1699423800728,1845
1699423800736,1890
1699423800744,1940
1699423800752,2064
1699423800760,2128
1699423800768,2247
1699423800776,2317
1699423800784,2385
1699423800792,2492
1699423800800,2545
1699423800808,2626
1699423800816,2649
1699423800824,2655
1699423800832,2647
1699423800840,2627
1699423800848,2578
1699423800856,2541
1699423800864,2514
1699423800872,2463
1699423800880,2448
1699423800888,2409
1699423800896,2390
1699423800904,2384
1699423800912,2397
1699423800920,2409
1699423800928,2448
1699423800936,2466
1699423800944,2486
1699423800952,2559
1699423800960,2609
1699423800968,2704
1699423800976,2763
1699423800984,2821
1699423800992,2922
1699423801000,2982
1699423801008,3070
1699423801016,3111
1699423801024,3138
1699423801032,3167
1699423801040,3170
1699423801048,3139
1699423801056,3120
1699423801064,3094
1699423801072,3034
1699423801080,3006
1699423801088,2942
1699423801096,2895
1699423801104,2846
1699423801112,2754
1699423801120,2703
1699423801128,2630
1699423801136,2583
1699423801144,2545
1699423801152,2486
1699423801160,2463
1699423801168,2427
1699423801176,2417
1699423801184,2405
1699423801192,2390
1699423801200,2384
1699423801208,2368
1699423801216,2355
1699423801224,2347
1699423801232,2331
1699423801240,2320
1699423801248,2294
1699423801256,2281
1699423801264,2283
1699423801272,2295
1699423801280,2303
1699423801288,2311
1699423801296,2289
1699423801304,2263
1699423801312,2197
1699423801320,2160
1699423801328,2109
1699423801336,2091
1699423801344,2079
1699423801352,2087
1699423801360,2095
1699423801368,2126
1699423801376,2143
1699423801384,2188
1699423801392,2267
1699423801400,2330
1699423801408,2459
1699423801416,2531
1699423801424,2603
1699423801432,2723
1699423801440,2774
1699423801448,2842
1699423801456,2873
1699423801464,2895
1699423801472,2922
1699423801480,2919
1699423801488,2895
1699423801496,2868
1699423801504,2823
1699423801512,2758
1699423801520,2707
1699423801528,2608
1699423801536,2544
1699423801544,2475
1699423801552,2326
1699423801560,2236
1699423801568,2044
1699423801576,1935
1699423801584,1824
1699423801592,1607
1699423801600,1471
1699423801608,1232
1699423801616,1111
1699423801624,993
1699423801632,823
1699423801640,734
1699423801648,597
1699423801656,534
1699423801664,469
1699423801672,375
1699423801680,330
1699423801688,260
1699423801696,241
1699423801704,237
1699423801712,307
1699423801720,357
1699423801728,447
1699423801736,496
1699423801744,543
1699423801752,606
1699423801760,624
1699423801768,639
1699423801776,639
1699423801784,635
1699423801792,625
1699423801800,615
1699423801808,598
1699423801816,597
1699423801824,597
1699423801832,625
1699423801840,655
1699423801848,703
1699423801856,731
1699423801864,785
1699423801872,818
1699423801880,850
1699423801888,921
1699423801896,959
1699423801904,992
1699423801912,1057
1699423801920,1079
1699423801928,1095
1699423801936,1104
1699423801944,1107
1699423801952,1114
1699423801960,1122
1699423801968,1115
1699423801976,1109
1699423801984,1104
1699423801992,1107
1699423802000,1104
1699423802008,1110
1699423802016,1125
1699423802024,1127
1699423802032,1170
1699423802040,1194
1699423802048,1233
1699423802056,1268
1699423802064,1299
1699423802072,1371
1699423802080,1413
1699423802088,1478
1699423802096,1507
1699423802104,1529
1699423802112,1569
1699423802120,1581
1699423802128,1584
1699423802136,1593
1699423802144,1600
1699423802152,1611
1699423802160,1619
1699423802168,1662
1699423802176,1680
1699423802184,1712
1699423802192,1795
1699423802200,1851
1699423802208,1920
1699423802216,2057
1699423802224,2131
1699423802232,2289
1699423802240,2365
1699423802248,2438
1699423802256,2556
1699423802264,2615
1699423802272,2705
1699423802280,2753
1699423802288,2791
1699423802296,2851
1699423802304,2902
1699423802312,3013
1699423802320,3082
1699423802328,3127
1699423802336,3173
1699423802344,3154
1699423802352,3061
1699423802360,2990
1699423802368,2909
1699423802376,2740
1699423802384,2653
1699423802392,2508
1699423802400,2443
1699423802408,2399
1699423802416,2366
1699423802424,2371
1699423802432,2427
1699423802440,2482
1699423802448,2539
1699423802456,2655
1699423802464,2710
1699423802472,2817
1699423802480,2867
1699423802488,2917
1699423802496,3003
1699423802504,3042
1699423802512,3108
1699423802520,3120
1699423802528,3123
1699423802536,3078
1699423802544,3050
1699423802552,2958
1699423802560,2896
1699423802568,2832
1699423802576,2715
1699423802584,2649
1699423802592,2533
1699423802600,2460
1699423802608,2384
1699423802616,2233
1699423802624,2141
1699423802632,1970
1699423802640,1871
1699423802648,1761
1699423802656,1556
1699423802664,1441
1699423802672,1264
1699423802680,1168
1699423802688,1083
1699423802696,915
1699423802704,837
1699423802712,726
1699423802720,688
1699423802728,663
1699423802736,660
1699423802744,679
1699423802752,754
1699423802760,813
1699423802768,873
1699423802776,995
1699423802784,1079
1699423802792,1218
1699423802800,1287
1699423802808,1357
1699423802816,1467
1699423802824,1519
1699423802832,1620
1699423802840,1679
1699423802848,1735
1699423802856,1838
1699423802864,1895
1699423802872,2002
1699423802880,2067
1699423802888,2165
1699423802896,2225
1699423802904,2270
1699423802912,2365
1699423802920,2412
1699423802928,2449
1699423802936,2517
1699423802944,2544
1699423802952,2578
1699423802960,2592
1699423802968,2597
1699423802976,2599
1699423802984,2603
1699423802992,2592
1699423803000,2576
1699423803008,2556
1699423803016,2530
1699423803024,2522
1699423803032,2510
1699423803040,2502
1699423803048,2496
1699423803056,2482
1699423803064,2479
1699423803072,2483
1699423803080,2485
1699423803088,2514
1699423803096,2535
1699423803104,2567
1699423803112,2593
1699423803120,2606
1699423803128,2602
1699423803136,2583
1699423803144,2576
1699423803152,2547
1699423803160,2535
1699423803168,2513
1699423803176,2480
1699423803184,2479
1699423803192,2448
1699423803200,2433
1699423803208,2416
1699423803216,2384
1699423803224,2368
